thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.0054930830374360085,0.01237312494777143,0.01237312494777143,2.0179947500582784,space,1.9791645410005003,None,,,,,,1,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
0,0,0,up,1.4010005418676883,None,2,2.278325416846201,None,0,0,0,0,2.5376726670656353,,,,,,,,,2.0188985001295805,2.5376726670656353,0.0008928750175982714,3.024684000061825,1,1,0.2,0.5,0.7,3.0251015829853714,3.0374407081399113,3.0374407081399113,3.0374407081399113,3.0374407081399113,4.450805291999131,up,1.4010005418676883,None,up,1.4010005418676883,0.5,0,4.469126667128876,4.5023607921320945,4.5023607921320945,4.5023607921320945,4.5023607921320945,6.451351166935638,6.46086833300069,6.46469745808281,6.46469745808281,6.46469745808281,6.46469745808281,6.46469745808281,8.745209292043,2,2.278325416846201,None,2,2.278325416846201,8.745288874953985,8.757155375089496,9.755847875028849,9.742727000033483,,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
1,0,1,left,1.3547619169112295,None,2,0.6141099589876831,None,1,0,1,0,9.755847875028849,,,,,,,,,9.743046583142132,9.755847875028849,0.010635208105668426,10.74270600010641,2,1,0.2,0.5,0.7,10.742881000041962,10.755947542143986,10.755947542143986,10.755947542143986,10.755947542143986,12.118883542018011,left,1.3547619169112295,None,left,1.3547619169112295,0.2,0,12.133197291987017,12.138193875085562,12.138193875085562,12.138193875085562,12.138193875085562,14.131618750048801,14.141623958013952,14.144942332990468,14.144942332990468,14.144942332990468,14.144942332990468,14.144942332990468,14.7729376249481,2,0.6141099589876831,None,2,0.6141099589876831,14.773033000063151,14.784163082949817,15.783799625001848,15.77131358301267,10.755947542143986,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
2,0,2,up,0.7063015419989824,None,2,2.4565092909615487,None,2,0,2,0,15.783799625001848,,,,,,,,,15.771765958052129,15.783799625001848,0.010842750081792474,16.771305167116225,3,1,0.2,0.5,0.7,16.77168562496081,16.784089375054464,16.784089375054464,16.784089375054464,16.784089375054464,17.492255249992013,up,0.7063015419989824,None,up,0.7063015419989824,0.5,0,17.50757750007324,17.511585167143494,17.511585167143494,17.511585167143494,17.511585167143494,19.503988875076175,19.512013457948342,19.517943457933143,19.517943457933143,19.517943457933143,19.517943457933143,19.517943457933143,21.98537024995312,2,2.4565092909615487,None,2,2.4565092909615487,21.98547250009142,21.996458292007446,22.99800758296624,22.984258542070165,16.784089375054464,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
3,0,3,right,0.31411783304065466,None,None,,,3,0,3,0,22.99800758296624,,,,,,,,,22.984668167075142,22.99800758296624,-0.0007521249353885651,23.984314874978736,4,1,0.2,0.5,0.7,23.98459295812063,23.997426917077973,23.997426917077973,23.997426917077973,23.997426917077973,24.3192024580203,right,0.31411783304065466,None,right,0.31411783304065466,0.7,1,24.33214645809494,24.336646292125806,24.336646292125806,24.336646292125806,24.336646292125806,26.33087829197757,26.33124174992554,,,,,,26.331274416996166,None,,,NA,NA,26.331343250116333,26.34357749996707,27.343580458080396,27.33069929201156,23.997426917077973,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
4,0,4,left,0.5347457500174642,None,None,,,4,0,4,0,27.343580458080396,,,,,,,,,27.331133916974068,27.343580458080396,-0.00016112509183585644,28.33136779209599,5,1,0.2,0.5,0.7,28.3316735830158,28.344509958056733,28.344509958056733,28.344509958056733,28.344509958056733,28.89173208293505,left,0.5347457500174642,None,left,0.5347457500174642,0.2,1,28.905280167004094,28.908129333052784,28.908129333052784,28.908129333052784,28.908129333052784,30.902981457998976,30.903393583139405,,,,,,30.903438833076507,None,,,NA,NA,30.903513666940853,30.916578291915357,,31.904097458114848,28.344509958056733,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
5,0,5,up,0.426758750109002,None,2,1.1252924578730017,None,5,0,5,0,31.91748991701752,,,,,,,,,31.90459637506865,31.91748991701752,0.0011296668089926243,32.90421329205856,6,1,0.2,0.5,0.7,32.90464983298443,32.91756495810114,32.91756495810114,32.91756495810114,32.91756495810114,33.34607974998653,up,0.426758750109002,None,up,0.426758750109002,0.5,0,33.360619249986485,33.363351667067036,33.363351667067036,33.363351667067036,33.363351667067036,35.35695712501183,35.36556537495926,35.36866250005551,35.36866250005551,35.36866250005551,35.36866250005551,35.36866250005551,36.50375695805997,2,1.1252924578730017,None,2,1.1252924578730017,36.50385537510738,36.51592795806937,37.51801500003785,37.503745292080566,,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
6,0,6,left,0.2971095419488847,None,2,0.4060376670677215,None,6,0,6,0,37.51801500003785,,,,,,,,,37.504263957962394,37.51801500003785,0.00044991704635322094,38.503518250072375,7,1,0.2,0.5,0.7,38.50385658303276,38.51783366710879,38.51783366710879,38.51783366710879,38.51783366710879,38.825108292046934,left,0.2971095419488847,None,left,0.2971095419488847,0.2,0,38.83980254200287,38.84251987491734,38.84251987491734,38.84251987491734,38.84251987491734,40.83666754211299,40.844825041946024,40.84891137504019,40.84891137504019,40.84891137504019,40.84891137504019,40.84891137504019,41.26526645803824,2,0.4060376670677215,None,2,0.4060376670677215,41.26538200001232,41.276521750027314,42.27660729200579,42.26400954206474,38.51783366710879,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
7,0,7,right,0.5211890421342105,None,3,0.7479513331782073,None,7,0,7,0,42.27660729200579,,,,,,,,,42.26447816705331,42.27660729200579,-0.0008505419827997684,43.264866332989186,8,1,0.2,0.5,0.7,43.26516904192977,43.27774270810187,43.27774270810187,43.27774270810187,43.27774270810187,43.81199508300051,right,0.5211890421342105,None,right,0.5211890421342105,0.7,0,43.8263960829936,43.82913670805283,43.82913670805283,43.82913670805283,43.82913670805283,45.82461916701868,45.83307404210791,45.83558141696267,45.83558141696267,45.83558141696267,45.83558141696267,45.83558141696267,46.5855060829781,3,0.7479513331782073,None,3,0.7479513331782073,46.58561466704123,46.597251042025164,47.59705300000496,47.584497625008225,43.27774270810187,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
8,0,8,right,0.33819308318197727,None,None,,,8,0,8,0,47.59705300000496,,,,,,,,,47.58497558301315,47.59705300000496,-0.0005834170151501894,48.584757457952946,9,1,0.2,0.5,0.7,48.58511016704142,48.59699700004421,48.59699700004421,48.59699700004421,48.59699700004421,48.94564824993722,right,0.33819308318197727,None,right,0.33819308318197727,0.7,1,48.95921941706911,48.9619624579791,48.9619624579791,48.9619624579791,48.9619624579791,50.9569313749671,50.957341958070174,,,,,,50.957383417058736,None,,,NA,NA,50.95746233314276,50.9698840000201,51.96908599999733,51.955811250023544,48.59699700004421,,,,,,,,34111,001,2025-11-05_15h03.04.878,regret_experiment,,2025.1.1,74.24217271388403,1,0.2,0.5,0.7,2025-11-05 15h04.09.489996 -0800,
