thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
9,0,9,up,0.408095333725214,None,None,,,9,0,9,0,53.94041637517512,,,,,,,,,53.92764562508091,53.94041637517512,0.010709166992455721,54.92931825015694,10,1,0.2,0.5,0.7,54.929766667075455,54.93950750026852,54.93950750026852,54.93950750026852,54.93950750026852,55.35464229201898,up,0.408095333725214,None,up,0.408095333725214,0.5,1,55.36649679206312,55.36998816719279,55.36998816719279,55.36998816719279,55.36998816719279,57.3538750000298,57.354055874980986,,,,,,57.35407887538895,None,,,NA,NA,57.35411404212937,57.366751042194664,58.3673287499696,58.35450925026089,54.93950750026852,57.366751042194664,57.366751042194664,57.366751042194664,57.366751042194664,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
10,0,10,left,0.6998792090453207,None,None,,,10,0,10,0,58.3673287499696,,,,,,,,,58.35493050003424,58.3673287499696,0.000849124975502491,59.35575120802969,11,1,0.2,0.5,0.7,59.35615779226646,59.368462208192796,59.368462208192796,59.368462208192796,59.368462208192796,60.07719120802358,left,0.6998792090453207,None,left,0.6998792090453207,0.2,1,60.089752917177975,60.09377029212192,60.09377029212192,60.09377029212192,60.09377029212192,62.08577737538144,62.08636416727677,,,,,,62.08640224998817,None,,,NA,NA,62.086477166973054,62.10253787506372,63.10200058296323,63.08614941732958,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
11,0,11,left,0.9501482080668211,None,1,0.6951020420528948,None,11,0,11,0,63.10200058296323,,,,,,,,,63.08659054199234,63.10200058296323,0.00016137491911649704,64.08803795836866,12,1,0.2,0.5,0.7,64.08851529238746,64.09955024998635,64.09955024998635,64.09955024998635,64.09955024998635,65.0515057919547,left,0.9501482080668211,None,left,0.9501482080668211,0.2,0,65.06540445797145,65.07019741693512,65.07019741693512,65.07019741693512,65.07019741693512,67.05926783336326,67.06909112492576,67.07644050009549,67.07644050009549,67.07644050009549,67.07644050009549,67.07644050009549,67.78105112537742,1,0.6951020420528948,None,1,0.6951020420528948,67.78115237504244,67.7965528331697,,68.7822006251663,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
12,0,12,right,0.5513379578478634,None,None,,,12,0,12,0,68.7924560829997,,,,,,,,,68.78275516722351,68.7924560829997,0.0016551250591874123,69.77936745807528,13,1,0.2,0.5,0.7,69.77972108311951,69.7957972921431,69.7957972921431,69.7957972921431,69.7957972921431,70.3543462920934,right,0.5513379578478634,None,right,0.5513379578478634,0.7,1,70.36637375038117,70.37097679218277,70.37097679218277,70.37097679218277,70.37097679218277,72.35482083307579,72.35524079203606,,,,,,72.35528029222041,None,,,NA,NA,72.3553536250256,72.36646504234523,73.36872675037012,73.35313137527555,69.7957972921431,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
13,0,13,up,0.9878167090937495,None,2,0.5064965416677296,None,13,0,13,0,73.36872675037012,,,,,,,,,73.35352887492627,73.36872675037012,0.013465541880577803,74.35528733301908,14,1,0.2,0.5,0.7,74.35563225019723,74.36793129192665,74.36793129192665,74.36793129192665,74.36793129192665,75.36821037530899,up,0.9878167090937495,None,up,0.9878167090937495,0.5,0,75.38246504217386,75.38748895796016,75.38748895796016,75.38748895796016,75.38748895796016,77.3694249172695,77.37729375017807,77.38014549994841,77.38014549994841,77.38014549994841,77.38014549994841,77.38014549994841,77.8887276253663,2,0.5064965416677296,None,2,0.5064965416677296,77.88882645824924,77.90059150010347,78.90311216702685,78.88708879193291,74.36793129192665,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
14,0,14,up,0.3057388751767576,None,None,,,14,0,14,0,78.90311216702685,,,,,,,,,78.88753954228014,78.90311216702685,0.014370041899383068,79.88808279205114,15,1,0.2,0.5,0.7,79.88838095823303,79.90167391719297,79.90167391719297,79.90167391719297,79.90167391719297,80.20997504238039,up,0.3057388751767576,None,up,0.3057388751767576,0.5,1,80.22250295802951,80.2272609169595,80.2272609169595,80.2272609169595,80.2272609169595,82.22227908298373,82.22271437523887,,,,,,82.22274775011465,None,,,NA,NA,82.22281745821238,82.23294270830229,83.23478970816359,83.22250008303672,79.90167391719297,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
15,0,15,left,0.3063349169678986,None,1,1.0659067081287503,None,15,0,15,0,83.23478970816359,,,,,,,,,83.2229418749921,83.23478970816359,0.00017037475481629372,84.22230416722596,16,1,0.2,0.5,0.7,84.22262016730383,84.23338920809329,84.23338920809329,84.23338920809329,84.23338920809329,84.54169937502593,left,0.3063349169678986,None,left,0.3063349169678986,0.2,0,84.55318479193375,84.55607458297163,84.55607458297163,84.55607458297163,84.55607458297163,86.53997025033459,86.54719404224306,86.55414216732606,86.55414216732606,86.55414216732606,86.55414216732606,86.55414216732606,87.6374621251598,1,1.0659067081287503,None,1,1.0659067081287503,87.63756004208699,87.64693791698664,88.64725037524477,88.6334040001966,84.23338920809329,86.55414216732606,86.55414216732606,86.55414216732606,86.55414216732606,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
16,0,16,right,0.5804388751275837,None,1,0.9725623331032693,None,16,0,16,0,88.64725037524477,,,,,,,,,88.63388979202136,88.64725037524477,0.009787624701857567,89.6342347082682,17,1,0.2,0.5,0.7,89.6345875421539,89.6473380420357,89.6473380420357,89.6473380420357,89.6473380420357,90.23453012527898,right,0.5804388751275837,None,right,0.5804388751275837,0.7,0,90.24380512535572,90.24638183321804,90.24638183321804,90.24638183321804,90.24638183321804,92.23539041727781,92.24304745811969,92.24679166730493,92.24679166730493,92.24679166730493,92.24679166730493,92.24679166730493,93.22140116710216,1,0.9725623331032693,None,1,0.9725623331032693,93.22149933315814,93.2339191250503,94.23466266738251,94.22096329228953,89.6473380420357,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
17,0,17,right,0.3384318333119154,None,1,0.3602171251550317,None,17,0,17,0,94.23466266738251,,,,,,,,,94.22140833316371,94.23466266738251,-4.075001925230026e-05,95.22252762503922,18,1,0.2,0.5,0.7,95.22296541696414,95.2331237080507,95.2331237080507,95.2331237080507,95.2331237080507,95.58093879232183,right,0.3384318333119154,None,right,0.3384318333119154,0.7,0,95.59451083326712,95.59898733301088,95.59898733301088,95.59898733301088,95.59898733301088,97.5951477503404,97.60300662508234,97.6066680829972,97.6066680829972,97.6066680829972,97.6066680829972,97.6066680829972,97.96902883332223,1,0.3602171251550317,None,1,0.3602171251550317,97.96912679215893,97.9821611251682,,98.97061170823872,,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
18,0,18,left,0.28859141701832414,None,1,0.7228330839425325,None,18,0,18,0,98.97945137508214,,,,,,,,,98.97113154223189,98.97945137508214,0.0020531252957880497,99.96918133320287,19,1,0.2,0.5,0.7,99.96951308334246,99.97949262522161,99.97949262522161,99.97949262522161,99.97949262522161,100.27479870803654,left,0.28859141701832414,None,left,0.28859141701832414,0.2,0,100.28886195831001,100.29363800026476,100.29363800026476,100.29363800026476,100.29363800026476,102.27554995799437,102.28331520827487,102.28900491725653,102.28900491725653,102.28900491725653,102.28900491725653,102.28900491725653,103.02101091714576,1,0.7228330839425325,None,1,0.7228330839425325,103.02110829204321,103.034847792238,104.03349325014278,104.02059987513348,99.97949262522161,,,,,,,,33907,001,2025-12-01_14h21.23.211,regret_experiment,,2025.1.1,74.05000790453217,1,0.2,0.5,0.7,2025-12-01 14h21.30.105028 -0800,
