thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
9,0,9,right,0.6187819589977153,None,None,,,9,0,9,0,65.88708683400182,,,,,,,,,65.88089550001314,65.88708683400182,0.0009720420348457992,66.87008554203203,10,1,0.5,0.2,0.7,66.87035133404424,66.8787357500405,66.8787357500405,66.8787357500405,66.8787357500405,67.50479966704734,right,0.6187819589977153,None,right,0.6187819589977153,0.7,1,67.52529625000898,67.53378695901483,67.53378695901483,67.53378695901483,67.53378695901483,69.51337216701359,69.51367708400358,,,,,,69.51373725000303,None,,,NA,NA,69.51382062502671,69.51920425001299,70.51952137501212,70.51285808399552,66.8787357500405,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
10,0,10,right,0.4296413330012001,None,1,0.38383345800684765,None,10,0,10,0,70.51952137501212,,,,,,,,,70.51345579203917,70.51952137501212,-0.00029612501384690404,71.50269308401039,11,1,0.5,0.2,0.7,71.50296250003157,71.51242820901098,71.51242820901098,71.51242820901098,71.51242820901098,71.94857608404709,right,0.4296413330012001,None,right,0.4296413330012001,0.7,0,71.96749558404554,71.97601258399663,71.97601258399663,71.97601258399663,71.97601258399663,73.95133145904401,73.96331333403941,73.97380158404121,73.97380158404121,73.97380158404121,73.97380158404121,73.97380158404121,74.36431804200402,1,0.38383345800684765,None,1,0.38383345800684765,74.36445716704475,74.37261587503599,75.36840025003767,75.3628101249924,71.51242820901098,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
11,0,11,right,1.2361692499835044,None,None,,,11,0,11,0,75.36840025003767,,,,,,,,,75.36313629202778,75.36840025003767,0.004047833033837378,76.35179441701621,12,1,0.5,0.2,0.7,76.3520698340144,76.36246100004064,76.36246100004064,76.36246100004064,76.36246100004064,77.60441945900675,right,1.2361692499835044,None,right,1.2361692499835044,0.7,1,77.62339045898989,77.63225416699424,77.63225416699424,77.63225416699424,77.63225416699424,79.61259808402974,79.61309237504611,,,,,,79.61315779201686,None,,,NA,NA,79.61323424999136,79.61939583404455,80.61267587501789,80.60230570903514,76.36246100004064,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
12,0,12,right,0.963149290997535,None,None,,,12,0,12,0,80.61267587501789,,,,,,,,,80.60277662501903,80.61267587501789,-0.0004386249929666519,81.5995404170244,13,1,0.5,0.2,0.7,81.59977283404442,81.61827025003731,81.61827025003731,81.61827025003731,81.61827025003731,82.59818045899738,right,0.963149290997535,None,right,0.963149290997535,0.7,1,82.62210787500953,82.6310368340346,82.6310368340346,82.6310368340346,82.6310368340346,84.60281775001204,84.6031743340427,,,,,,84.60326120903483,None,,,NA,NA,84.60334183403756,84.61262862500735,85.60416112502571,85.59660045901546,81.61827025003731,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
13,0,13,right,0.6943255829974078,None,1,2.5952150839730166,None,13,0,13,0,85.60416112502571,,,,,,,,,85.59742662502686,85.60416112502571,0.0009279579971916974,86.59710037504556,14,1,0.5,0.2,0.7,86.59741904202383,86.60382845904678,86.60382845904678,86.60382845904678,86.60382845904678,87.30404716701014,right,0.6943255829974078,None,right,0.6943255829974078,0.7,0,87.32438033400103,87.33222270902479,87.33222270902479,87.33222270902479,87.33222270902479,89.31256366701564,89.32382491702447,89.33135345904157,89.33135345904157,89.33135345904157,89.33135345904157,89.33135345904157,91.93062591704074,1,2.5952150839730166,None,1,2.5952150839730166,91.93074429203989,91.935598125041,92.9292299170047,92.9193634170224,86.60382845904678,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
14,0,14,right,0.6352834579884075,None,None,,,14,0,14,0,92.9292299170047,,,,,,,,,92.9197914590477,92.9292299170047,0.00350770796649158,93.9131986250286,15,1,0.5,0.2,0.7,93.9134397089947,93.93005608400563,93.93005608400563,93.93005608400563,93.93005608400563,94.57023233402288,right,0.6352834579884075,None,right,0.6352834579884075,0.7,1,94.58795725001255,94.59695137501694,94.59695137501694,94.59695137501694,94.59695137501694,96.57937470899196,96.57982308400096,,,,,,96.57989545899909,None,,,NA,NA,96.58003420900786,96.58617045899155,97.58560404204763,97.57957250002073,93.91860391700175,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
15,0,15,right,0.7706995419575833,None,None,,,15,0,15,0,97.58560404204763,,,,,,,,,97.57994875003351,97.58560404204763,-6.62502134218812e-06,98.56923420901876,16,1,0.5,0.2,0.7,98.56953483400866,98.57924841699423,98.57924841699423,98.57924841699423,98.57924841699423,99.35338729200885,right,0.7706995419575833,None,right,0.7706995419575833,0.7,1,99.37085520901019,99.3793432500097,99.3793432500097,99.3793432500097,99.3793432500097,101.36284691700712,101.3633472500369,,,,,,101.36341391701717,None,,,NA,NA,101.36351562500931,101.3689359590062,102.36251475004246,102.35251416702522,98.57924841699423,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
16,0,16,right,0.77326924999943,None,None,,,16,0,16,0,102.36251475004246,,,,,,,,,102.35298395901918,102.36251475004246,-0.0008904580026865005,103.34656729199924,17,1,0.5,0.2,0.7,103.34685337502742,103.35386837500846,103.35386837500846,103.35386837500846,103.35386837500846,104.13119849999202,right,0.77326924999943,None,right,0.77326924999943,0.7,1,104.15013183403062,104.1574001670233,104.1574001670233,104.1574001670233,104.1574001670233,106.1359733749996,106.13635074999183,,,,,,106.1364125420223,None,,,NA,NA,106.13648441701662,106.1458804589929,107.13718904199777,107.1299108749954,103.35386837500846,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
17,0,17,right,0.6450182090047747,None,None,,,17,0,17,0,107.13718904199777,,,,,,,,,107.13047150004422,107.13718904199777,0.000791915983427316,108.13047908403678,18,1,0.5,0.2,0.7,108.13079800002743,108.13692904199706,108.13692904199706,108.13692904199706,108.13692904199706,108.78639250004198,right,0.6450182090047747,None,right,0.6450182090047747,0.7,1,108.8052891670377,108.81305024999892,108.81305024999892,108.81305024999892,108.81305024999892,110.79618720902363,110.79661474999739,,,,,,110.79668208403746,None,,,NA,NA,110.79676512500737,110.80320650001522,111.80372133402852,111.79617958399467,108.13692904199706,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
18,0,18,right,0.27748308301670477,None,None,,,18,0,18,0,111.80372133402852,,,,,,,,,111.7965946670156,111.80372133402852,-0.00011566700413823128,112.7969511669944,19,1,0.5,0.2,0.7,112.79724429204362,112.80407458404079,112.80407458404079,112.80407458404079,112.80407458404079,113.08704066701466,right,0.27748308301670477,None,right,0.27748308301670477,0.7,1,113.10436100000516,113.11268433404621,113.11268433404621,113.11268433404621,113.11268433404621,115.09590045904042,115.0961703750072,,,,,,115.09622195904376,None,,,NA,NA,115.09628687502118,115.10126104200026,,116.09632283402607,112.80407458404079,,,,530972,001,2025-08-11_15h06.33.563,regret_experiment,2024.2.4,None,1,0.5,0.2,0.7,2025-08-11 15h06.46.167411 -0700,
