thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.06704766699112952,0.098031000001356,0.098031000001356,3.9707992500043474,space,3.761462875001598,None,,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
0,0,0,left,1.7166950420069043,None,3,2.0442138749931473,None,0,0,0,0,4.612686834007036,,,,,,,,,3.977001499995822,4.612686834007036,0.006183499994222075,4.98033041699091,1,1,0.5,0.7,0.2,4.980723209009739,4.992162000009557,4.992162000009557,4.992162000009557,4.992162000009557,6.714643334009452,left,1.7166950420069043,None,left,1.7166950420069043,0.5,0,6.744222459004959,6.7596401250048075,6.7596401250048075,6.7596401250048075,6.7596401250048075,8.71907720901072,8.727869624999585,8.738198917009868,8.738198917009868,8.738198917009868,8.738198917009868,8.738198917009868,10.78867170898593,3,2.0442138749931473,None,3,2.0442138749931473,10.789413999998942,10.834717791993171,11.79730429200572,,,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
1,0,1,up,1.5675612080085557,None,None,,,1,0,1,0,11.804545749997487,,,,,,,,,11.798295166983735,11.804545749997487,0.009575292002409697,12.798051791993203,2,1,0.5,0.7,0.2,12.798682333988836,12.805141541990452,12.805141541990452,12.805141541990452,12.805141541990452,14.383016584004508,up,1.5675612080085557,None,up,1.5675612080085557,0.7,1,14.415423708996968,14.433625834004488,14.433625834004488,14.433625834004488,14.433625834004488,16.387294833984924,16.387879124988103,,,,,,16.38794675000827,None,,,NA,NA,16.388120874995366,16.39653116700356,17.38170829199953,17.38897691699094,,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
2,0,2,right,1.1529102080094162,None,3,1.9631077079975512,None,2,0,2,0,17.38897691699094,,,,,,,,,17.382244292006362,17.38897691699094,0.0010440830083098263,18.380980166984955,3,1,0.5,0.7,0.2,18.381245124997804,18.38792579199071,18.38792579199071,18.38792579199071,18.38792579199071,19.57834800001001,right,1.1529102080094162,None,right,1.1529102080094162,0.2,0,19.60724341700552,19.721853083989117,19.721853083989117,19.721853083989117,19.721853083989117,21.578875709004933,21.585743667004863,21.593543958995724,21.593543958995724,21.593543958995724,21.593543958995724,21.593543958995724,23.56471579198842,3,1.9631077079975512,None,3,1.9631077079975512,23.564878999983193,23.7522677090019,24.568884084001184,,18.38792579199071,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
3,0,3,left,1.0819823750061914,None,None,,,3,0,3,0,24.580096791993128,,,,,,,,,24.569949291995727,24.580096791993128,0.005238041980192065,25.563129333982943,4,1,0.5,0.7,0.2,25.563493624998955,25.57050224998966,25.57050224998966,25.57050224998966,25.57050224998966,26.664385666983435,left,1.0819823750061914,None,left,1.0819823750061914,0.5,1,26.680424749996746,26.6939854589873,26.6939854589873,26.6939854589873,26.6939854589873,28.6682574590086,28.66910349999671,,,,,,28.669207166996785,None,,,NA,NA,28.669356124999467,28.679710249998607,29.667981125006918,29.679219209006988,25.57050224998966,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
4,0,4,left,1.0605477500066627,None,3,1.2482511659909505,None,4,0,4,0,29.679219209006988,,,,,,,,,29.668382333999034,29.679219209006988,-0.0009029160137288272,30.66434341701097,5,1,0.5,0.7,0.2,30.664651541999774,30.67172854198725,30.67172854198725,30.67172854198725,30.67172854198725,31.735540791996755,left,1.0605477500066627,None,left,1.0605477500066627,0.5,0,31.752358124998864,31.89687020899146,31.89687020899146,31.89687020899146,31.89687020899146,33.73624004199519,33.747241667006165,33.75692054198589,33.75692054198589,33.75692054198589,33.75692054198589,33.75692054198589,35.01518787498935,3,1.2482511659909505,None,3,1.2482511659909505,35.01544466699124,35.237994750001235,36.0180262500071,,30.67172854198725,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
5,0,5,up,0.6005316250084434,None,None,,,5,0,5,0,36.02945083400118,,,,,,,,,36.01879691699287,36.02945083400118,0.003481749998172745,37.013338583987206,6,1,0.5,0.7,0.2,37.013626875006594,37.01932341698557,37.01932341698557,37.01932341698557,37.01932341698557,37.62204095898778,up,0.6005316250084434,None,up,0.6005316250084434,0.7,1,37.64380454199272,37.65494145901175,37.65494145901175,37.65494145901175,37.65494145901175,39.62896879200707,39.629375416989205,,,,,,39.62941291698371,None,,,NA,NA,39.62946158400155,39.63427291699918,40.61861850001151,40.630316374998074,37.01932341698557,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
6,0,6,right,0.7676809169934131,None,3,1.3433549579931423,None,6,0,6,0,40.630316374998074,,,,,,,,,40.61916737499996,40.630316374998074,0.0010595830099191517,41.61311208398547,7,1,0.5,0.7,0.2,41.613415166997584,41.618989334005164,41.618989334005164,41.618989334005164,41.618989334005164,42.39700916700531,right,0.7676809169934131,None,right,0.7676809169934131,0.2,0,42.41212754198932,42.42172045900952,42.42172045900952,42.42172045900952,42.42172045900952,44.403125791985076,44.41378470900236,44.42101254200679,44.42101254200679,44.42101254200679,44.42101254200679,44.42101254200679,45.76984508399619,3,1.3433549579931423,None,3,1.3433549579931423,45.770040750008775,45.830454417009605,46.779405624984065,,41.618989334005164,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
7,0,7,up,0.9860715420218185,None,None,,,7,0,7,0,46.78493508399697,,,,,,,,,46.77981708399602,46.78493508399697,0.00986675001331605,47.76883149999776,8,1,0.5,0.7,0.2,47.76912195899058,47.77819787498447,47.77819787498447,47.77819787498447,47.77819787498447,48.76957050000783,up,0.9860715420218185,None,up,0.9860715420218185,0.7,1,48.78943220898509,48.79707404199871,48.79707404199871,48.79707404199871,48.79707404199871,50.77930429199478,50.78029537500697,,,,,,50.78048962500179,None,,,NA,NA,50.78091400000267,50.7862268339959,51.779893583996454,51.786308791983174,47.77819787498447,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
8,0,8,left,0.8001901250099763,None,None,,,8,0,8,0,51.786308791983174,,,,,,,,,51.78110179200303,51.786308791983174,0.000398541014874354,52.77818741698866,9,1,0.5,0.7,0.2,52.77882308399421,52.78408029201091,52.78408029201091,52.78408029201091,52.78408029201091,53.5887945840077,left,0.8001901250099763,None,left,0.8001901250099763,0.5,1,53.60502899999847,53.61453141699894,53.61453141699894,53.61453141699894,53.61453141699894,55.59513654198963,55.59547100000782,,,,,,55.59550341698923,None,,,NA,NA,55.59555366699351,55.599796958995285,56.583180791989435,56.5951877500047,52.78408029201091,,,,34108,001,2025-11-07_09h18.18.472,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-07 09h18.34.424365 -0800,
