thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.0689808749993972,0.12010612499943818,0.12010612499943818,9.281359874999907,space,9.154624208000314,None,,,,,,1,0.2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
0,0,0,up,1.7290639579987328,None,1,6.2968128330012405,None,0,0,0,0,9.850966833999337,,,,,,,,,9.290588541998659,9.850966833999337,0.009168084001430543,10.290796458999466,1,1,0.2,0.7,0.5,10.29112104199885,10.369657999999617,10.369657999999617,10.369657999999617,10.369657999999617,12.109406542000215,up,1.7290639579987328,None,up,1.7290639579987328,0.7,0,12.149564792000092,12.408968959000049,12.408968959000049,12.408968959000049,12.408968959000049,14.113108958999874,14.120843124999737,14.12951854199855,14.12951854199855,14.12951854199855,14.12951854199855,14.12951854199855,20.431333958998948,1,6.2968128330012405,None,1,6.2968128330012405,20.43152016699969,20.552549666999766,21.44052562499928,,,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
1,0,1,left,0.5321988329997112,None,1,0.5963979580010346,None,1,0,1,0,21.449573583999154,,,,,,,,,21.44178941700011,21.449573583999154,0.010419499998533865,22.44018616699941,2,1,0.2,0.7,0.5,22.44054845899882,22.445392249999713,22.445392249999713,22.445392249999713,22.445392249999713,22.980585499999506,left,0.5321988329997112,None,left,0.5321988329997112,0.2,0,22.995396917000107,23.00539624999874,23.00539624999874,23.00539624999874,23.00539624999874,24.98996166699908,24.99750574999962,25.005608416999166,25.005608416999166,25.005608416999166,25.005608416999166,25.005608416999166,25.609287792000032,1,0.5963979580010346,None,1,0.5963979580010346,25.609410375000152,25.615585458999703,26.607226999998602,26.612743542000317,,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
2,0,2,right,1.2680813749993831,None,1,0.5532910829988396,None,2,0,2,0,26.612743542000317,,,,,,,,,26.60760870899867,26.612743542000317,0.003464290999545483,27.59573995899882,3,1,0.2,0.7,0.5,27.59602249999989,27.606788208999205,27.606788208999205,27.606788208999205,27.606788208999205,28.88068291699892,right,1.2680813749993831,None,right,1.2680813749993831,0.5,0,28.893891583998993,28.902243124999586,28.902243124999586,28.902243124999586,28.902243124999586,30.890348584000094,30.89751733399862,30.904672624999876,30.904672624999876,30.904672624999876,30.904672624999876,30.904672624999876,31.46488566699918,1,0.5532910829988396,None,1,0.5532910829988396,31.4649739589986,31.4734777499998,32.45710024999971,32.46276245899935,27.606788208999205,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
3,0,3,up,0.35493162499915343,None,2,1.0857502919989201,None,3,0,3,0,32.46276245899935,,,,,,,,,32.457540458999574,32.46276245899935,0.008536917001038091,33.446290083998974,4,1,0.2,0.7,0.5,33.44657612499941,33.46237641699918,33.46237641699918,33.46237641699918,33.46237641699918,33.824989708999055,up,0.35493162499915343,None,up,0.35493162499915343,0.7,0,33.84130550000009,33.848302541999146,33.848302541999146,33.848302541999146,33.848302541999146,35.82872145900001,35.83563879199937,35.84418258400001,35.84418258400001,35.84418258400001,35.84418258400001,35.84418258400001,36.94081025000014,2,1.0857502919989201,None,2,1.0857502919989201,36.940886041998965,36.945348291999835,37.92921391699929,37.94013999999879,33.45614695899894,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
4,0,4,left,0.6792908330007776,None,None,,,4,0,4,0,37.94013999999879,,,,,,,,,37.92952041699937,37.94013999999879,-0.0006503330005216412,38.92420745900017,5,1,0.2,0.7,0.5,38.92445179199967,38.92987995899966,38.92987995899966,38.92987995899966,38.92987995899966,39.615450666999095,left,0.6792908330007776,None,left,0.6792908330007776,0.2,1,39.62810983399868,39.63553766699988,39.63553766699988,39.63553766699988,39.63553766699988,41.62306495899975,41.62356437499875,,,,,,41.623605041999326,None,,,NA,NA,41.6236694170002,41.62846479200016,42.61200199999985,42.6237947919999,38.92987995899966,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
5,0,5,left,0.6123064589992282,None,2,1.0711186250009632,None,5,0,5,0,42.6237947919999,,,,,,,,,42.61230004199933,42.6237947919999,0.0002902090000134194,43.60776312499911,6,1,0.2,0.7,0.5,43.60807575000035,43.61353720899933,43.61353720899933,43.61353720899933,43.61353720899933,44.2309757919993,left,0.6123064589992282,None,left,0.6123064589992282,0.2,0,44.244159083998966,44.263687916998606,44.263687916998606,44.263687916998606,44.263687916998606,46.23977237500003,46.24750258399945,46.25406504199964,46.25406504199964,46.25406504199964,46.25406504199964,46.25406504199964,47.33109824999883,2,1.0711186250009632,None,2,1.0711186250009632,47.33119816699946,47.34041695899941,48.324167249998936,48.32967374999862,43.61353720899933,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
6,0,6,left,0.5964872090007702,None,2,0.9443056660002185,None,6,0,6,0,48.32967374999862,,,,,,,,,48.32456454199928,48.32967374999862,0.00915316700047697,49.313010541998665,7,1,0.2,0.7,0.5,49.313298749999376,49.328889000000345,49.328889000000345,49.328889000000345,49.328889000000345,49.93109816699871,left,0.5964872090007702,None,left,0.5964872090007702,0.2,0,49.94507700000031,49.95236062499862,49.95236062499862,49.95236062499862,49.95236062499862,51.940336124998794,51.947738791999654,51.95526691699888,51.95526691699888,51.95526691699888,51.95526691699888,51.95526691699888,52.90749429199968,2,0.9443056660002185,None,2,0.9443056660002185,52.9075670000002,52.91457491700021,53.90737379199891,53.913673458999256,49.323349583999516,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
7,0,7,right,0.7674449170008302,None,2,1.9708364170001005,None,7,0,7,0,53.913673458999256,,,,,,,,,53.907730208999055,53.913673458999256,0.00020133399993937928,54.90723066699866,8,1,0.2,0.7,0.5,54.907640374998664,54.91336962499918,54.91336962499918,54.91336962499918,54.91336962499918,55.68361337500028,right,0.7674449170008302,None,right,0.7674449170008302,0.5,0,55.696503708999444,55.703600291999464,55.703600291999464,55.703600291999464,55.703600291999464,57.69012337499953,57.69676583399996,57.70419941699947,57.70419941699947,57.70419941699947,57.70419941699947,57.70419941699947,59.68241729199872,2,1.9708364170001005,None,2,1.9708364170001005,59.6825048339997,59.68995287500002,60.67451204200006,60.68057574999875,54.91336962499918,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
8,0,8,up,0.3376701659999526,None,None,,,8,0,8,0,60.68057574999875,,,,,,,,,60.67519199999879,60.68057574999875,0.007045374999506748,61.67284108399872,9,1,0.2,0.7,0.5,61.67318854199948,61.67924108399893,61.67924108399893,61.67924108399893,61.67924108399893,62.02491566699973,up,0.3376701659999526,None,up,0.3376701659999526,0.7,1,62.03975570900002,62.04787383399889,62.04787383399889,62.04787383399889,62.04787383399889,64.02894974999981,64.02955108399874,,,,,,64.02958637499978,None,,,NA,NA,64.02963912499945,64.04007979199923,65.02399045899983,65.02960516699932,61.67924108399893,,,,931797,001,2025-08-07_10h38.31.714,regret_experiment,2024.2.4,121.73187944977683,1,0.2,0.7,0.5,2025-08-07 10h38.43.200169 -0700,
