thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.008634875004645437,0.023928457987494767,0.023928457987494767,3.62451129197143,space,3.56647745805094,None,,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
0,0,0,right,1.8917485830024816,None,None,,,0,0,0,0,4.159112458000891,,,,,,,,,3.6262737920042127,4.159112458000891,0.0017274999991059303,4.634195874969009,1,1,0.5,0.7,0.2,4.634499499981757,4.643266167026013,4.643266167026013,4.643266167026013,4.643266167026013,6.53947091702139,right,1.8917485830024816,None,right,1.8917485830024816,0.2,1,6.560188999981619,6.595685791980941,6.595685791980941,6.595685791980941,6.595685791980941,8.541502874984872,NA,NA,8.541885833023116,8.541962791990954,None,8.542047875002027,8.549578916979954,9.539981250010896,9.534076542011462,,,,,,,,,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
1,0,1,left,1.477564834000077,None,None,,,1,0,1,0,9.539981250010896,,,,,,,,,9.534470250015147,9.539981250010896,0.008395749959163368,10.534793749975506,2,1,0.5,0.7,0.2,10.535084666975308,10.54202350002015,10.54202350002015,10.54202350002015,10.54202350002015,12.023834125022404,left,1.477564834000077,None,left,1.477564834000077,0.5,1,12.042128250002861,12.050898457993753,12.050898457993753,12.050898457993753,12.050898457993753,14.03449200000614,NA,NA,14.034983167017344,14.035055249987636,None,14.035161875013728,14.041085375007242,15.04169099999126,15.035059417015873,10.54202350002015,,,,,,,,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
2,0,2,left,0.45845220796763897,None,2,7.927681708009914,None,2,0,2,0,15.04169099999126,,,,,,,,,15.03556699998444,15.04169099999126,0.00047262496082112193,16.033994791971054,3,1,0.5,0.7,0.2,16.034272541990504,16.20148466702085,16.20148466702085,16.20148466702085,16.20148466702085,16.66903300001286,left,0.45845220796763897,None,left,0.45845220796763897,0.5,0,16.6881430830108,16.702042041986715,16.702042041986715,16.702042041986715,16.702042041986715,18.67285199998878,2,7.927681708009914,18.684425375016872,26.624213791976217,2,26.62436145800166,26.633201832999475,27.62365895800758,27.617609291977715,16.20148466702085,18.692178791970946,18.692178791970946,18.692178791970946,18.692178791970946,18.692178791970946,7.927681708009914,None,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
3,0,3,up,0.7563305419753306,None,2,2.362353709002491,None,3,0,3,0,27.62365895800758,,,,,,,,,27.61806908302242,27.62365895800758,-0.0005993329687044024,28.608169083017856,4,1,0.5,0.7,0.2,28.608494292013347,28.61637470801361,28.61637470801361,28.61637470801361,28.61637470801361,29.37496370798908,up,0.7563305419753306,None,up,0.7563305419753306,0.7,0,29.39516499999445,29.403620166995097,29.403620166995097,29.403620166995097,29.403620166995097,31.383700124977622,2,2.362353709002491,31.39540862501599,33.76837970799534,2,33.768504832987674,33.77404170797672,34.76697391702328,34.75715512497118,28.61637470801361,31.402485958009493,31.402485958009493,31.402485958009493,31.402485958009493,31.402485958009493,2.362353709002491,None,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
4,0,4,right,1.4699076659744605,None,2,1.2160995840094984,None,4,0,4,0,34.76697391702328,,,,,,,,,34.75754791701911,34.76697391702328,0.003881584038026631,35.7508135419921,5,1,0.5,0.7,0.2,35.75109095801599,35.767104666971136,35.767104666971136,35.767104666971136,35.767104666971136,37.24130133300787,right,1.4699076659744605,None,right,1.4699076659744605,0.2,0,37.26357041700976,37.27155933302129,37.27155933302129,37.27155933302129,37.27155933302129,39.25052537501324,2,1.2160995840094984,39.262258625007235,40.49055462499382,2,40.49067212501541,40.49931616696995,41.48990862502251,41.48405475000618,35.75569570797961,39.26944270799868,39.26944270799868,39.26944270799868,39.26944270799868,39.26944270799868,1.2160995840094984,None,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
5,0,5,left,0.6487435000017285,None,None,,,5,0,5,0,41.48990862502251,,,,,,,,,41.48454637499526,41.48990862502251,-0.0006749169551767409,42.48425662500085,6,1,0.5,0.7,0.2,42.48451529198792,42.49012854200555,42.49012854200555,42.49012854200555,42.49012854200555,43.15145579201635,left,0.6487435000017285,None,left,0.6487435000017285,0.5,1,43.168587457970716,43.17602104198886,43.17602104198886,43.17602104198886,43.17602104198886,45.15673475002404,NA,NA,45.15709854202578,45.15715133299818,None,45.15722737502074,45.16703208297258,46.15828220802359,46.151369749975856,42.49012854200555,,,,,,,,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
6,0,6,left,0.38910387497162446,None,None,,,6,0,6,0,46.15828220802359,,,,,,,,,46.151993291976396,46.15828220802359,0.0011341249919496477,47.151502749999054,7,1,0.5,0.7,0.2,47.151774708007,47.16711112501798,47.16711112501798,47.16711112501798,47.16711112501798,47.56827308301581,left,0.38910387497162446,None,left,0.38910387497162446,0.5,1,47.586292332969606,47.594609749969095,47.594609749969095,47.594609749969095,47.594609749969095,49.572773208026774,NA,NA,49.57307129201945,49.573138499981724,None,49.57323383301264,49.58379545802018,50.58425337501103,50.568278625025414,47.16711112501798,,,,,,,,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
7,0,7,up,0.3597296249936335,None,None,,,7,0,7,0,50.58425337501103,,,,,,,,,50.568888082983904,50.58425337501103,0.01111441699322313,51.56767104199389,8,1,0.5,0.7,0.2,51.567902542010415,51.57523125002626,51.57523125002626,51.57523125002626,51.57523125002626,51.93776349996915,up,0.3597296249936335,None,up,0.3597296249936335,0.7,1,51.955902500019874,51.96306345798075,51.96306345798075,51.96306345798075,51.96306345798075,53.93882279196987,NA,NA,53.93913850001991,53.93919112498406,None,53.93926716700662,53.95042574999388,54.94125554198399,54.934992207970936,51.57523125002626,,,,,,,,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
8,0,8,right,0.744123375043273,None,1,0.5668457079445943,None,8,0,8,0,54.94125554198399,,,,,,,,,54.935504957975354,54.94125554198399,0.002069292007945478,55.924465957970824,9,1,0.5,0.7,0.2,55.924734791973606,55.933272499998566,55.933272499998566,55.933272499998566,55.933272499998566,56.6850590420072,right,0.744123375043273,None,right,0.744123375043273,0.2,0,56.705287542019505,56.71403458301211,56.71403458301211,56.71403458301211,56.71403458301211,58.6905617499724,1,0.5668457079445943,58.70174966700142,59.28997824998805,1,59.29009629198117,59.29839904198889,60.28998699999647,60.283996667014435,55.933272499998566,58.70893312501721,58.70893312501721,58.70893312501721,58.70893312501721,58.70893312501721,0.5668457079445943,None,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
9,0,9,up,0.9279760419740342,None,None,,,9,0,9,0,60.28998699999647,,,,,,,,,60.28441504196962,60.28998699999647,1.5208031982183456e-05,61.27284520800458,10,1,0.5,0.7,0.2,61.27311599999666,61.28376020799624,61.28376020799624,61.28376020799624,61.28376020799624,62.21997462498257,up,0.9279760419740342,None,up,0.9279760419740342,0.7,1,62.23856508301105,62.24644812499173,62.24644812499173,62.24644812499173,62.24644812499173,64.22244400001364,NA,NA,64.22274266701424,64.22280412499094,None,64.2228768329951,64.2338412500103,65.22446624998702,65.218159208016,61.28376020799624,,,,,,,,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
10,0,10,right,0.4617061670287512,None,2,4.142869999981485,None,10,0,10,0,65.22446624998702,,,,,,,,,65.21856020798441,65.22446624998702,0.0016865839716047049,66.21776545798639,11,1,0.5,0.7,0.2,66.21803300001193,66.22414008300984,66.22414008300984,66.22414008300984,66.22414008300984,66.68991374998586,right,0.4617061670287512,None,right,0.4617061670287512,0.2,0,66.70874566701241,66.71721070801141,66.71721070801141,66.71721070801141,66.71721070801141,68.69073162501445,2,4.142869999981485,68.7019653749885,72.85729125002399,2,72.85743337497115,72.86617766699055,73.85866387496935,73.85127899999497,66.22414008300984,68.70909437502269,68.70909437502269,68.70909437502269,68.70909437502269,68.70909437502269,4.142869999981485,None,,,,064132,001,2025-08-12_15h28.30.784,regret_experiment,2024.2.4,122.70114342695148,1,0.5,0.7,0.2,2025-08-12 15h28.36.523670 -0700,
