thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.005342958960682154,0.01482895901426673,0.01482895901426673,1.3841503341682255,space,1.3349857500288635,None,,,,,,2,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
0,0,0,up,1.2260271250270307,None,None,,,0,0,0,0,1.8990704591851681,,,,,,,,,1.385104584041983,1.8990704591851681,0.0009398330003023148,2.3911790000274777,1,2,0.2,0.5,0.7,2.39157708408311,2.404265250079334,2.404265250079334,2.404265250079334,2.404265250079334,3.632399084046483,up,1.2260271250270307,None,up,1.2260271250270307,0.5,0,3.651263709180057,3.6723467921838164,3.6723467921838164,3.6723467921838164,3.6723467921838164,5.64364124997519,NA,NA,5.644039000151679,5.644070917041972,None,5.644134917063639,5.655096500180662,6.657984750112519,6.643476834055036,,,,,,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
1,0,1,right,0.9733964160550386,None,None,,,1,0,1,0,6.657984750112519,,,,,,,,,6.643944917013869,6.657984750112519,-0.00014533288776874542,7.64435450010933,2,2,0.2,0.5,0.7,7.644711375003681,7.657304625026882,7.657304625026882,7.657304625026882,7.657304625026882,8.633027834119275,right,0.9733964160550386,None,right,0.9733964160550386,0.7,1,8.646801917115226,8.649869000073522,8.649869000073522,8.649869000073522,8.649869000073522,10.643557625124231,NA,NA,10.64383904216811,10.643870749976486,None,10.64392750011757,10.656812499975786,,11.643994583981112,,,,,,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
2,0,2,left,1.269690915942192,None,None,,,2,0,2,0,11.657624084036797,,,,,,,,,11.6444485001266,11.657624084036797,0.0005594170652329922,12.644042792031541,3,2,0.2,0.5,0.7,12.644353667041287,12.657052667113021,12.657052667113021,12.657052667113021,12.657052667113021,13.931864334037527,left,1.269690915942192,None,left,1.269690915942192,0.2,0,13.945573500124738,13.949276459170505,13.949276459170505,13.949276459170505,13.949276459170505,15.935030875029042,NA,NA,15.935555916978046,15.935587625019252,None,15.935658334055915,15.951374666998163,,16.936283792136237,12.657052667113021,,,,,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
3,0,3,up,0.566639041993767,None,None,,,3,0,3,0,16.950024584075436,,,,,,,,,16.936805167002603,16.950024584075436,0.0011951660271734,17.935749625088647,4,2,0.2,0.5,0.7,17.9360619999934,17.9505260840524,17.9505260840524,17.9505260840524,17.9505260840524,18.52332575013861,up,0.566639041993767,None,up,0.566639041993767,0.5,1,18.535532459151,18.538325709057972,18.538325709057972,18.538325709057972,18.538325709057972,20.523833584040403,NA,NA,20.524167499970645,20.52421341696754,None,20.524288709042594,20.53693791711703,21.537557834060863,21.523716249968857,17.9505260840524,,,,,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
4,0,4,up,1.0288161251228303,None,None,,,4,0,4,0,21.537557834060863,,,,,,,,,21.524167417082936,21.537557834060863,-7.02498946338892e-05,22.524227084126323,5,2,0.2,0.5,0.7,22.524568208958954,22.536719375057146,22.536719375057146,22.536719375057146,22.536719375057146,23.577256791992113,up,1.0288161251228303,None,up,1.0288161251228303,0.5,1,23.589072584174573,23.594452999997884,23.594452999997884,23.594452999997884,23.594452999997884,25.577259834157303,NA,NA,25.577653125161305,25.57768320897594,None,25.577764250105247,25.59080016706139,26.590688292169943,26.575929834041744,22.536719375057146,25.59080016706139,25.59080016706139,25.59080016706139,25.59080016706139,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
5,0,5,up,0.6551030001137406,None,None,,,5,0,5,0,26.590688292169943,,,,,,,,,26.57640958414413,26.590688292169943,0.01300687505863607,27.577154583996162,6,2,0.2,0.5,0.7,27.577487917151302,27.590895834146068,27.590895834146068,27.590895834146068,27.590895834146068,28.259182792156935,up,0.6551030001137406,None,up,0.6551030001137406,0.5,1,28.2713755001314,28.274122750153765,28.274122750153765,28.274122750153765,28.274122750153765,30.257812709081918,NA,NA,30.25809304206632,30.258121125167236,None,30.258187292143703,30.27045158413239,31.268847209168598,31.25837783399038,27.590895834146068,30.27045158413239,30.27045158413239,30.27045158413239,30.27045158413239,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
6,0,6,up,0.9924149168655276,None,None,,,6,0,6,0,31.268847209168598,,,,,,,,,31.258799958974123,31.268847209168598,0.000659832963719964,32.25712537509389,7,2,0.2,0.5,0.7,32.25743604218587,32.26894462504424,32.26894462504424,32.26894462504424,32.26894462504424,33.270343584008515,up,0.9924149168655276,None,up,0.9924149168655276,0.5,1,33.28232108405791,33.28516216715798,33.28516216715798,33.28516216715798,33.28516216715798,35.270717167062685,NA,NA,35.27101749996655,35.27104575000703,None,35.27110412507318,35.28272062516771,,36.27120941714384,32.26894462504424,35.28272062516771,35.28272062516771,35.28272062516771,35.28272062516771,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
7,0,7,up,0.42718266719020903,None,None,,,7,0,7,0,36.28362008417025,,,,,,,,,36.27170329215005,36.28362008417025,0.0006410419009625912,37.27012512506917,8,2,0.2,0.5,0.7,37.270438875071704,37.28310550004244,37.28310550004244,37.28310550004244,37.28310550004244,37.71234383410774,up,0.42718266719020903,None,up,0.42718266719020903,0.5,1,37.725035125156865,37.72872512508184,37.72872512508184,37.72872512508184,37.72872512508184,39.722117125056684,NA,NA,39.72254700004123,39.722590249963105,None,39.722663667052984,39.7374500001315,,40.724509209161624,37.28310550004244,,,,,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
8,0,8,up,0.6456422919873148,None,None,,,8,0,8,0,40.73806795896962,,,,,,,,,40.72498504212126,40.73806795896962,0.0023702499456703663,41.723264834145084,9,2,0.2,0.5,0.7,41.72365612513386,41.736266541993245,41.736266541993245,41.736266541993245,41.736266541993245,42.39057495910674,up,0.6456422919873148,None,up,0.6456422919873148,0.5,0,42.403872875031084,42.40654570912011,42.40654570912011,42.40654570912011,42.40654570912011,44.38946475018747,NA,NA,44.38980112504214,44.389831042150036,None,44.389918625121936,44.40315708401613,,45.39077275013551,,44.40315708401613,44.40315708401613,44.40315708401613,44.40315708401613,,,,,,,,,,,33604,001,2025-11-03_14h24.38.158,regret_experiment,,2025.1.1,74.62303713747534,2,0.2,0.5,0.7,2025-11-03 14h24.47.792096 -0800,
