thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.03771604200301226,0.052445708999584895,0.052445708999584895,5.193412874999922,space,5.134636540999054,None,,,,,,1,0.7,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
0,0,0,right,2.700069499995152,None,None,,,0,0,0,0,5.749061875001644,,,,,,,,,5.196992334000242,5.749061875001644,0.0035740000021178275,6.201680042002408,1,1,0.7,0.5,0.2,6.202241541999683,6.220809834005195,6.220809834005195,6.220809834005195,6.220809834005195,8.925936042003741,right,2.700069499995152,None,right,2.700069499995152,0.2,1,8.94838458400045,8.963725125002384,8.963725125002384,8.963725125002384,8.963725125002384,10.935056042006181,NA,NA,10.935729959004675,10.93587579200539,None,10.936012792000838,10.943305375003547,11.940660500004014,11.934986292006215,,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
1,0,1,up,1.3965862919940264,None,1,3.6598575829993933,None,1,0,1,0,11.940660500004014,,,,,,,,,11.93533337500412,11.940660500004014,-0.0006087079964345321,12.93582054199942,2,1,0.7,0.5,0.2,12.936519584000052,12.941371542001434,12.941371542001434,12.941371542001434,12.941371542001434,14.341794917003426,up,1.3965862919940264,None,up,1.3965862919940264,0.5,0,14.37326091700379,14.383155875002558,14.383155875002558,14.383155875002558,14.383155875002558,16.351195458999428,1,3.6598575829993933,16.367601334000938,20.04336925000098,1,20.043471209006384,20.069258584000636,,21.0511995840061,12.941371542001434,16.381963917003304,16.381963917003304,16.381963917003304,16.381963917003304,16.381963917003304,3.6598575829993933,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
2,0,2,up,1.256424999999581,None,None,,,2,0,2,0,21.05697075000353,,,,,,,,,21.051883833999455,21.05697075000353,0.008469749998766929,22.05133316700085,3,1,0.7,0.5,0.2,22.051686292004888,22.056865917002142,22.056865917002142,22.056865917002142,22.056865917002142,23.31924904200423,up,1.256424999999581,None,up,1.256424999999581,0.5,1,23.333234959005495,23.342943667004874,23.342943667004874,23.342943667004874,23.342943667004874,25.32432004200382,NA,NA,25.32479620900267,25.32482775000244,None,25.32488320900302,25.33450145900133,26.32447850000608,26.318292667005153,,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
3,0,3,right,0.8227294999960577,None,2,1.1624545000013313,None,3,0,3,0,26.32447850000608,,,,,,,,,26.318727792000573,26.32447850000608,-0.0003384580049896613,27.318216209001548,4,1,0.7,0.5,0.2,27.318532208999386,27.323175375000574,27.323175375000574,27.323175375000574,27.323175375000574,28.152209584004595,right,0.8227294999960577,None,right,0.8227294999960577,0.2,0,28.168673584004864,28.178513167003985,28.178513167003985,28.178513167003985,28.178513167003985,30.15757804200257,2,1.1624545000013313,30.16540483400604,31.342429584001366,2,31.342552917005378,31.355260667005496,32.35146600000007,32.3404383340021,27.323175375000574,30.174646584004222,30.174646584004222,30.174646584004222,30.174646584004222,30.174646584004222,1.1624545000013313,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
4,0,4,left,0.8995149580005091,None,None,,,4,0,4,0,32.35146600000007,,,,,,,,,32.341233500003,32.35146600000007,0.00904933399579022,33.3358670420057,5,1,0.7,0.5,0.2,33.336649834003765,33.34318654200615,33.34318654200615,33.34318654200615,33.34318654200615,34.25358799999958,left,0.8995149580005091,None,left,0.8995149580005091,0.7,1,34.2799822090019,34.28987870900164,34.28987870900164,34.28987870900164,34.28987870900164,36.2571306250029,NA,NA,36.25783679199958,36.25792583400471,None,36.258088167000096,36.26823762500135,37.25953162500082,37.25255529200513,33.34318654200615,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
5,0,5,left,0.9682917500031181,None,None,,,5,0,5,0,37.25953162500082,,,,,,,,,37.25353154200275,37.25953162500082,0.0016006250007194467,38.251144750000094,6,1,0.7,0.5,0.2,38.251644250005484,38.25741179200122,38.25741179200122,38.25741179200122,38.25741179200122,39.23640470900136,left,0.9682917500031181,None,left,0.9682917500031181,0.7,1,39.2621152089996,39.27305970900488,39.27305970900488,39.27305970900488,39.27305970900488,41.24023537500034,NA,NA,41.24097533400345,41.24106362500606,None,41.24116737500299,41.25156933400285,42.24038025000482,42.23468237500492,38.25741179200122,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
6,0,6,up,0.8488741659966763,None,None,,,6,0,6,0,42.24038025000482,,,,,,,,,42.235345042005065,42.24038025000482,-0.0006616249957005493,43.22402179200435,7,1,0.7,0.5,0.2,43.22448479200102,43.24075450000237,43.24075450000237,43.24075450000237,43.24075450000237,44.09394691700436,up,0.8488741659966763,None,up,0.8488741659966763,0.5,1,44.11963258400647,44.128535959003784,44.128535959003784,44.128535959003784,44.128535959003784,46.10178012500546,NA,NA,46.10254504200566,46.10264704200381,None,46.10280308400252,46.108117458999914,47.10940504199971,47.10225179200643,43.2348381250049,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
7,0,7,up,1.4854789999953937,None,1,0.9352497919971938,None,7,0,7,0,47.10940504199971,,,,,,,,,47.10296454200579,47.10940504199971,0.00026287499349564314,48.102483209004276,8,1,0.7,0.5,0.2,48.103067792006186,48.10938483400241,48.10938483400241,48.10938483400241,48.10938483400241,49.60420429200167,up,1.4854789999953937,None,up,1.4854789999953937,0.5,0,49.63410954200663,49.643095459003234,49.643095459003234,49.643095459003234,49.643095459003234,51.60753033400397,1,0.9352497919971938,51.623649084001954,52.5772097500012,1,52.577393125000526,52.590842042001896,53.584817500006466,53.574392125003214,48.10938483400241,51.635601709000184,51.635601709000184,51.635601709000184,51.635601709000184,51.635601709000184,0.9352497919971938,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
8,0,8,right,0.49347649999981513,None,1,0.7186338749961578,None,8,0,8,0,53.584817500006466,,,,,,,,,53.57521141700272,53.584817500006466,0.0075738329978776164,54.56919354200363,9,1,0.7,0.5,0.2,54.56978225000057,54.57581333400594,54.57581333400594,54.57581333400594,54.57581333400594,55.076612834003754,right,0.49347649999981513,None,right,0.49347649999981513,0.2,0,55.103509917003976,55.111925791999965,55.111925791999965,55.111925791999965,55.111925791999965,57.0849347090043,1,0.7186338749961578,57.09414029199979,57.824023084001965,1,57.82409745900077,57.83473208400392,58.82607862500299,58.81913758400333,54.57581333400594,57.101097625003604,57.101097625003604,57.101097625003604,57.101097625003604,57.101097625003604,0.7186338749961578,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
9,0,9,up,0.6164833330039983,None,2,0.8939493329962716,None,9,0,9,0,58.82607862500299,,,,,,,,,58.82012458400277,58.82607862500299,0.0020961670015822165,59.81896654199954,10,1,0.7,0.5,0.2,59.819749875001435,59.82558870900539,59.82558870900539,59.82558870900539,59.82558870900539,60.45339633399999,up,0.6164833330039983,None,up,0.6164833330039983,0.5,0,60.47977850000461,60.485919167003885,60.485919167003885,60.485919167003885,60.485919167003885,62.45746700000018,2,0.8939493329962716,62.47647387500183,63.387228084000526,2,63.387391292002576,63.395966584001144,64.39330908400007,64.38577837500634,59.82558870900539,62.483996584000124,62.483996584000124,62.483996584000124,62.483996584000124,62.483996584000124,0.8939493329962716,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
10,0,10,right,1.7775079589991947,None,2,1.1775662080035545,None,10,0,10,0,64.39330908400007,,,,,,,,,64.38653770900419,64.39330908400007,-0.0007523330059484579,65.3856179170034,11,1,0.7,0.5,0.2,65.38618141700135,65.39188866699988,65.39188866699988,65.39188866699988,65.39188866699988,67.17626287500025,right,1.7775079589991947,None,right,1.7775079589991947,0.2,0,67.20087137500377,67.20894108400535,67.20894108400535,67.20894108400535,67.20894108400535,69.18505500000174,2,1.1775662080035545,69.20117095900059,70.3991007920049,2,70.39926487500634,70.40923291700165,,71.40196041700256,65.39188866699988,69.2088934170024,69.2088934170024,69.2088934170024,69.2088934170024,69.2088934170024,1.1775662080035545,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
11,0,11,up,0.7370350829951349,None,None,,,11,0,11,0,71.40999391700461,,,,,,,,,71.40295425000659,71.40999391700461,0.003801500002737157,72.40169008399971,12,1,0.7,0.5,0.2,72.40230545899976,72.40910216700286,72.40910216700286,72.40910216700286,72.40910216700286,73.15347495900642,up,0.7370350829951349,None,up,0.7370350829951349,0.5,1,73.18086179200327,73.18922587500128,73.18922587500128,73.18922587500128,73.18922587500128,75.15734283400525,NA,NA,75.15802304200042,75.15811429200403,None,75.15823216699937,75.16834637500142,76.15876454200043,76.15244116700342,,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
12,0,12,right,0.9557199160044547,None,1,0.5431486670058803,None,12,0,12,0,76.15876454200043,,,,,,,,,76.15322733400535,76.15876454200043,0.0006650419963989407,77.15250212500541,13,1,0.7,0.5,0.2,77.15293825000117,77.15878545900341,77.15878545900341,77.15878545900341,77.15878545900341,78.12039183400339,right,0.9557199160044547,None,right,0.9557199160044547,0.2,0,78.1332426670051,78.14073020900105,78.14073020900105,78.14073020900105,78.14073020900105,80.1228767499997,1,0.5431486670058803,80.13093750000553,80.68583795900486,1,80.68592687500495,80.69018170900381,81.68888879199949,81.68406700000196,77.15878545900341,80.13845412500086,80.13845412500086,80.13845412500086,80.13845412500086,80.13845412500086,0.5431486670058803,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
13,0,13,left,0.893042499999865,None,None,,,13,0,13,0,81.68888879199949,,,,,,,,,81.68456929200329,81.68888879199949,0.0030515000034938566,82.67461858400202,14,1,0.7,0.5,0.2,82.67491979199986,82.68422704200202,82.68422704200202,82.68422704200202,82.68422704200202,83.5871564590052,left,0.893042499999865,None,left,0.893042499999865,0.7,1,83.59971875000338,83.60773683400475,83.60773683400475,83.60773683400475,83.60773683400475,85.59009575000528,NA,NA,85.59072112500144,85.59078299999965,None,85.59086391700112,85.60154812499968,86.59234983400529,86.58599041700654,82.68422704200202,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
14,0,14,left,0.6603448750029202,None,None,,,14,0,14,0,86.59234983400529,,,,,,,,,86.58686100000341,86.59234983400529,0.0016104590031318367,87.58572562500194,15,1,0.7,0.5,0.2,87.58645950000209,87.5924656250063,87.5924656250063,87.5924656250063,87.5924656250063,88.26004966700566,left,0.6603448750029202,None,left,0.6603448750029202,0.7,1,88.28392658400116,88.2938910840021,88.2938910840021,88.2938910840021,88.2938910840021,90.26852287500515,NA,NA,90.26909379200515,90.26916687500488,None,90.26927704200352,90.27455387500231,91.27694591700129,91.26930374999938,87.5924656250063,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
15,0,15,up,1.3282324169995263,None,None,,,15,0,15,0,91.27694591700129,,,,,,,,,91.27020395900036,91.27694591700129,0.0010285000025760382,92.26836620900576,16,1,0.7,0.5,0.2,92.2688812500055,92.27505137499975,92.27505137499975,92.27505137499975,92.27505137499975,93.6107199590042,up,1.3282324169995263,None,up,1.3282324169995263,0.5,1,93.63712562500587,93.64646220900613,93.64646220900613,93.64646220900613,93.64646220900613,95.61871745900135,NA,NA,95.61940441700426,95.61951350000163,None,95.61965408400283,95.62514775000454,96.62665458400443,96.61967166700197,92.27505137499975,,,,,,,,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
16,0,16,right,0.5443396250047954,None,1,0.5158717080048518,None,16,0,16,0,96.62665458400443,,,,,,,,,96.62053675000061,96.62665458400443,0.00097749999986263,97.61925070900179,17,1,0.7,0.5,0.2,97.6197893339995,97.62567720900552,97.62567720900552,97.62567720900552,97.62567720900552,98.17772758399951,right,0.5443396250047954,None,right,0.5443396250047954,0.2,0,98.20758179200493,98.21594449999975,98.21594449999975,98.21594449999975,98.21594449999975,100.18527616700158,1,0.5158717080048518,100.20484991700505,100.73715370900027,1,100.73734175000573,100.74613012500049,101.74436975000572,101.73635054199985,97.62567720900552,100.2141132090037,100.2141132090037,100.2141132090037,100.2141132090037,100.2141132090037,0.5158717080048518,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
17,0,17,left,0.6443898329962394,None,1,0.6007781669977703,None,17,0,17,0,101.74436975000572,,,,,,,,,101.7375513750012,101.74436975000572,0.00030862499988870695,102.73583212499943,18,1,0.7,0.5,0.2,102.7363738750064,102.74222658399958,102.74222658399958,102.74222658399958,102.74222658399958,103.39340012500179,left,0.6443898329962394,None,left,0.6443898329962394,0.7,0,103.42335191700113,103.4312212090008,103.4312212090008,103.4312212090008,103.4312212090008,105.40179866700055,1,0.6007781669977703,105.41818250000506,106.03675150000345,1,106.03690312500112,106.04576383400126,107.04360216700297,107.03592429200216,102.74222658399958,105.42566487500153,105.42566487500153,105.42566487500153,105.42566487500153,105.42566487500153,0.6007781669977703,None,,,,33799,001,2025-10-22_14h02.56.650,regret_experiment,2024.2.4,None,1,0.7,0.5,0.2,2025-10-22 14h03.11.404630 -0700,
