thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.0058222501538693905,0.022495167097076774,0.022495167097076774,3.0990952081047,space,3.041614792076871,None,,,,,,2,0.7,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
0,0,0,up,5.732099958928302,None,None,,,0,0,0,0,3.6214674580842257,,,,,,,,,3.099966833135113,3.6214674580842257,0.0008692501578480005,4.104029207956046,1,2,0.7,0.2,0.5,4.104443832999095,4.117699250113219,4.117699250113219,4.117699250113219,4.117699250113219,9.852303042076528,up,5.732099958928302,None,up,5.732099958928302,0.2,0,9.871332291979343,9.890771958045661,9.890771958045661,9.890771958045661,9.890771958045661,11.863757667131722,NA,NA,11.86414570803754,11.864182875026017,None,11.864253583131358,11.876790458103642,12.873255917103961,,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
1,0,1,left,2.818271500058472,None,None,,,1,0,1,0,12.892383875092492,,,,,,,,,12.873702666955069,12.892383875092492,0.009492791024968028,13.865243792068213,2,2,0.7,0.2,0.5,13.865909792017192,13.879161542048678,13.879161542048678,13.879161542048678,13.879161542048678,16.703398125013337,left,2.818271500058472,None,left,2.818271500058472,0.7,1,16.713923166971654,16.716700042132288,16.716700042132288,16.716700042132288,16.716700042132288,18.70434462511912,NA,NA,18.704875958152115,18.704913125140592,None,18.704990375088528,18.717232833150774,19.704515250166878,19.717500833095983,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
2,0,2,left,1.900429792003706,None,None,,,2,0,2,0,19.717500833095983,,,,,,,,,19.70488145807758,19.717500833095983,-5.733314901590347e-05,20.704674707958475,3,2,0.7,0.2,0.5,20.704941333038732,20.71738400007598,20.71738400007598,20.71738400007598,20.71738400007598,22.625644917134196,left,1.900429792003706,None,left,1.900429792003706,0.7,0,22.642217417014763,22.65090737515129,22.65090737515129,22.65090737515129,22.65090737515129,24.637670791940764,NA,NA,24.638046333100647,24.638082250021398,None,24.63815875002183,24.650916417129338,25.63783433311619,25.650798333110288,20.71738400007598,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
3,0,3,right,2.2262238329276443,None,None,,,3,0,3,0,25.650798333110288,,,,,,,,,25.638255666941404,25.650798333110288,0.00014733406715095043,26.63845312502235,4,2,0.7,0.2,0.5,26.63872441696003,26.65071745798923,26.65071745798923,26.65071745798923,26.65071745798923,28.879088792018592,right,2.2262238329276443,None,right,2.2262238329276443,0.5,1,28.892362083075568,28.896814708132297,28.896814708132297,28.896814708132297,28.896814708132297,30.890913125127554,NA,NA,30.891239332966506,30.89127525012009,None,30.89135425002314,30.90419266698882,31.8911640830338,31.90424658311531,26.65071745798923,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
4,0,4,up,1.4612272919621319,None,None,,,4,0,4,0,31.90424658311531,,,,,,,,,31.891626083059236,31.90424658311531,0.0003242911770939827,32.90337620815262,5,2,0.7,0.2,0.5,32.90377041697502,32.9166734169703,32.9166734169703,32.9166734169703,32.9166734169703,34.38573983311653,up,1.4612272919621319,None,up,1.4612272919621319,0.2,0,34.400802333140746,34.40527774998918,34.40527774998918,34.40527774998918,34.40527774998918,36.397572207963094,NA,NA,36.397961042122915,36.3979970831424,None,36.39807566697709,36.41075037512928,37.397687582997605,37.410739958053455,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
5,0,5,up,1.1460603750310838,None,None,,,5,0,5,0,37.410739958053455,,,,,,,,,37.39812758308835,37.410739958053455,0.00010504201054573059,38.39787441701628,6,2,0.7,0.2,0.5,38.398242542054504,38.41081066709012,38.41081066709012,38.41081066709012,38.41081066709012,39.55893833306618,up,1.1460603750310838,None,up,1.1460603750310838,0.2,0,39.57382129202597,39.57841170812026,39.57841170812026,39.57841170812026,39.57841170812026,41.57096858299337,NA,NA,41.57131683314219,41.57135062501766,None,41.57142304209992,41.584173375042155,42.57116937497631,42.5840782080777,38.41081066709012,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
6,0,6,right,0.37244666600599885,None,None,,,6,0,6,0,42.5840782080777,,,,,,,,,42.57160279201344,42.5840782080777,0.0002307079266756773,43.57115125004202,7,2,0.7,0.2,0.5,43.57144212513231,43.584136333083734,43.584136333083734,43.584136333083734,43.584136333083734,43.959830624982715,right,0.37244666600599885,None,right,0.37244666600599885,0.5,0,43.98042850010097,43.98326604207978,43.98326604207978,43.98326604207978,43.98326604207978,45.970923917135224,NA,NA,45.97131395805627,45.97134966705926,None,45.971423250157386,45.984083583112806,46.97147566708736,46.984295583097264,43.584136333083734,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
7,0,7,left,0.6175205840263516,None,None,,,7,0,7,0,46.984295583097264,,,,,,,,,46.97194662503898,46.984295583097264,0.0005759999621659517,47.97116954205558,8,2,0.7,0.2,0.5,47.97147054201923,47.98408312513493,47.98408312513493,47.98408312513493,47.98408312513493,48.61236304207705,left,0.6175205840263516,None,left,0.6175205840263516,0.7,0,48.62720154202543,48.63160891714506,48.63160891714506,48.63160891714506,48.63160891714506,50.62427137512714,NA,NA,50.62461329204962,50.624650000128895,None,50.6247252500616,50.63765579205938,51.62451841705479,51.6375126671046,47.98408312513493,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
8,0,8,up,0.5246518331114203,None,None,,,8,0,8,0,51.6375126671046,,,,,,,,,51.62496595806442,51.6375126671046,0.0002911249175667763,52.62434683297761,9,2,0.7,0.2,0.5,52.624617957975715,52.63756425003521,52.63756425003521,52.63756425003521,52.63756425003521,53.171954167075455,up,0.5246518331114203,None,up,0.5246518331114203,0.2,0,53.18713012500666,53.19155999994837,53.19155999994837,53.19155999994837,53.19155999994837,55.18418824998662,NA,NA,55.18452591705136,55.18456045794301,None,55.184635375160724,55.19745312514715,56.18465291708708,56.197643167106435,52.63756425003521,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
9,0,9,left,0.7477211249060929,None,None,,,9,0,9,0,56.197643167106435,,,,,,,,,56.185031292028725,56.197643167106435,0.00044475006870925426,57.18444179208018,10,2,0.7,0.2,0.5,57.18473675008863,57.19734708312899,57.19734708312899,57.19734708312899,57.19734708312899,57.957618083106354,left,0.7477211249060929,None,left,0.7477211249060929,0.7,1,57.97189741698094,57.97662249999121,57.97662249999121,57.97662249999121,57.97662249999121,59.970898375147954,NA,NA,59.97125883307308,59.971293749986216,None,59.971368208061904,59.984269542153925,60.97127924999222,60.98412016709335,57.19734708312899,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
10,0,10,right,1.0337723339907825,None,None,,,10,0,10,0,60.98412016709335,,,,,,,,,60.97170404205099,60.98412016709335,0.0003849589265882969,61.97123529203236,11,2,0.7,0.2,0.5,61.971545916981995,61.98416329198517,61.98416329198517,61.98416329198517,61.98416329198517,63.02606216701679,right,1.0337723339907825,None,right,1.0337723339907825,0.5,0,63.04180120816454,63.046517375158146,63.046517375158146,63.046517375158146,63.046517375158146,65.0377528751269,NA,NA,65.03807483310811,65.03811029205099,None,65.038185833022,65.05089891701937,66.03779374994338,66.05084458296187,61.98416329198517,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
11,0,11,up,0.4814030409324914,None,None,,,11,0,11,0,66.05084458296187,,,,,,,,,66.03820770815946,66.05084458296187,7.408391684293747e-05,67.03734479215927,12,2,0.7,0.2,0.5,67.03763620811515,67.04970533307642,67.04970533307642,67.04970533307642,67.04970533307642,67.53310100012459,up,0.4814030409324914,None,up,0.4814030409324914,0.2,0,67.54693404212594,67.55143125005998,67.55143125005998,67.55143125005998,67.55143125005998,69.54502991703339,NA,NA,69.54541316698305,69.54544470808469,None,69.5455192499794,69.55836645816453,70.54417799995281,70.55809412500821,67.04970533307642,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
12,0,12,up,0.9863050419371575,None,None,,,12,0,12,0,70.55809412500821,,,,,,,,,70.54457750008442,70.55809412500821,-0.0008936661761254072,71.54542270815,13,2,0.7,0.2,0.5,71.54570379201323,71.55845450004563,71.55845450004563,71.55845450004563,71.55845450004563,72.55705275014043,up,0.9863050419371575,None,up,0.9863050419371575,0.2,0,72.56766558298841,72.57054829201661,72.57054829201661,72.57054829201661,72.57054829201661,74.5585859999992,NA,NA,74.55907337507233,74.55910545797087,None,74.55917633301578,74.57153520802967,75.55626274994574,75.56942558311857,71.55845450004563,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
13,0,13,left,1.0469647920690477,None,None,,,13,0,13,0,75.56942558311857,,,,,,,,,75.55657504196279,75.56942558311857,0.010344458045437932,76.55903958296403,14,2,0.7,0.2,0.5,76.5593156251125,76.57148124999367,76.57148124999367,76.57148124999367,76.57148124999367,77.62656100001186,left,1.0469647920690477,None,left,1.0469647920690477,0.7,1,77.63875179202296,77.64208437502384,77.64208437502384,77.64208437502384,77.64208437502384,79.63869325001724,NA,NA,79.63903554202989,79.6390657920856,None,79.63913745805621,79.65162333310582,80.63782000006177,80.65107679204084,76.57148124999367,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
14,0,14,right,0.7099934578873217,None,None,,,14,0,14,0,80.65107679204084,,,,,,,,,80.63816029205918,80.65107679204084,-0.0009257921483367682,81.63706016703509,15,2,0.7,0.2,0.5,81.63734087510966,81.65175691712648,81.65175691712648,81.65175691712648,81.65175691712648,82.37050591711886,right,0.7099934578873217,None,right,0.7099934578873217,0.5,1,82.38293270813301,82.38742387504317,82.38742387504317,82.38742387504317,82.38742387504317,84.37140804203227,NA,NA,84.37172433314845,84.37175266700797,None,84.37182120815851,84.38508454198018,85.37122291699052,85.38250862504356,81.65175691712648,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
15,0,15,right,0.5376709999982268,None,None,,,15,0,15,0,85.38250862504356,,,,,,,,,85.37164100003429,85.38250862504356,-0.00013212510384619236,86.37108504213393,16,2,0.7,0.2,0.5,86.37145054200664,86.38402883312665,86.38402883312665,86.38402883312665,86.38402883312665,86.93127700011246,right,0.5376709999982268,None,right,0.5376709999982268,0.5,0,86.94549741712399,86.94995204196312,86.94995204196312,86.94995204196312,86.94995204196312,88.94516654196195,NA,NA,88.9455545831006,88.94558483315632,None,88.94565791706555,88.95836808299646,89.94531233306043,89.95750079210848,86.38402883312665,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
16,0,16,left,0.6849495000205934,None,None,,,16,0,16,0,89.95750079210848,,,,,,,,,89.94571254216135,89.95750079210848,0.00010333303362131119,90.94389820797369,17,2,0.7,0.2,0.5,90.94419608311728,90.9570508331526,90.9570508331526,90.9570508331526,90.9570508331526,91.65103866695426,left,0.6849495000205934,None,left,0.6849495000205934,0.7,1,91.66344833304174,91.66789050004445,91.66789050004445,91.66789050004445,91.66789050004445,93.66470912494697,NA,NA,93.66508854203857,93.66511937510222,None,93.6651909169741,93.67783220810816,94.6652288751211,94.67715429211967,90.9570508331526,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
17,0,17,left,0.9327538330107927,None,None,,,17,0,17,0,94.67715429211967,,,,,,,,,94.66571850003675,94.67715429211967,0.0005754579324275255,95.66502550011501,18,2,0.7,0.2,0.5,95.66530070803128,95.67778500006534,95.67778500006534,95.67778500006534,95.67778500006534,96.61251058313064,left,0.9327538330107927,None,left,0.9327538330107927,0.7,1,96.62523687514476,96.62987983296625,96.62987983296625,96.62987983296625,96.62987983296625,98.62454858305864,NA,NA,98.62487774994224,98.62492875009775,None,98.6250062501058,98.63848399999551,99.62515558302402,99.6374856249895,95.67778500006534,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
18,0,18,right,0.5075132499914616,None,None,,,18,0,18,0,99.6374856249895,,,,,,,,,99.62559112510644,99.6374856249895,0.0006329170428216457,100.62487366702408,19,2,0.7,0.2,0.5,100.62516937498003,100.6383056670893,100.6383056670893,100.6383056670893,100.6383056670893,101.15858412510715,right,0.5075132499914616,None,right,0.5075132499914616,0.5,1,101.17115891701542,101.17551920795813,101.17551920795813,101.17551920795813,101.17551920795813,103.17085208301432,NA,NA,103.17126933299005,103.17131779203191,None,103.1713891250547,103.18419629195705,104.17108120815828,104.18402583315037,100.6383056670893,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
19,0,19,left,0.5747363329865038,None,None,,,19,0,19,0,104.18402583315037,,,,,,,,,104.17153016710654,104.18402583315037,0.00018699979409575462,105.17124812514521,20,2,0.7,0.2,0.5,105.17157825012691,105.18415200011805,105.18415200011805,105.18415200011805,105.18415200011805,105.76123920804821,left,0.5747363329865038,None,left,0.5747363329865038,0.7,1,105.77354229195043,105.77641412499361,105.77641412499361,105.77641412499361,105.77641412499361,107.77142391703092,NA,NA,107.77184045803733,107.77188279200345,None,107.77195295807905,107.78456458309665,108.77134366706014,108.78542325017042,105.18415200011805,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
20,0,20,left,0.257702250033617,None,None,,,20,0,20,0,108.78542325017042,,,,,,,,,108.77184791699983,108.78542325017042,-5.891593173146248e-05,109.77175300009549,21,2,0.7,0.2,0.5,109.77207358297892,109.78402945795096,109.78402945795096,109.78402945795096,109.78402945795096,110.05124958301894,left,0.257702250033617,None,left,0.257702250033617,0.7,1,110.06388229201548,110.06845829216763,110.06845829216763,110.06845829216763,110.06845829216763,112.05148712499067,NA,NA,112.05183570808731,112.05186800006777,None,112.05194124998525,112.06435004202649,113.05127754202113,113.06433104211465,109.78402945795096,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
21,0,21,right,0.3069891252089292,None,None,,,21,0,21,0,113.06433104211465,,,,,,,,,113.05169004201889,113.06433104211465,-0.00020354101434350014,114.05211516702548,22,2,0.7,0.2,0.5,114.05243837507442,114.06454470800236,114.06454470800236,114.06454470800236,114.06454470800236,114.37337245815434,right,0.3069891252089292,None,right,0.3069891252089292,0.5,1,114.38575920811854,114.3894810830243,114.3894810830243,114.3894810830243,114.3894810830243,116.38270354201086,NA,NA,116.38314458308741,116.38317154208198,None,116.38321304204874,116.39623779198155,117.38367566699162,,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
22,0,22,left,1.2419209580402821,None,None,,,22,0,22,0,117.39679750008509,,,,,,,,,117.38414270803332,117.39679750008509,0.0009618329349905252,118.38438933296129,23,2,0.7,0.2,0.5,118.38472545798868,118.39668041700497,118.39668041700497,118.39668041700497,118.39668041700497,119.64053358300589,left,1.2419209580402821,None,left,1.2419209580402821,0.7,0,119.65323487506248,119.65589095815085,119.65589095815085,119.65589095815085,119.65589095815085,121.65049570798874,NA,NA,121.6509972079657,121.65103525016457,None,121.65110970800743,121.66420816699974,122.65050816698931,122.66397333308123,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
23,0,23,up,0.4668360420037061,None,None,,,23,0,23,0,122.66397333308123,,,,,,,,,122.65099916700274,122.66397333308123,-6.083399057388306e-05,123.65196562511846,24,2,0.7,0.2,0.5,123.65229450003244,123.66478208312765,123.66478208312765,123.66478208312765,123.66478208312765,124.13354833307676,up,0.4668360420037061,None,up,0.4668360420037061,0.2,0,124.14719325001352,124.15164562501013,124.15164562501013,124.15164562501013,124.15164562501013,126.14391608303413,NA,NA,126.14426420815289,126.14432025002316,None,126.14439116697758,126.15702354209498,127.14505245815963,,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
24,0,24,right,0.5218960419297218,None,None,,,24,0,24,0,127.15824670810252,,,,,,,,,127.14552137511782,127.15824670810252,0.0011761670466512442,128.14432587497868,25,2,0.7,0.2,0.5,128.14460729202256,128.15621699998155,128.15621699998155,128.15621699998155,128.15621699998155,128.69220570800826,right,0.5218960419297218,None,right,0.5218960419297218,0.5,0,128.70583612495102,128.71023995801806,128.71023995801806,128.71023995801806,128.71023995801806,130.70381041709334,NA,NA,130.7041845000349,130.70421775011346,None,130.70429058303125,130.71768625010736,131.7030314169824,131.71804108307697,128.15621699998155,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
25,0,25,left,0.6859935419633985,None,None,,,25,0,25,0,131.71804108307697,,,,,,,,,131.7035174581688,131.71804108307697,-0.0007226669695228338,132.70508745801635,26,2,0.7,0.2,0.5,132.70551925012842,132.71568958298303,132.71568958298303,132.71568958298303,132.71568958298303,133.41215041698888,left,0.6859935419633985,None,left,0.6859935419633985,0.7,0,133.4259763751179,133.43068462517112,133.43068462517112,133.43068462517112,133.43068462517112,135.42526229214855,NA,NA,135.4256445830688,135.42567583313212,None,135.42574624996632,135.43808766710572,136.42551945801824,136.437657417031,,,,,,,,,,,,,,,,32656,001,2025-11-05_14h22.38.505,regret_experiment,,2025.1.1,75.25275514042124,2,0.7,0.2,0.5,2025-11-05 14h22.45.377820 -0800,
