thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,fixcross.stopped,blank_screen.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
9,0,9,right,0.9397299997508526,None,None,9,0,9,0,102.60728595871478,,,,,,,,,102.5952083747834,102.60728595871478,0.0008292919956147671,103.59450941672549,10,0,0.5,0.7,0.2,103.59490137500688,103.60695108398795,103.60695108398795,103.60695108398795,103.60695108398795,104.55488445889205,right,0.9397299997508526,None,right,0.9397299997508526,0.2,0,104.56748270895332,104.57033654209226,104.57033654209226,104.57033654209226,104.57033654209226,106.56830683397129,NA,NA,106.56864700000733,106.56868129177019,None,106.56874016672373,106.58006962481886,107.56628154171631,103.60695108398795,107.58170966710895,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
10,0,10,left,0.7575131668709219,None,None,10,0,10,0,107.58170966710895,,,,,,,,,107.56672220909968,107.58170966710895,0.01304925000295043,108.56833095895126,11,0,0.5,0.7,0.2,108.5686662918888,108.58118962496519,108.58118962496519,108.58118962496519,108.58118962496519,109.34084104187787,left,0.7575131668709219,None,left,0.7575131668709219,0.5,1,109.35301108378917,109.35751349991187,109.35751349991187,109.35751349991187,109.35751349991187,111.34080241713673,NA,NA,111.34114674990997,111.3411750420928,None,111.34125200007111,111.35363966692239,112.34069674974307,108.58118962496519,112.35232175001875,111.35363966692239,111.35363966692239,111.35363966692239,111.35363966692239,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
11,0,11,left,1.61179425008595,None,None,11,0,11,0,112.35232175001875,,,,,,,,,112.34115579212084,112.35232175001875,-4.883343353867531e-05,113.3391494997777,12,0,0.5,0.7,0.2,113.33949545910582,113.35380066698417,113.35380066698417,113.35380066698417,113.35380066698417,114.96823674999177,left,1.61179425008595,None,left,1.61179425008595,0.5,0,114.98105241684243,114.98526899982244,114.98526899982244,114.98526899982244,114.98526899982244,116.98152720881626,NA,NA,116.98191837500781,116.98194791702554,None,116.98201720882207,116.99397874996066,117.98126816703007,113.35380066698417,117.99236370902508,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
12,0,12,up,2.0328669170849025,None,None,12,0,12,0,117.99236370902508,,,,,,,,,117.98170241713524,117.99236370902508,-0.0002677501179277897,118.97964333370328,13,0,0.5,0.7,0.2,118.97997637512162,118.9943923749961,118.9943923749961,118.9943923749961,118.9943923749961,121.03606995893642,up,2.0328669170849025,None,up,2.0328669170849025,0.7,1,121.048453041818,121.0521705839783,121.0521705839783,121.0521705839783,121.0521705839783,123.04529062472284,NA,NA,123.04575295886025,123.04578333394602,None,123.04585162503645,123.05995799973607,124.04800724983215,118.9943923749961,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
13,0,13,up,1.3095957906916738,None,None,13,0,13,0,124.06067587481812,,,,,,,,,124.04852062510327,124.06067587481812,0.0027179159224033356,125.0457891668193,14,0,0.5,0.7,0.2,125.04613150004297,125.0616520838812,125.0616520838812,125.0616520838812,125.0616520838812,126.38101116707548,up,1.3095957906916738,None,up,1.3095957906916738,0.7,1,126.39271408412606,126.39550999971107,126.39550999971107,126.39550999971107,126.39550999971107,128.38133279187605,NA,NA,128.38166770897806,128.38169537484646,None,128.3817604999058,128.39202154194936,129.37881649984047,125.0616520838812,129.3945911671035,128.39202154194936,128.39202154194936,128.39202154194936,128.39202154194936,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
14,0,14,right,1.3917203745804727,None,None,14,0,14,0,129.3945911671035,,,,,,,,,129.37924649985507,129.3945911671035,0.01291904179379344,130.3793026250787,15,0,0.5,0.7,0.2,130.37964162509888,130.39515837468207,130.39515837468207,130.39515837468207,130.39515837468207,131.79403791669756,right,1.3917203745804727,None,right,1.3917203745804727,0.2,0,131.80803041672334,131.81128408387303,131.81128408387303,131.81128408387303,131.81128408387303,133.79428070876747,NA,NA,133.7946100840345,133.79463883396238,None,133.79470774997026,133.80523937474936,134.79236924974248,130.39515837468207,134.80800016690046,133.80523937474936,133.80523937474936,133.80523937474936,133.80523937474936,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
15,0,15,left,0.8295777910389006,None,None,15,0,15,0,134.80800016690046,,,,,,,,,134.79292133403942,134.80800016690046,0.013371209148317575,135.7944041248411,16,0,0.5,0.7,0.2,135.7947099590674,135.80536220874637,135.80536220874637,135.80536220874637,135.80536220874637,136.64670254196972,left,0.8295777910389006,None,left,0.8295777910389006,0.5,1,136.66084745898843,136.66541762510315,136.66541762510315,136.66541762510315,136.66541762510315,138.6472815000452,NA,NA,138.64767770888284,138.64770691702142,None,138.64778545871377,138.6606628750451,139.64627749985084,135.80536220874637,139.6617556246929,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
16,0,16,left,1.332925499882549,None,None,16,0,16,0,139.6617556246929,,,,,,,,,139.64673350006342,139.6617556246929,0.014052500016987324,140.64648262504488,17,0,0.5,0.7,0.2,140.64687100006267,140.66176754189655,140.66176754189655,140.66176754189655,140.66176754189655,142.0069602089934,left,1.332925499882549,None,left,1.332925499882549,0.5,1,142.01863216701895,142.02131245890632,142.02131245890632,142.02131245890632,142.02131245890632,144.00598066672683,NA,NA,144.00629791710526,144.0063261669129,None,144.00639220885932,144.01883741701022,145.0057904170826,140.66176754189655,145.0187725839205,144.01883741701022,144.01883741701022,144.01883741701022,144.01883741701022,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
17,0,17,left,1.1990458751097322,None,None,17,0,17,0,145.0187725839205,,,,,,,,,145.00627066707239,145.0187725839205,-7.299985736608505e-05,146.00567908398807,18,0,0.5,0.7,0.2,146.0060124588199,146.0204198746942,146.0204198746942,146.0204198746942,146.0204198746942,147.22158350003883,left,1.1990458751097322,None,left,1.1990458751097322,0.5,1,147.23325225012377,147.23642645869404,147.23642645869404,147.23642645869404,147.23642645869404,149.23321283375844,NA,NA,149.2336472501047,149.2336802086793,None,149.23375312471762,149.24626908404753,150.23468383401632,146.0204198746942,,,,,,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
18,0,18,up,0.7996122920885682,None,None,18,0,18,0,150.24748195894063,,,,,,,,,150.23518016701564,150.24748195894063,0.001476166769862175,151.23412258410826,19,0,0.5,0.7,0.2,151.23452179180458,151.24691204167902,151.24691204167902,151.24691204167902,151.24691204167902,152.04855695879087,up,0.7996122920885682,None,up,0.7996122920885682,0.7,0,152.06144266668707,152.06428775005043,152.06428775005043,152.06428775005043,152.06428775005043,154.04816866712645,NA,NA,154.04849508404732,154.04852104187012,None,154.0485950000584,154.0587870418094,155.04802083410323,,155.05856495909393,154.0587870418094,154.0587870418094,154.0587870418094,154.0587870418094,,,,33631,001,2025-11-17_14h16.51.420,regret_experiment,,2025.1.1,73.84951697096143,0,0.5,0.7,0.2,2025-11-17 14h19.06.715594 -0800,
