thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.037601833000735496,0.05495095800142735,0.05495095800142735,2.0369136660010554,space,1.914402999998856,None,,,,,,1,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
0,0,0,left,0.8438512079992506,None,1,5.9572112080004445,None,0,0,0,0,2.597787958000481,,,,,,,,,2.0384838330010098,2.597787958000481,0.001560541000799276,3.0373358329998155,1,1,0.2,0.5,0.7,3.037682083000618,3.049083125000834,3.049083125000834,3.049083125000834,3.049083125000834,3.8996611250004207,left,0.8438512079992506,None,left,0.8438512079992506,0.2,0,3.916622708000432,4.062811750000037,4.062811750000037,4.062811750000037,4.062811750000037,5.902998333000141,5.910912166000344,5.919865290999951,5.919865290999951,5.919865290999951,5.919865290999951,5.919865290999951,11.88513495799998,1,5.9572112080004445,None,1,5.9572112080004445,11.885722832999818,11.895632375000787,12.887907083000755,12.881742041001417,,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
1,0,1,left,0.7944449589995202,None,2,1.002770540999336,None,1,0,1,0,12.887907083000755,,,,,,,,,12.882303750000574,12.887907083000755,0.0024882500001695007,13.871521625000241,2,1,0.2,0.5,0.7,13.871785875000569,13.882660166000278,13.882660166000278,13.882660166000278,13.882660166000278,14.682837083000777,left,0.7944449589995202,None,left,0.7944449589995202,0.2,0,14.697810000001482,14.707318958000542,14.707318958000542,14.707318958000542,14.707318958000542,16.682952208000643,16.691106457999922,16.698620916000436,16.698620916000436,16.698620916000436,16.698620916000436,16.698620916000436,17.706536208001125,2,1.002770540999336,None,2,1.002770540999336,17.706643583000186,17.71534120800061,18.705979000000298,18.70008025000061,13.882660166000278,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
2,0,2,up,0.29092208399924857,None,1,0.6355881660001614,None,2,0,2,0,18.705979000000298,,,,,,,,,18.700868666001043,18.705979000000298,-0.0005150409997440875,19.689944749999995,3,1,0.2,0.5,0.7,19.690303791001497,19.698171250000087,19.698171250000087,19.698171250000087,19.698171250000087,19.991419375000987,up,0.29092208399924857,None,up,0.29092208399924857,0.5,0,20.00607091600068,20.0171057080006,20.0171057080006,20.0171057080006,20.0171057080006,21.998731375000716,22.00668604100065,22.012846499999796,22.012846499999796,22.012846499999796,22.012846499999796,22.012846499999796,22.651435540999955,1,0.6355881660001614,None,1,0.6355881660001614,22.65154204100145,22.657980166000925,23.65398604100119,23.649128708000717,19.698171250000087,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
3,0,3,right,0.2857465000015509,None,1,0.3158551670003362,None,3,0,3,0,23.65398604100119,,,,,,,,,23.649448875001326,23.65398604100119,0.002554000000600354,24.637590166001246,4,1,0.2,0.5,0.7,24.638132041000063,24.647756708000088,24.647756708000088,24.647756708000088,24.647756708000088,24.93886879100137,right,0.2857465000015509,None,right,0.2857465000015509,0.7,0,24.95461220800098,24.961936833000436,24.961936833000436,24.961936833000436,24.961936833000436,26.948475332999806,26.955377666001368,26.961599041000227,26.961599041000227,26.961599041000227,26.961599041000227,26.961599041000227,27.283230500001082,1,0.3158551670003362,None,1,0.3158551670003362,27.283337041000777,27.2909830410008,28.288613333001194,28.282827375000124,24.647756708000088,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
4,0,4,up,0.5242187080002623,None,None,,,4,0,4,0,28.288613333001194,,,,,,,,,28.283269000001383,28.288613333001194,-8.999999408842996e-06,29.27147691600112,5,1,0.2,0.5,0.7,29.271707416000936,29.28142841600129,29.28142841600129,29.28142841600129,29.28142841600129,29.81613225000001,up,0.5242187080002623,None,up,0.5242187080002623,0.5,1,29.828741500001343,29.83627420800076,29.83627420800076,29.83627420800076,29.83627420800076,31.822210207999888,31.822739332999845,,,,,,31.8227777910015,None,,,NA,NA,31.822854707999795,31.8322435830014,32.822088041000825,32.81617762499991,29.28142841600129,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
5,0,5,up,0.37621199999921373,None,2,1.161594375000277,None,5,0,5,0,32.822088041000825,,,,,,,,,32.81660287500017,32.822088041000825,-0.0006515000004583271,33.816585416001544,6,1,0.2,0.5,0.7,33.81700508300128,33.82390937499986,33.82390937499986,33.82390937499986,33.82390937499986,34.20573454100122,up,0.37621199999921373,None,up,0.37621199999921373,0.5,0,34.219320166001125,34.25949487500111,34.25949487500111,34.25949487500111,34.25949487500111,36.213980416001505,36.22095824999997,36.22808029100088,36.22808029100088,36.22808029100088,36.22808029100088,36.22808029100088,37.399908666000556,2,1.161594375000277,None,2,1.161594375000277,37.39999395800078,37.406983541000955,38.404425374999846,38.39881187500032,33.82390937499986,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
6,0,6,right,0.4245997500001977,None,2,1.5851413330001378,None,6,0,6,0,38.404425374999846,,,,,,,,,38.39917595800034,38.404425374999846,-0.0007659999992029043,39.397950166001465,7,1,0.2,0.5,0.7,39.39827679100017,39.404032250000455,39.404032250000455,39.404032250000455,39.404032250000455,39.8328547910005,right,0.4245997500001977,None,right,0.4245997500001977,0.7,0,39.84599516600065,39.85324341600062,39.85324341600062,39.85324341600062,39.85324341600062,41.83924966599989,41.849625750000996,41.859175000001414,41.859175000001414,41.859175000001414,41.859175000001414,41.859175000001414,43.450338708000345,2,1.5851413330001378,None,2,1.5851413330001378,43.450423875001434,43.45768408300137,44.453258875000756,44.448354291000214,39.404032250000455,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
7,0,7,up,0.3010864589996345,None,2,0.9548017920005805,None,7,0,7,0,44.453258875000756,,,,,,,,,44.44872750000104,44.453258875000756,0.002958834000310162,45.4376217500012,8,1,0.2,0.5,0.7,45.437820250001096,45.44827504100067,45.44827504100067,45.44827504100067,45.44827504100067,45.75531433300057,up,0.3010864589996345,None,up,0.3010864589996345,0.5,0,45.768536833000326,45.775888125001075,45.775888125001075,45.775888125001075,45.775888125001075,47.76447270800054,47.77237270800106,47.778279750000365,47.778279750000365,47.778279750000365,47.778279750000365,47.778279750000365,48.739381791001506,2,0.9548017920005805,None,2,0.9548017920005805,48.739480500000354,48.74819466600093,49.73672729100144,49.73185425000156,45.44827504100067,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
8,0,8,right,0.46268791599868564,None,2,0.9181371670001681,None,8,0,8,0,49.73672729100144,,,,,,,,,49.7321761660005,49.73672729100144,0.008329333000801853,50.720971541000836,9,1,0.2,0.5,0.7,50.72118216600029,50.737752458000614,50.737752458000614,50.737752458000614,50.737752458000614,51.20538954100084,right,0.46268791599868564,None,right,0.46268791599868564,0.7,0,51.21821799999998,51.22553933300151,51.22553933300151,51.22553933300151,51.22553933300151,53.215046208000786,53.22317070800091,53.23197558300126,53.23197558300126,53.23197558300126,53.23197558300126,53.23197558300126,54.1561892080008,2,0.9181371670001681,None,2,0.9181371670001681,54.156272125001124,54.16437512500124,55.153983625001274,55.14850820799984,50.73211308300051,,,,734722,001,2025-08-07_10h53.41.207,regret_experiment,2024.2.4,119.94572551783905,1,0.2,0.5,0.7,2025-08-07 10h53.51.244946 -0700,
