thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.008821750001516193,0.024190374999307096,0.024190374999307096,3.142115583003033,space,3.083330916997511,None,,,,,,1,0.7,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
0,0,0,right,3.8691919170087203,None,None,,,0,0,0,0,3.700323582976125,,,,,,,,,3.1439029999892227,3.700323582976125,0.0017564170411787927,4.150031250028405,1,1,0.7,0.2,0.5,4.1502404580242,4.157199124980252,4.157199124980252,4.157199124980252,4.157199124980252,8.035096790990792,right,3.8691919170087203,None,right,3.8691919170087203,0.5,1,8.056780458020512,8.179462791013066,8.179462791013066,8.179462791013066,8.179462791013066,10.03812600002857,NA,NA,10.038362541003153,10.038414790993556,None,10.038488041027449,10.04986775002908,11.041794250020757,11.03482466598507,,,,,,,,,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
1,0,1,left,3.1431325000012293,None,None,,,1,0,1,0,11.041794250020757,,,,,,,,,11.035426416026894,11.041794250020757,0.0033899169648066163,12.034848541021347,2,1,0.7,0.2,0.5,12.035248375032097,12.042566290998366,12.042566290998366,12.042566290998366,12.042566290998366,15.191979333001655,left,3.1431325000012293,None,left,3.1431325000012293,0.7,1,15.211972500022966,15.222661832987797,15.222661832987797,15.222661832987797,15.222661832987797,17.20053425000515,NA,NA,17.201044625020586,17.20112062501721,None,17.20122500002617,17.206992708030157,18.20627795800101,18.200606582977343,12.042566290998366,,,,,,,,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
2,0,2,up,2.006503749988042,None,2,10.31906650000019,None,2,0,2,0,18.20627795800101,,,,,,,,,18.200970457983203,18.20627795800101,-0.00019295798847451806,19.190108666021843,3,1,0.7,0.2,0.5,19.190437707991805,19.348539958009496,19.348539958009496,19.348539958009496,19.348539958009496,21.359443166002166,up,2.006503749988042,None,up,2.006503749988042,0.2,0,21.382509333023336,21.390644582977984,21.390644582977984,21.390644582977984,21.390644582977984,23.367277375014964,2,10.31906650000019,23.37946316599846,33.709293041029014,2,33.709422625019215,33.73376658302732,,34.71768545801751,19.348539958009496,23.387599707988556,23.387599707988556,23.387599707988556,23.387599707988556,23.387599707988556,10.31906650000019,None,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
3,0,3,right,5.535237792006228,None,3,0.8992948749801144,None,3,0,3,0,34.72390354098752,,,,,,,,,34.71811237500515,34.72390354098752,0.008752957975957543,35.71753395802807,4,1,0.7,0.2,0.5,35.717846625018865,35.733645665983204,35.733645665983204,35.733645665983204,35.733645665983204,41.275412040995434,right,5.535237792006228,None,right,5.535237792006228,0.5,0,41.29642904101638,41.30391600000439,41.30391600000439,41.30391600000439,41.30391600000439,43.28400312497979,3,0.8992948749801144,43.29578633297933,44.207698500016704,3,44.20781741599785,44.21631270798389,45.20517683302751,45.20005037501687,,43.30278816598002,43.30278816598002,43.30278816598002,43.30278816598002,43.30278816598002,0.8992948749801144,None,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
4,0,4,left,2.180162958044093,None,None,,,4,0,4,0,45.20517683302751,,,,,,,,,45.200405750016216,45.20517683302751,0.008942832995671779,46.18962695798837,5,1,0.7,0.2,0.5,46.18988191598328,46.206424582982436,46.206424582982436,46.206424582982436,46.206424582982436,48.39106150000589,left,2.180162958044093,None,left,2.180162958044093,0.7,1,48.41029570798855,48.41862062498694,48.41862062498694,48.41862062498694,48.41862062498694,50.401265041029546,NA,NA,50.40183916600654,50.40193662501406,None,50.40203704102896,50.40849345800234,51.40734066598816,51.40095683297841,46.200514999974985,,,,,,,,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
5,0,5,up,3.4666240419610403,None,2,5.662267041974701,None,5,0,5,0,51.40734066598816,,,,,,,,,51.40137149998918,51.40734066598816,-0.000602708023507148,52.4008092500153,6,1,0.7,0.2,0.5,52.401068666018546,52.40700645803008,52.40700645803008,52.40700645803008,52.40700645803008,55.88554158300394,up,3.4666240419610403,None,up,3.4666240419610403,0.2,0,55.90580341598252,55.913697790994775,55.913697790994775,55.913697790994775,55.913697790994775,57.88980720797554,2,5.662267041974701,57.90134141599992,63.5742966660182,2,63.574399665987585,63.583070749999024,64.5742999999784,64.56748195801629,52.40700645803008,57.90845254098531,57.90845254098531,57.90845254098531,57.90845254098531,57.90845254098531,5.662267041974701,None,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
6,0,6,right,3.1382248330046423,None,None,,,6,0,6,0,64.5742999999784,,,,,,,,,64.56810579099692,64.5742999999784,-1.0999967344105244e-05,65.56855924997944,7,1,0.7,0.2,0.5,65.56903912499547,65.57600900001125,65.57600900001125,65.57600900001125,65.57600900001125,68.7194687500014,right,3.1382248330046423,None,right,3.1382248330046423,0.5,1,68.73901458299952,68.74609466601396,68.74609466601396,68.74609466601396,68.74609466601396,70.72482870798558,NA,NA,70.72522174997721,70.7252972080023,None,70.72537804098101,70.73318041599123,71.72468945803121,71.718246000004,65.57600900001125,,,,,,,,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
7,0,7,right,1.9023168329731561,None,None,,,7,0,7,0,71.72468945803121,,,,,,,,,71.71888358303113,71.72468945803121,-0.0006137499585747719,72.70815900003072,8,1,0.7,0.2,0.5,72.70866308303084,72.72412874997826,72.72412874997826,72.72412874997826,72.72412874997826,74.63604666601168,right,1.9023168329731561,None,right,1.9023168329731561,0.5,1,74.65388225001516,74.67319075000705,74.67319075000705,74.67319075000705,74.67319075000705,76.63895504100947,NA,NA,76.63925954099977,76.63931416597916,None,76.63939216599101,76.65043745801086,77.63972941599786,77.63419983303174,72.71663179103052,,,,,,,,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
8,0,8,right,0.5032908749999478,None,None,,,8,0,8,0,77.63972941599786,,,,,,,,,77.63467679102905,77.63972941599786,0.00042095902608707547,78.63534849998541,9,1,0.7,0.2,0.5,78.63586154102813,78.6435754999984,78.6435754999984,78.6435754999984,78.6435754999984,79.15172308299225,right,0.5032908749999478,None,right,0.5032908749999478,0.5,1,79.16991729103029,79.17737454100279,79.17737454100279,79.17737454100279,79.17737454100279,81.16797850001603,NA,NA,81.16841974999988,81.16848208301235,None,81.16858045797562,81.17438358301297,82.16724300000351,82.15750745800324,78.6435754999984,,,,,,,,,,,088188,001,2025-08-12_15h16.09.295,regret_experiment,2024.2.4,None,1,0.7,0.2,0.5,2025-08-12 15h16.15.342337 -0700,
