thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.0069510419853031635,0.012871999992057681,0.012871999992057681,44.78015683311969,space,44.73977550002746,None,,,,,,1,0.2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
0,0,0,left,1.8034720411524177,None,None,,,0,0,0,0,45.317066833144054,,,,,,,,,44.781209958018735,45.317066833144054,0.0010468328837305307,45.78040170809254,1,1,0.2,0.7,0.5,45.7807885420043,45.793299874989316,45.793299874989316,45.793299874989316,45.793299874989316,47.60583791695535,left,1.8034720411524177,None,left,1.8034720411524177,0.2,1,47.6213740829844,47.64640979212709,47.64640979212709,47.64640979212709,47.64640979212709,49.606763042043895,NA,NA,49.607130125164986,49.6071693750564,None,49.60724158305675,49.6197827081196,50.619688750011846,50.607087958138436,,,,,,,,,,,,,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
1,0,1,right,0.7881209999322891,None,None,,,1,0,1,0,50.619688750011846,,,,,,,,,50.607560500036925,50.619688750011846,0.0003666249103844166,51.60635658307001,2,1,0.2,0.7,0.5,51.606679750140756,51.61734124994837,51.61734124994837,51.61734124994837,51.61734124994837,52.40765316714533,right,0.7881209999322891,None,right,0.7881209999322891,0.5,1,52.42132204212248,52.42592983297072,52.42592983297072,52.42592983297072,52.42592983297072,54.41836029198021,NA,NA,54.41876837494783,54.41880458313972,None,54.418887375155464,54.43155850004405,55.43174725002609,55.41767512494698,51.61734124994837,,,,,,,,,,,,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
2,0,2,left,0.37978458288125694,None,1,1.089516625041142,None,2,0,2,0,55.43174725002609,,,,,,,,,55.418146500131115,55.43174725002609,-0.0006801250856369734,56.41892983298749,3,1,0.2,0.7,0.5,56.4192884999793,56.432929374976084,56.432929374976084,56.432929374976084,56.432929374976084,56.82110666716471,left,0.37978458288125694,None,left,0.37978458288125694,0.2,0,56.83612675010227,56.83965295809321,56.83965295809321,56.83965295809321,56.83965295809321,58.83208845811896,1,1.089516625041142,58.83993379212916,59.940230458043516,1,59.940341792069376,59.95179300010204,60.95126741705462,60.94085791707039,,58.843305374961346,58.843305374961346,58.843305374961346,58.843305374961346,58.843305374961346,1.089516625041142,None,,,,,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
3,0,3,up,3.2405752090271562,None,None,,,3,0,3,0,60.95126741705462,,,,,,,,,60.94130800012499,60.95126741705462,0.00102116703055799,61.94006162509322,4,1,0.2,0.7,0.5,61.94038566714153,61.95219795801677,61.95219795801677,61.95219795801677,61.95219795801677,65.19515658309683,up,3.2405752090271562,None,up,3.2405752090271562,0.7,1,65.20796395814978,65.2131802921649,65.2131802921649,65.2131802921649,65.2131802921649,67.20407216716558,NA,NA,67.20459250011481,67.2046437500976,None,67.20472558308393,67.22029475006275,,68.20638487511314,61.95219795801677,,,,,,,,,,,,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
4,0,4,left,2.7224822910502553,None,2,0.9075878330040723,None,4,0,4,0,68.2174510830082,,,,,,,,,68.20695758308284,68.2174510830082,0.0022902500350028276,69.20595837500878,5,1,0.2,0.7,0.5,69.20634716702625,69.21897862502374,69.21897862502374,69.21897862502374,69.21897862502374,71.95285208313726,left,2.7224822910502553,None,left,2.7224822910502553,0.2,0,71.9670904581435,71.97127175005153,71.97127175005153,71.97127175005153,71.97127175005153,73.96695904200897,2,0.9075878330040723,73.97503270814195,74.88910437515005,2,74.8892078329809,74.89774212497286,75.89855349995196,75.88466874998994,,73.97945600003004,73.97945600003004,73.97945600003004,73.97945600003004,73.97945600003004,0.9075878330040723,None,,,,,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
5,0,5,right,0.4761782910209149,None,None,,,5,0,5,0,75.89855349995196,,,,,,,,,75.88514658296481,75.89855349995196,0.009441707981750369,76.88779462501407,6,1,0.2,0.7,0.5,76.88812479213811,76.89731216710061,76.89731216710061,76.89731216710061,76.89731216710061,77.38067604205571,right,0.4761782910209149,None,right,0.4761782910209149,0.5,1,77.39295720797963,77.39640758302994,77.39640758302994,77.39640758302994,77.39640758302994,79.38032129197381,NA,NA,79.38066958310083,79.38069870811887,None,79.38076970796101,79.39100083312951,80.39299341710284,80.3805631250143,76.89731216710061,,,,,,,,79.39100083312951,79.39100083312951,79.39100083312951,79.39100083312951,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
6,0,6,up,0.23989387485198677,None,3,0.3785242910962552,None,6,0,6,0,80.39299341710284,,,,,,,,,80.38105920795351,80.39299341710284,0.0003414158709347248,81.38054558308795,7,1,0.2,0.7,0.5,81.38086845795624,81.39249037508853,81.39249037508853,81.39249037508853,81.39249037508853,81.63449133303948,up,0.23989387485198677,None,up,0.23989387485198677,0.7,0,81.64915637508966,81.6536398329772,81.6536398329772,81.6536398329772,81.6536398329772,83.64523399993777,3,0.3785242910962552,83.6533234170638,84.04700729204342,3,84.04711041715927,84.05848579201847,85.05730512505397,85.04576970799826,81.39249037508853,83.65795787493698,83.65795787493698,83.65795787493698,83.65795787493698,83.65795787493698,0.3785242910962552,None,,,,,999999,001,2025-11-12_16h20.08.544,regret_experiment,,2025.1.1,74.41844287761,1,0.2,0.7,0.5,2025-11-12 16h20.16.300151 -0800,
7,0,7,,,,,,,7,0,7,0,85.05730512505397,,,,,,,,,85.04625112493522,85.05730512505397,-0.0008029579184949398,86.04546804213896,8,1,0.2,0.7,0.5,86.04582166695036,86.05960354208946,86.05960354208946,86.05960354208946,86.05960354208946,,,,,,,,,,,,,,,,,,,,,,,,86.05960354208946,,,,,,,,,,,,,,,,,,,1,0.2,0.7,0.5,,
