thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
9,0,9,right,0.48074245918542147,None,None,,,9,0,9,0,52.43676104117185,,,,,,,,,52.424796583130956,52.43676104117185,0.0005359589122235775,53.42494837520644,10,2,0.5,0.7,0.2,53.42533279117197,53.436633500270545,53.436633500270545,53.436633500270545,53.436633500270545,53.919377624988556,right,0.48074245918542147,None,right,0.48074245918542147,0.2,0,53.93189379107207,53.934607041068375,53.934607041068375,53.934607041068375,53.934607041068375,55.93254875019193,NA,NA,55.93293237499893,55.93296191608533,None,55.933031000196934,55.94366891635582,56.93240741593763,56.944389125332236,,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
10,0,10,left,0.42133520916104317,None,None,,,10,0,10,0,56.944389125332236,,,,,,,,,56.93286775005981,56.944389125332236,-0.00011508399620652199,57.93143445812166,11,2,0.5,0.7,0.2,57.93175304122269,57.942727958317846,57.942727958317846,57.942727958317846,57.942727958317846,58.37254516594112,left,0.42133520916104317,None,left,0.42133520916104317,0.5,0,58.386360875330865,58.389157083351165,58.389157083351165,58.389157083351165,58.389157083351165,60.38243062514812,NA,NA,60.38285187492147,60.38288591615856,None,60.38296650024131,60.39894966594875,61.38364400016144,,57.942727958317846,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
11,0,11,up,0.5675787911750376,None,None,,,11,0,11,0,61.395753875374794,,,,,,,,,61.38418429112062,61.395753875374794,0.0012697502970695496,62.383987250272185,12,2,0.5,0.7,0.2,62.38427579123527,62.39668941637501,62.39668941637501,62.39668941637501,62.39668941637501,62.97055625030771,up,0.5675787911750376,None,up,0.5675787911750376,0.7,1,62.98204637505114,62.984919416252524,62.984919416252524,62.984919416252524,62.984919416252524,64.97189000016078,NA,NA,64.97234866628423,64.97239074995741,None,64.97245945828035,64.98446374991909,65.97245154110715,65.98532025003806,,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
12,0,12,up,0.5410929578356445,None,None,,,12,0,12,0,65.98532025003806,,,,,,,,,65.97291325032711,65.98532025003806,0.0005001667886972427,66.97161404136568,13,2,0.5,0.7,0.2,66.97197083337232,66.98266720818356,66.98266720818356,66.98266720818356,66.98266720818356,67.53149199998006,up,0.5410929578356445,None,up,0.5410929578356445,0.7,1,67.5436383751221,67.54646029137075,67.54646029137075,67.54646029137075,67.54646029137075,69.52936450019479,NA,NA,69.52970208320767,69.52972841635346,None,69.52979554096237,69.54290104098618,70.5286982501857,70.54461120814085,66.98266720818356,69.54290104098618,69.54290104098618,69.54290104098618,69.54290104098618,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
13,0,13,up,0.45989099983125925,None,None,,,13,0,13,0,70.54461120814085,,,,,,,,,70.52900808304548,70.54461120814085,-0.0007459158077836037,71.53171512531117,14,2,0.5,0.7,0.2,71.53211462497711,71.54321483336389,71.54321483336389,71.54321483336389,71.54321483336389,72.01155170798302,up,0.45989099983125925,None,up,0.45989099983125925,0.7,1,72.02332583302632,72.0260434160009,72.0260434160009,72.0260434160009,72.0260434160009,74.01013166597113,NA,NA,74.01046345802024,74.01049070805311,None,74.01055725011975,74.02506483299658,75.00996408332139,75.0238570002839,,74.02506483299658,74.02506483299658,74.02506483299658,74.02506483299658,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
14,0,14,up,0.46818279195576906,None,None,,,14,0,14,0,75.0238570002839,,,,,,,,,75.01046629110351,75.0238570002839,-4.5750290155410767e-05,76.01025975029916,15,2,0.5,0.7,0.2,76.01066541625187,76.02329466631636,76.02329466631636,76.02329466631636,76.02329466631636,76.50444754119962,up,0.46818279195576906,None,up,0.46818279195576906,0.7,1,76.51718225004151,76.520044375211,76.520044375211,76.520044375211,76.520044375211,78.50570345809683,NA,NA,78.50614337529987,78.50617350032553,None,78.50625066598877,78.51847283309326,79.50239533325657,79.51752579119056,76.02329466631636,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
15,0,15,up,0.506445957813412,None,None,,,15,0,15,0,79.51752579119056,,,,,,,,,79.50282358331606,79.51752579119056,0.011363917030394077,80.50604175031185,16,2,0.5,0.7,0.2,80.50651750015095,80.51877495832741,80.51877495832741,80.51877495832741,80.51877495832741,81.02740308316424,up,0.506445957813412,None,up,0.506445957813412,0.7,1,81.03912779130042,81.0418463749811,81.0418463749811,81.0418463749811,81.0418463749811,83.02630875026807,NA,NA,83.02661187527701,83.02663808315992,None,83.02670779125765,83.03585475031286,84.02382637513801,84.03943962510675,80.51877495832741,83.03585475031286,83.03585475031286,83.03585475031286,83.03585475031286,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
16,0,16,up,0.5351302092894912,None,None,,,16,0,16,0,84.03943962510675,,,,,,,,,84.02428916608915,84.03943962510675,0.012813750188797712,85.02428158326074,17,2,0.5,0.7,0.2,85.02462854096666,85.03619045810774,85.03619045810774,85.03619045810774,85.03619045810774,85.58544816635549,up,0.5351302092894912,None,up,0.5351302092894912,0.7,1,85.59733783314005,85.60008320817724,85.60008320817724,85.60008320817724,85.60008320817724,87.5985716660507,NA,NA,87.59899354120716,87.59902362525463,None,87.59909145813435,87.61076037492603,88.59625645820051,88.61210174998268,85.03619045810774,,,,,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
17,0,17,up,0.391829667147249,None,None,,,17,0,17,0,88.61210174998268,,,,,,,,,88.59671987500042,88.61210174998268,0.013085499871522188,89.59700924996287,18,2,0.5,0.7,0.2,89.5973280002363,89.61186966625974,89.61186966625974,89.61186966625974,89.61186966625974,90.01152466610074,up,0.391829667147249,None,up,0.391829667147249,0.7,1,90.02326933294535,90.02616224996746,90.02616224996746,90.02616224996746,90.02616224996746,92.01061895815656,NA,NA,92.01097866613418,92.01101145800203,None,92.0110896662809,92.02317354129627,93.01165512530133,,89.61186966625974,92.02317354129627,92.02317354129627,92.02317354129627,92.02317354129627,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
18,0,18,up,0.4845321672037244,None,None,,,18,0,18,0,93.02279354119673,,,,,,,,,93.01218837499619,93.02279354119673,0.0011484590359032154,94.01131475018337,19,2,0.5,0.7,0.2,94.0117128752172,94.02275483310223,94.02275483310223,94.02275483310223,94.02275483310223,94.51764520816505,up,0.4845321672037244,None,up,0.4845321672037244,0.7,1,94.52953795809299,94.53341654129326,94.53341654129326,94.53341654129326,94.53341654129326,96.5181067083031,NA,NA,96.51843674993142,96.51846333313733,None,96.5185367912054,96.52962920814753,97.51562104094774,97.53134575020522,,96.52962920814753,96.52962920814753,96.52962920814753,96.52962920814753,,,,,,,,,,,33856,001,2025-11-17_13h37.35.402,regret_experiment,,2025.1.1,75.43784601491355,2,0.5,0.7,0.2,2025-11-17 13h37.43.899582 -0800,
