thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
30,0,30,left,0.7338248328305781,None,None,30,0,30,0,153.02152983285487,,,,,,,,,153.0090955416672,153.02152983285487,0.0007419590838253498,154.00814124988392,31,0,0.2,0.5,0.7,154.00844916701317,154.02049120794982,154.02049120794982,154.02049120794982,154.02049120794982,154.75642025005072,left,0.7338248328305781,None,left,0.7338248328305781,0.2,0,154.77060537505895,154.77331091696396,154.77331091696396,154.77331091696396,154.77331091696396,156.7678478746675,NA,NA,156.7682263329625,156.76828358275816,None,156.7683597500436,156.78131049964577,157.7809044169262,157.76849274989218,154.02049120794982,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
31,0,31,left,0.6846022917889059,None,None,31,0,31,0,157.7809044169262,,,,,,,,,157.76898829173297,157.7809044169262,0.0006805830635130405,158.7680615829304,32,0,0.2,0.5,0.7,158.76841829204932,158.78115725005046,158.78115725005046,158.78115725005046,158.78115725005046,159.47611316666007,left,0.6846022917889059,None,left,0.6846022917889059,0.2,1,159.48994637466967,159.49280104180798,159.49280104180798,159.49280104180798,159.49280104180798,161.4876945419237,NA,NA,161.48807120788842,161.4881429169327,None,161.48821729188785,161.50090020801872,162.5010083746165,162.48841249989346,158.78115725005046,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
32,0,32,left,0.8290659170597792,None,None,32,0,32,0,162.5010083746165,,,,,,,,,162.48888987489045,162.5010083746165,0.000723749864846468,163.48797737481073,33,0,0.2,0.5,0.7,163.48833237495273,163.5011328747496,163.5011328747496,163.5011328747496,163.5011328747496,164.34260054165497,left,0.8290659170597792,None,left,0.8290659170597792,0.2,0,164.35692791687325,164.35968233272433,164.35968233272433,164.35968233272433,164.35968233272433,166.35436254180968,NA,NA,166.35475599998608,166.35479570785537,None,166.35487487493083,166.368243874982,167.36821841681376,167.35486066667363,163.5011328747496,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
33,0,33,right,0.43442341731861234,None,None,33,0,33,0,167.36821841681376,,,,,,,,,167.35534966690466,167.36821841681376,0.0005297092720866203,168.3548667076975,34,0,0.2,0.5,0.7,168.3551891669631,168.36749941669405,168.36749941669405,168.36749941669405,168.36749941669405,168.80958737479523,right,0.43442341731861234,None,right,0.43442341731861234,0.7,1,168.8243107078597,168.82711949991062,168.82711949991062,168.82711949991062,168.82711949991062,170.82196833286434,NA,NA,170.82234749989584,170.82237991690636,None,170.8224421250634,170.83400545781478,171.83518729172647,171.82286895764992,168.36749941669405,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
34,0,34,right,0.36774041689932346,None,None,34,0,34,0,171.83518729172647,,,,,,,,,171.82338249962777,171.83518729172647,0.0009835418313741684,172.82166904164478,35,0,0.2,0.5,0.7,172.82200395781547,172.83434012485668,172.83434012485668,172.83434012485668,172.83434012485668,173.2082162918523,right,0.36774041689932346,None,right,0.36774041689932346,0.7,1,173.22191066667438,173.22499337466434,173.22499337466434,173.22499337466434,173.22499337466434,175.2083111666143,NA,NA,175.20865354174748,175.20868545770645,None,175.20875891670585,175.22081770794466,176.22099683294073,176.20772420801222,172.83434012485668,175.22081770794466,175.22081770794466,175.22081770794466,175.22081770794466,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
35,0,35,right,0.45308150025084615,None,None,35,0,35,0,176.22099683294073,,,,,,,,,176.20820029173046,176.22099683294073,-0.0005066669546067715,177.20828770799562,36,0,0.2,0.5,0.7,177.2086738748476,177.22095379186794,177.22095379186794,177.22095379186794,177.22095379186794,177.6763751669787,right,0.45308150025084615,None,right,0.45308150025084615,0.7,0,177.69095666706562,177.69400470796973,177.69400470796973,177.69400470796973,177.69400470796973,179.6875459998846,NA,NA,179.68800266692415,179.6880420828238,None,179.68812108272687,179.70062616700307,180.70105524966493,180.68786554178223,177.22095379186794,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
36,0,36,right,0.30128483287990093,None,None,36,0,36,0,180.70105524966493,,,,,,,,,180.68837449979037,180.70105524966493,0.0003069578669965267,181.6881326669827,37,0,0.2,0.5,0.7,181.6884838747792,181.70086549967527,181.70086549967527,181.70086549967527,181.70086549967527,182.00948995770887,right,0.30128483287990093,None,right,0.30128483287990093,0.7,1,182.0233022919856,182.0262102498673,182.0262102498673,182.0262102498673,182.0262102498673,184.02123570768163,NA,NA,184.02163199987262,184.02167566679418,None,184.02174854185432,184.0344217917882,185.03450620779768,185.02175954170525,181.70086549967527,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
37,0,37,right,0.33512591617181897,None,None,37,0,37,0,185.03450620779768,,,,,,,,,185.02223283285275,185.03450620779768,0.0005367500707507133,186.02106699999422,38,0,0.2,0.5,0.7,186.02142512472346,186.03487974964082,186.03487974964082,186.03487974964082,186.03487974964082,186.38260679179803,right,0.33512591617181897,None,right,0.33512591617181897,0.7,0,186.39706674963236,186.40044541703537,186.40044541703537,186.40044541703537,186.40044541703537,188.395341666881,NA,NA,188.39574104174972,188.3957781670615,None,188.39588737487793,188.4081413326785,189.40812849998474,189.39526433264837,186.03487974964082,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
38,0,38,up,0.4980039997026324,None,None,38,0,38,0,189.40812849998474,,,,,,,,,189.39571062475443,189.40812849998474,-0.00012191710993647575,190.3948983750306,39,0,0.2,0.5,0.7,190.39526904188097,190.40848012501374,190.40848012501374,190.40848012501374,190.40848012501374,190.91638895776123,up,0.4980039997026324,None,up,0.4980039997026324,0.5,0,190.93053174996749,190.93332912493497,190.93332912493497,190.93332912493497,190.93332912493497,192.92814695788547,NA,NA,192.92852699989453,192.92856837483123,None,192.92864445783198,192.9411929580383,193.94112287461758,193.92829808266833,190.40848012501374,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
39,0,39,left,0.8254527919925749,None,None,39,0,39,0,193.94112287461758,,,,,,,,,193.9288289998658,193.94112287461758,0.000238833948969841,194.92788954172283,40,0,0.2,0.5,0.7,194.9282792918384,194.94116770802066,194.94116770802066,194.94116770802066,194.94116770802066,195.76843487471342,left,0.8254527919925749,None,left,0.8254527919925749,0.2,0,195.78209783276543,195.78493199963123,195.78493199963123,195.78493199963123,195.78493199963123,197.76826683292165,NA,NA,197.76860808301717,197.76863983273506,None,197.7687155418098,197.78120429161936,198.78130712499842,198.76804420771077,194.94116770802066,197.78120429161936,197.78120429161936,197.78120429161936,197.78120429161936,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
40,0,40,up,0.7239347081631422,None,None,40,0,40,0,198.78130712499842,,,,,,,,,198.76861337479204,198.78130712499842,-4.470767453312874e-05,199.7667229999788,41,0,0.2,0.5,0.7,199.76706129172817,199.7820483748801,199.7820483748801,199.7820483748801,199.7820483748801,200.51585891703144,up,0.7239347081631422,None,up,0.7239347081631422,0.5,1,200.52868420770392,200.53146270802245,200.53146270802245,200.53146270802245,200.53146270802245,202.51489141676575,NA,NA,202.51520829182118,202.515239499975,None,202.5153112076223,202.52777366666123,203.52778262505308,203.5152836246416,199.7820483748801,202.52777366666123,202.52777366666123,202.52777366666123,202.52777366666123,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
41,0,41,up,1.1221080417744815,None,None,41,0,41,0,203.52778262505308,,,,,,,,,203.51581720774993,203.52778262505308,0.0005579171702265739,204.5149633330293,42,0,0.2,0.5,0.7,204.51532683288679,204.5280434996821,204.5280434996821,204.5280434996821,204.5280434996821,205.6615946246311,up,1.1221080417744815,None,up,1.1221080417744815,0.5,1,205.67462387494743,205.67738324962556,205.67738324962556,205.67738324962556,205.67738324962556,207.6617604168132,NA,NA,207.6621641246602,207.66219570767134,None,207.66226987494156,207.67455970775336,208.67520491685718,208.66137104202062,204.5280434996821,207.67455970775336,207.67455970775336,207.67455970775336,207.67455970775336,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
42,0,42,up,1.0810897499322891,None,None,42,0,42,0,208.67520491685718,,,,,,,,,208.66185662476346,208.67520491685718,-0.0003580828197300434,209.66167541686445,43,0,0.2,0.5,0.7,209.662033832632,209.67309066699818,209.67309066699818,209.67309066699818,209.67309066699818,210.7566280416213,up,1.0810897499322891,None,up,1.0810897499322891,0.5,0,210.7706812079996,210.78255874989554,210.78255874989554,210.78255874989554,210.78255874989554,212.76810574997216,NA,NA,212.76851999992505,212.7685670000501,None,212.76864508306608,212.78116254182532,,213.7692548329942,209.67309066699818,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
43,0,43,right,1.028693167027086,None,None,43,0,43,0,213.78139483276755,,,,,,,,,213.77008358296007,213.78139483276755,0.0014956658706068993,214.7686377079226,44,0,0.2,0.5,0.7,214.7690071668476,214.78123183269054,214.78123183269054,214.78123183269054,214.78123183269054,215.82221854198724,right,1.028693167027086,None,right,1.028693167027086,0.7,1,215.83641699980944,215.8404375417158,215.8404375417158,215.8404375417158,215.8404375417158,217.83460316667333,NA,NA,217.83500783285126,217.83504166686907,None,217.83511837478727,217.84805691661313,218.84759499970824,218.8347454997711,214.78123183269054,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
44,0,44,left,1.7545975837856531,None,None,44,0,44,0,218.84759499970824,,,,,,,,,218.83522695768625,218.84759499970824,0.00016516679897904396,219.83507404197007,45,0,0.2,0.5,0.7,219.83541862480342,219.84789462480694,219.84789462480694,219.84789462480694,219.84789462480694,221.60981758264825,left,1.7545975837856531,None,left,1.7545975837856531,0.2,1,221.6227566669695,221.62562237493694,221.62562237493694,221.62562237493694,221.62562237493694,223.62066074972972,NA,NA,223.62108179181814,223.62114604189992,None,223.62122183293104,223.6348070828244,224.63488470762968,224.62110654171556,219.84789462480694,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
45,0,45,right,1.6153363748453557,None,None,45,0,45,0,224.63488470762968,,,,,,,,,224.6216201246716,224.63488470762968,0.00045345770195126534,225.62149462476373,46,0,0.2,0.5,0.7,225.62185045797378,225.63438274990767,225.63438274990767,225.63438274990767,225.63438274990767,227.2626416250132,right,1.6153363748453557,None,right,1.6153363748453557,0.7,1,227.27522983262315,227.27809649985284,227.27809649985284,227.27809649985284,227.27809649985284,229.2613099166192,NA,NA,229.2616464169696,229.2616771250032,None,229.26178179169074,229.27386499987915,230.27451004181057,230.26117708301172,225.63438274990767,229.27386499987915,229.27386499987915,229.27386499987915,229.27386499987915,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
46,0,46,left,1.4554336247965693,None,None,46,0,46,0,230.27451004181057,,,,,,,,,230.2616798747331,230.27451004181057,-4.6208035200834274e-05,231.26181704178452,47,0,0.2,0.5,0.7,231.26216312497854,231.27475250000134,231.27475250000134,231.27475250000134,231.27475250000134,232.7414608746767,left,1.4554336247965693,None,left,1.4554336247965693,0.2,0,232.7551679997705,232.7582298326306,232.7582298326306,232.7582298326306,232.7582298326306,234.741579124704,NA,NA,234.7418896248564,234.74191833287477,None,234.74201795784757,234.75303633278236,235.75555399991572,235.74095766665414,231.27475250000134,234.75303633278236,234.75303633278236,234.75303633278236,234.75303633278236,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
47,0,47,right,0.43981187511235476,None,None,47,0,47,0,235.75555399991572,,,,,,,,,235.74141891673207,235.75555399991572,-0.000549625139683485,236.74023774964735,48,0,0.2,0.5,0.7,236.7405826668255,236.75549891684204,236.75549891684204,236.75549891684204,236.75549891684204,237.19744983268902,right,0.43981187511235476,None,right,0.43981187511235476,0.7,1,237.21024091681466,237.21408899966627,237.21408899966627,237.21408899966627,237.21408899966627,239.20746629172936,NA,NA,239.20787608297542,239.2079291669652,None,239.2080071666278,239.22138499980792,,240.20811129175127,236.75549891684204,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
48,0,48,up,1.4924328750930727,None,None,48,0,48,0,240.21964549971744,,,,,,,,,240.20863749971613,240.21964549971744,0.0006852499209344387,241.2082038326189,49,0,0.2,0.5,0.7,241.20856208261102,241.22126783290878,241.22126783290878,241.22126783290878,241.22126783290878,242.71625733282417,up,1.4924328750930727,None,up,1.4924328750930727,0.5,1,242.7297771666199,242.73278362490237,242.73278362490237,242.73278362490237,242.73278362490237,244.72833987465128,NA,NA,244.72872512461618,244.72876170789823,None,244.7288380418904,244.74088916694745,245.7414057920687,245.72836383292452,241.22126783290878,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
49,0,49,left,1.960185915697366,None,None,49,0,49,0,245.7414057920687,,,,,,,,,245.72882612468675,245.7414057920687,4.27919439971447e-05,246.7290389169939,50,0,0.2,0.5,0.7,246.7294378746301,246.74177187494934,246.74177187494934,246.74177187494934,246.74177187494934,248.7039952496998,left,1.960185915697366,None,left,1.960185915697366,0.2,0,248.71843429189175,248.7213817499578,248.7213817499578,248.7213817499578,248.7213817499578,250.71452779183164,NA,NA,250.71500874962658,250.71504562487826,None,250.71512054186314,250.72808024985716,251.72814891673625,251.71445387462154,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
50,0,50,right,1.6933703748509288,None,None,50,0,50,0,251.72814891673625,,,,,,,,,251.71494283294305,251.72814891673625,-0.00012679118663072586,252.71536179166287,51,0,0.2,0.5,0.7,252.71570345805958,252.72818258265033,252.72818258265033,252.72818258265033,252.72818258265033,254.42412187485024,right,1.6933703748509288,None,right,1.6933703748509288,0.7,1,254.4366702917032,254.44057179195806,254.44057179195806,254.44057179195806,254.44057179195806,256.43423158302903,NA,NA,256.43456766661257,256.4345982079394,None,256.4346559997648,256.44821058306843,,257.4346867916174,252.72818258265033,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
51,0,51,up,1.8818417498841882,None,None,51,0,51,0,257.44913004199043,,,,,,,,,257.43522491678596,257.44913004199043,0.0006153751164674759,258.43493795767426,52,0,0.2,0.5,0.7,258.4352884576656,258.4477147916332,258.4477147916332,258.4477147916332,258.4477147916332,260.3432789579965,up,1.8818417498841882,None,up,1.8818417498841882,0.5,0,260.35733466688544,260.362338416744,260.362338416744,260.362338416744,260.362338416744,262.3545423746109,NA,NA,262.35500454204157,262.35503891669214,None,262.35513937473297,262.36744283279404,,263.35609845770523,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
52,0,52,right,2.2011855421587825,None,None,52,0,52,0,263.3676760829985,,,,,,,,,263.3565790420398,263.3676760829985,0.0014894157648086548,264.35527933295816,53,0,0.2,0.5,0.7,264.35561516694725,264.368530749809,264.368530749809,264.368530749809,264.368530749809,266.5819602496922,right,2.2011855421587825,None,right,2.2011855421587825,0.7,1,266.59474266692996,266.5995143749751,266.5995143749751,266.5995143749751,266.5995143749751,268.59415895771235,NA,NA,268.59461770765483,268.594653124921,None,268.59472845774144,268.60780050000176,,269.5956925000064,264.368530749809,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
53,0,53,up,2.0273001668974757,None,None,53,0,53,0,269.6082910830155,,,,,,,,,269.5961707918905,269.6082910830155,0.0014952919445931911,270.59562824992463,54,0,0.2,0.5,0.7,270.5960117080249,270.6085167499259,270.6085167499259,270.6085167499259,270.6085167499259,272.637691707816,up,2.0273001668974757,None,up,2.0273001668974757,0.5,1,272.6504290420562,272.6551851667464,272.6551851667464,272.6551851667464,272.6551851667464,274.64794312464073,NA,NA,274.6483634579927,274.6483997916803,None,274.64848312502727,274.6596999997273,275.65961787477136,275.64887854177505,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
54,0,54,right,3.602259374689311,None,None,54,0,54,0,275.65961787477136,,,,,,,,,275.64934724988416,275.65961787477136,0.0009190421551465988,276.64838445791975,55,0,0.2,0.5,0.7,276.6487104999833,276.6595400827937,276.6595400827937,276.6595400827937,276.6595400827937,280.26459999987856,right,3.602259374689311,None,right,3.602259374689311,0.7,1,280.27762687485665,280.2821264578961,280.2821264578961,280.2821264578961,280.2821264578961,282.2756470418535,NA,NA,282.276003499981,282.27603741688654,None,282.2761152917519,282.287803332787,283.2885926249437,283.2759002079256,276.6595400827937,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
55,0,55,left,2.8817014996893704,None,None,55,0,55,0,283.2885926249437,,,,,,,,,283.2763867918402,283.2885926249437,0.00032575009390711784,284.2758353748359,56,0,0.2,0.5,0.7,284.2761679580435,284.2881932496093,284.2881932496093,284.2881932496093,284.2881932496093,287.18385049980134,left,2.8817014996893704,None,left,2.8817014996893704,0.2,0,287.1976949167438,287.20258487481624,287.20258487481624,287.20258487481624,287.20258487481624,289.1941105830483,NA,NA,289.19448708277196,289.1945237079635,None,289.1945997499861,289.2077941247262,,290.19466824969277,284.2881932496093,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
56,0,56,up,1.3217360000126064,None,None,56,0,56,0,290.20662495773286,,,,,,,,,290.1951724579558,290.20662495773286,0.0006271251477301121,291.19484154181555,57,0,0.2,0.5,0.7,291.1952751670033,291.2084527919069,291.2084527919069,291.2084527919069,291.2084527919069,292.54109754180536,up,1.3217360000126064,None,up,1.3217360000126064,0.5,0,292.5546660418622,292.5592082920484,292.5592082920484,292.5592082920484,292.5592082920484,294.54147024964914,NA,NA,294.5419738329947,294.54201287496835,None,294.5421189577319,294.55532079190016,,295.5423051668331,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
57,0,57,right,0.8387227500788867,None,None,57,0,57,0,295.5556679167785,,,,,,,,,295.54279424995184,295.5556679167785,0.000726667232811451,296.54091058298945,58,0,0.2,0.5,0.7,296.5412307498045,296.5556675000116,296.5556675000116,296.5556675000116,296.5556675000116,297.39652154175565,right,0.8387227500788867,None,right,0.8387227500788867,0.7,0,297.41047179186717,297.41539870761335,297.41539870761335,297.41539870761335,297.41539870761335,299.4060365417972,NA,NA,299.4065139167942,299.4065499580465,None,299.4066275418736,299.4224319169298,,300.40904783271253,296.5556675000116,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
58,0,58,left,1.2693729591555893,None,None,58,0,58,0,300.4195347917266,,,,,,,,,300.40973899979144,300.4195347917266,0.0031650420278310776,301.40872120764107,59,0,0.2,0.5,0.7,301.40920745767653,301.4212402077392,301.4212402077392,301.4212402077392,301.4212402077392,302.701419999823,left,1.2693729591555893,None,left,1.2693729591555893,0.2,1,302.7150121666491,302.7196893328801,302.7196893328801,302.7196893328801,302.7196893328801,304.71407649992034,NA,NA,304.71436362480745,304.7143847499974,None,304.7144249579869,304.72673962498084,305.72784049995244,305.7147024576552,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
59,0,59,right,2.2947064582258463,None,None,59,0,59,0,305.72784049995244,,,,,,,,,305.71521591674536,305.72784049995244,0.000819208100438118,306.7139833746478,60,0,0.2,0.5,0.7,306.7141567496583,306.7270414996892,306.7270414996892,306.7270414996892,306.7270414996892,309.02378250006586,right,2.2947064582258463,None,right,2.2947064582258463,0.7,1,309.03720379201695,309.0413199169561,309.0413199169561,309.0413199169561,309.0413199169561,311.03477412462234,NA,NA,311.0352036668919,311.03523720800877,None,311.03530758293346,311.04861541697755,,312.0357198328711,306.7270414996892,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,312.04659579182044,312.04985754191875,,,,,,,,,,,,,
