thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
9,0,9,up,0.9202059162780643,None,None,9,0,9,0,48.95415908284485,,,,,,,,,48.94230516673997,48.95415908284485,0.0026335828006267548,49.94207979179919,10,0,0.2,0.5,0.7,49.94253691704944,49.9544711667113,49.9544711667113,49.9544711667113,49.9544711667113,50.876955832820386,up,0.9202059162780643,None,up,0.9202059162780643,0.5,0,50.89091404201463,50.89555558282882,50.89555558282882,50.89555558282882,50.89555558282882,52.887381916865706,NA,NA,52.8877780418843,52.887814457993954,None,52.88791474979371,52.899154166691005,,53.88865441689268,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
10,0,10,up,0.9411829588934779,None,None,10,0,10,0,53.89948112471029,,,,,,,,,53.889209707733244,53.89948112471029,0.0013452921994030476,54.888778291642666,11,0,0.2,0.5,0.7,54.889247874729335,54.900635374709964,54.900635374709964,54.900635374709964,54.900635374709964,55.850425832904875,up,0.9411829588934779,None,up,0.9411829588934779,0.5,1,55.864516166970134,55.86914304178208,55.86914304178208,55.86914304178208,55.86914304178208,57.85979141667485,NA,NA,57.86022195778787,57.860262707807124,None,57.860344249755144,57.87479754164815,,58.86156708281487,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
11,0,11,left,0.6650949171744287,None,None,11,0,11,0,58.87376870773733,,,,,,,,,58.86209833296016,58.87376870773733,0.001807458233088255,59.861635082867,12,0,0.2,0.5,0.7,59.86206483282149,59.8740492076613,59.8740492076613,59.8740492076613,59.8740492076613,60.54135187482461,left,0.6650949171744287,None,left,0.6650949171744287,0.2,0,60.5568352076225,60.561746874824166,60.561746874824166,60.561746874824166,60.561746874824166,62.55514208273962,NA,NA,62.555565583053976,62.55560004198924,None,62.555674832779914,62.56774262478575,63.567515624687076,63.55603487463668,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
12,0,12,left,0.7616349160671234,None,None,12,0,12,0,63.567515624687076,,,,,,,,,63.55665974970907,63.567515624687076,0.0010362500324845314,64.55463420785964,13,0,0.2,0.5,0.7,64.55497387470677,64.56768624996766,64.56768624996766,64.56768624996766,64.56768624996766,65.34085708297789,left,0.7616349160671234,None,left,0.7616349160671234,0.2,1,65.35427274974063,65.35871320776641,65.35871320776641,65.35871320776641,65.35871320776641,67.3534644166939,NA,NA,67.3538682917133,67.35390462493524,None,67.35397608298808,67.36831654189155,68.36825537495315,68.35308308294043,64.56768624996766,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
13,0,13,right,0.9340842082165182,None,None,13,0,13,0,68.36825537495315,,,,,,,,,68.35354162473232,68.36825537495315,-0.00038729188963770866,69.35506441676989,14,0,0.2,0.5,0.7,69.35552141675726,69.36591712478548,69.36591712478548,69.36591712478548,69.36591712478548,70.30194895761088,right,0.9340842082165182,None,right,0.9340842082165182,0.7,1,70.3143668747507,70.31838204199448,70.31838204199448,70.31838204199448,70.31838204199448,72.3142270417884,NA,NA,72.31461891671643,72.31469370797276,None,72.31477120798081,72.32813633279875,73.32773316698149,73.31422641687095,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
14,0,14,up,0.4431308750063181,None,None,14,0,14,0,73.32773316698149,,,,,,,,,73.314739999827,73.32773316698149,2.224976196885109e-05,74.31436504190788,15,0,0.2,0.5,0.7,74.31469383276999,74.32710495777428,74.32710495777428,74.32710495777428,74.32710495777428,74.78177379164845,up,0.4431308750063181,None,up,0.4431308750063181,0.5,1,74.79695658292621,74.80142641672865,74.80142641672865,74.80142641672865,74.80142641672865,76.7952720420435,NA,NA,76.79574608290568,76.79578133299947,None,76.7958769579418,76.80866624973714,77.80828716699034,77.79519387474284,74.32710495777428,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
15,0,15,left,0.5386837078258395,None,None,15,0,15,0,77.80828716699034,,,,,,,,,77.79574220767245,77.80828716699034,-8.366676047444344e-05,78.79533829167485,16,0,0.2,0.5,0.7,78.79562924988568,78.8073359997943,78.8073359997943,78.8073359997943,78.8073359997943,79.35555541701615,left,0.5386837078258395,None,left,0.5386837078258395,0.2,0,79.37005741661415,79.374007999897,79.374007999897,79.374007999897,79.374007999897,81.36835187487304,NA,NA,81.36878925003111,81.3688331246376,None,81.36890929192305,81.38197837490588,82.38135587470606,82.36813995800912,78.8073359997943,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
16,0,16,left,0.9594314997084439,None,None,16,0,16,0,82.38135587470606,,,,,,,,,82.36860570777208,82.38135587470606,-0.0002511669881641865,83.36810016678646,17,0,0.2,0.5,0.7,83.36841658269987,83.38220987468958,83.38220987468958,83.38220987468958,83.38220987468958,84.34364741668105,left,0.9594314997084439,None,left,0.9594314997084439,0.2,0,84.35806112503633,84.36254195775837,84.36254195775837,84.36254195775837,84.36254195775837,86.35487654199824,NA,NA,86.35523383272812,86.35527229169384,None,86.35535137495026,86.36788733303547,87.36827345797792,87.3542585419491,83.38220987468958,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
17,0,17,up,0.2676848750561476,None,None,17,0,17,0,87.36827345797792,,,,,,,,,87.35471750004217,87.36827345797792,-0.0005801250226795673,88.35556012485176,18,0,0.2,0.5,0.7,88.35589783266187,88.36766845779493,88.36766845779493,88.36766845779493,88.36766845779493,88.63740133261308,up,0.2676848750561476,None,up,0.2676848750561476,0.5,0,88.6520197079517,88.65696937497705,88.65696937497705,88.65696937497705,88.65696937497705,90.64674408268183,NA,NA,90.64719970803708,90.64723329199478,None,90.64732958283275,90.66222083289176,,91.64841437479481,88.36766845779493,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
18,0,18,right,0.8811934166587889,None,None,18,0,18,0,91.66166262468323,,,,,,,,,91.64894341677427,91.66166262468323,0.0016649169847369194,92.66112112486735,19,0,0.2,0.5,0.7,92.66182341706008,92.67269329167902,92.67269329167902,92.67269329167902,92.67269329167902,93.55627491697669,right,0.8811934166587889,None,right,0.8811934166587889,0.7,1,93.56963024986908,93.57449808297679,93.57449808297679,93.57449808297679,93.57449808297679,95.56814204202965,NA,NA,95.56858070800081,95.5686128330417,None,95.56868570763618,95.58096341695637,96.5820973329246,96.5665707080625,,,,,,,,,34120,001,2025-11-19_14h20.20.932,regret_experiment,,2025.1.1,74.16453611369865,0,0.2,0.5,0.7,2025-11-19 14h20.27.880596 -0800,
