thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,advance_key.started,instruction_image.started,Instructions.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,etRecord.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,pointsText1.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.045626250008353963,0.08108708400686737,0.08108708400686737,5.204047792009078,space,4.534128832994611,0.05498425000405405,,,,,0,0.7,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770361,001,2025-08-06_14h17.29.867,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 14h17.40.593193 -0700,
0,0,0,up,0.5517860839900095,None,None,0,0,0,0,5.228582459007157,,,,,,,,,5.207871250007884,5.228582459007157,6.21313962500426,1,0,0.7,0.2,0.5,6.2132210840063635,6.734916875007912,6.734916875007912,6.734916875007912,6.734916875007912,6.734916875007912,0.009207208000589162,7.297966417012503,up,0.5517860839900095,None,up,0.5517860839900095,0.2,0,7.819729584007291,7.977082209006767,7.977082209006767,7.977082209006767,7.977082209006767,7.977082209006767,8.969118667009752,9.803222250004183,NA,NA,9.803302792002796,9.80335625000589,None,9.80348408401187,9.81245566700818,10.803009917013696,10.796710167007404,,,770361,001,2025-08-06_14h17.29.867,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 14h17.40.593193 -0700,
1,0,1,left,1.4652767499937909,None,None,1,0,1,0,10.803009917013696,,,,,,,,,10.797011292001116,10.803009917013696,11.797350125008961,2,0,0.7,0.2,0.5,11.797525584013783,11.805262667010538,11.805262667010538,11.805262667010538,11.805262667010538,11.805262667010538,0.0025727080064825714,13.280280459002825,left,1.4652767499937909,None,left,1.4652767499937909,0.7,0,13.799849334012833,13.810638417009613,13.810638417009613,13.810638417009613,13.810638417009613,13.810638417009613,14.803456167006516,15.78629416700278,NA,NA,15.78635262500029,15.786391625006218,None,15.786467042009463,15.795625959013705,16.786194500004058,16.780854250013363,11.805262667010538,12.797017750010127,770361,001,2025-08-06_14h17.29.867,regret_experiment,2024.2.4,None,0,0.7,0.2,0.5,2025-08-06 14h17.40.593193 -0700,
2,0,2,,,,,2,0,2,0,16.786194500004058,,,,,,,,,16.781071584002348,16.786194500004058,17.770619292001356,3,0,0.7,0.2,0.5,17.77064570900984,17.778873459013994,17.778873459013994,17.778873459013994,17.778873459013994,17.778873459013994,0.009605250001186505,,,,,,,,,,,,,,,,,,,,,,,,,,17.778873459013994,,,,,,,,0,0.7,0.2,0.5,,
