thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,appleImage.stopped,tree1.stopped,tree2.stopped,tree3.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
14,0,14,up,0.325631707906723,None,None,,,14,0,14,0,72.17422325001098,,,,,,,,,72.16047200001776,72.17422325001098,0.0007303750608116388,73.15957258292474,15,2,0.5,0.7,0.2,73.15985187492333,73.1711310420651,73.1711310420651,73.1711310420651,73.1711310420651,73.50634408299811,up,0.325631707906723,None,up,0.325631707906723,0.7,0,73.51934654195793,73.52349687507376,73.52349687507376,73.52349687507376,73.52349687507376,75.52003245800734,NA,NA,75.52035870798863,75.52039054199122,None,75.52045820793137,75.53391674999148,76.53269191691652,76.51930916705169,73.1711310420651,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
15,0,15,right,0.483967165928334,None,None,,,15,0,15,0,76.53269191691652,,,,,,,,,76.51972125004977,76.53269191691652,-0.0006907919887453318,77.5200901250355,16,2,0.5,0.7,0.2,77.52035558293574,77.53245162498206,77.53245162498206,77.53245162498206,77.53245162498206,78.02610745793208,right,0.483967165928334,None,right,0.483967165928334,0.2,0,78.03936875006184,78.0435943750199,78.0435943750199,78.0435943750199,78.0435943750199,80.0402601249516,NA,NA,80.04056383296847,80.04059899994172,None,80.04067595792003,80.05317054199986,81.0523749999702,81.04071337496862,77.53245162498206,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
16,0,16,right,0.4282814161852002,None,None,,,16,0,16,0,81.0523749999702,,,,,,,,,81.04112274991348,81.0523749999702,0.000495250103995204,82.04041891708039,17,2,0.5,0.7,0.2,82.0407861249987,82.05202641710639,82.05202641710639,82.05202641710639,82.05202641710639,82.48201758298092,right,0.4282814161852002,None,right,0.4282814161852002,0.2,0,82.49509779200889,82.49944079201669,82.49944079201669,82.49944079201669,82.49944079201669,84.49390899995342,NA,NA,84.49427237501368,84.49430816690437,None,84.49438200006261,84.50602274993435,85.50658470811322,85.49165920796804,82.05202641710639,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
17,0,17,up,0.3604932080488652,None,None,,,17,0,17,0,85.50658470811322,,,,,,,,,85.49210491706617,85.50658470811322,0.012283124960958958,86.49421945796348,18,2,0.5,0.7,0.2,86.49447800009511,86.50687720812857,86.50687720812857,86.50687720812857,86.50687720812857,86.86910520796664,up,0.3604932080488652,None,up,0.3604932080488652,0.7,1,86.88105358299799,86.88429604191333,86.88429604191333,86.88429604191333,86.88429604191333,88.8795635420829,NA,NA,88.8799556249287,88.87998766708188,None,88.88005800009705,88.89296395797282,89.89315629191697,89.88003037497401,86.50687720812857,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
18,0,18,left,0.5237860409542918,None,None,,,18,0,18,0,89.89315629191697,,,,,,,,,89.88048495794646,89.89315629191697,0.00047562504187226295,90.87988575012423,19,2,0.5,0.7,0.2,90.8802090419922,90.8925462081097,90.8925462081097,90.8925462081097,90.8925462081097,91.42632041708566,left,0.5237860409542918,None,left,0.5237860409542918,0.5,1,91.43812479195185,91.4409718750976,91.4409718750976,91.4409718750976,91.4409718750976,93.42644616705365,NA,NA,93.4268214579206,93.4268552500289,None,93.4269273749087,93.43915233295411,94.44091033306904,94.42697733291425,90.8925462081097,,,,,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
19,0,19,left,0.521062291925773,None,None,,,19,0,19,0,94.44091033306904,,,,,,,,,94.42738570808433,94.44091033306904,0.0005051670596003532,95.42660524998792,20,2,0.5,0.7,0.2,95.42697966704145,95.43984608305618,95.43984608305618,95.43984608305618,95.43984608305618,95.97283395798877,left,0.521062291925773,None,left,0.521062291925773,0.5,1,95.98505808296613,95.98800062504597,95.98800062504597,95.98800062504597,95.98800062504597,97.97312462492846,NA,NA,97.97345637506805,97.97348908311687,None,97.97356020798907,97.98654662491754,98.98613354191184,98.97303079208359,95.43984608305618,97.98654662491754,97.98654662491754,97.98654662491754,97.98654662491754,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
20,0,20,right,0.24659379199147224,None,None,,,20,0,20,0,98.98613354191184,,,,,,,,,98.97346629202366,98.98613354191184,-4.616705700755119e-05,99.97311512497254,21,2,0.5,0.7,0.2,99.97346666711383,99.9862042919267,99.9862042919267,99.9862042919267,99.9862042919267,100.24126729206182,right,0.24659379199147224,None,right,0.24659379199147224,0.2,0,100.25527058308944,100.25780174997635,100.25780174997635,100.25780174997635,100.25780174997635,102.2405299579259,NA,NA,102.24086141702719,102.24089520797133,None,102.24096616706811,102.25308425002731,103.25130675011314,103.24034612509422,99.9862042919267,102.25308425002731,102.25308425002731,102.25308425002731,102.25308425002731,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
21,0,21,up,0.45973916607908905,None,None,,,21,0,21,0,103.25130675011314,,,,,,,,,103.24079833296128,103.25130675011314,-0.00012058322317898273,104.23560862499289,22,2,0.5,0.7,0.2,104.23577433312312,104.23735766694881,104.23735766694881,104.23735766694881,104.23735766694881,104.70740816695616,up,0.45973916607908905,None,up,0.45973916607908905,0.7,1,104.71908487495966,104.72265350003727,104.72265350003727,104.72265350003727,104.72265350003727,106.70594204193912,NA,NA,106.70617741695605,106.70620466698892,None,106.70625025010668,106.71839887509122,,107.70630550011992,104.23735766694881,106.71839887509122,106.71839887509122,106.71839887509122,106.71839887509122,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
22,0,22,left,0.42722091684117913,None,None,,,22,0,22,0,107.71927749994211,,,,,,,,,107.70678379200399,107.71927749994211,0.0005683328490704298,108.70685479207896,23,2,0.5,0.7,0.2,108.70728962495923,108.71819020807743,108.71819020807743,108.71819020807743,108.71819020807743,109.14757425012067,left,0.42722091684117913,None,left,0.42722091684117913,0.5,1,109.15975399990566,109.16228095791303,109.16228095791303,109.16228095791303,109.16228095791303,111.1465842500329,NA,NA,111.1469087919686,111.14694162504748,None,111.14700754196383,111.15948408306576,112.1595581669826,112.14664450008422,,111.15948408306576,111.15948408306576,111.15948408306576,111.15948408306576,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
23,0,23,left,0.3868129998445511,None,None,,,23,0,23,0,112.1595581669826,,,,,,,,,112.14707350009121,112.1595581669826,0.00011154101230204105,113.14657241711393,24,2,0.5,0.7,0.2,113.14690287504345,113.1594177079387,113.1594177079387,113.1594177079387,113.1594177079387,113.54838516702875,left,0.3868129998445511,None,left,0.3868129998445511,0.5,0,113.56149074994028,113.564705792116,113.564705792116,113.564705792116,113.564705792116,115.54769595805556,NA,NA,115.54800629196689,115.54803650011308,None,115.54810025007464,115.55816804198548,116.56047175009735,116.54711962491274,113.1594177079387,115.55816804198548,115.55816804198548,115.55816804198548,115.55816804198548,,,,,,,,,,,34105,001,2025-11-05_13h40.09.496,regret_experiment,,2025.1.1,75.14684138799005,2,0.5,0.7,0.2,2025-11-05 13h40.31.623209 -0800,
