thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.041969832993345335,0.07248674999573268,0.07248674999573268,9.53184983299434,space,9.329381042000023,None,,,,,,2,0.2,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
0,0,0,up,0.8761452499966254,None,None,,,0,0,0,0,10.183213166994392,,,,,,,,,9.534615457996551,10.183213166994392,0.002741958000115119,10.536618416997953,1,2,0.2,0.5,0.7,10.537194958000327,10.548614041996188,10.548614041996188,10.548614041996188,10.548614041996188,11.43530770799407,up,0.8761452499966254,None,up,0.8761452499966254,0.5,0,11.47932574999868,11.492704082993441,11.492704082993441,11.492704082993441,11.492704082993441,13.43928666699503,NA,NA,13.440029124998546,13.440133416996105,None,13.44027337499574,13.448954499996034,14.4417103329979,14.433899457995722,,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
1,0,1,right,0.5460370830041938,None,None,,,1,0,1,0,14.4417103329979,,,,,,,,,14.434763833000034,14.4417103329979,0.0015638339973520488,15.433818124998652,2,2,0.2,0.5,0.7,15.434015457998612,15.43858270799683,15.43858270799683,15.43858270799683,15.43858270799683,15.992712582999957,right,0.5460370830041938,None,right,0.5460370830041938,0.7,1,16.017852166995,16.02751966699725,16.02751966699725,16.02751966699725,16.02751966699725,17.999958374995913,NA,NA,18.000551582998014,18.000638792000245,None,18.000742917000025,18.005938832997344,18.999428832998092,18.98996249999618,15.43858270799683,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
2,0,2,left,0.3616917920007836,None,None,,,2,0,2,0,18.999428832998092,,,,,,,,,18.990278666999075,18.999428832998092,0.00385866600117879,19.98407983299694,3,2,0.2,0.5,0.7,19.984807749999163,19.99107470799936,19.99107470799936,19.99107470799936,19.99107470799936,20.35726079199958,left,0.3616917920007836,None,left,0.3616917920007836,0.2,0,20.381949291993806,20.389649207994808,20.389649207994808,20.389649207994808,20.389649207994808,22.365970832994208,NA,NA,22.36655320799764,22.36665258299763,None,22.36677370799589,22.371652874993742,23.366548999998486,23.354657166994002,19.99107470799936,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
3,0,3,right,0.3550659579996136,None,None,,,3,0,3,0,23.366548999998486,,,,,,,,,23.355312874999072,23.366548999998486,-9.87919993349351e-05,24.350225416994363,4,2,0.2,0.5,0.7,24.350907874999393,24.357157916994765,24.357157916994765,24.357157916994765,24.357157916994765,24.718513499996334,right,0.3550659579996136,None,right,0.3550659579996136,0.7,1,24.744274541997584,24.75260299999354,24.75260299999354,24.75260299999354,24.75260299999354,26.722231957995973,NA,NA,26.722981791994243,26.723072207998484,None,26.723177416999533,26.733028041999205,27.72405537499435,27.718019207997713,24.357157916994765,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
4,0,4,right,0.39860737500566756,None,None,,,4,0,4,0,27.72405537499435,,,,,,,,,27.718800999995437,27.72405537499435,0.0010398329977761023,28.7169472079986,5,2,0.2,0.5,0.7,28.71747999999934,28.72407929199835,28.72407929199835,28.72407929199835,28.72407929199835,29.135331582998333,right,0.39860737500566756,None,right,0.39860737500566756,0.7,0,29.16593112499686,29.19420970799547,29.19420970799547,29.19420970799547,29.19420970799547,31.138702041993383,NA,NA,31.13930870799959,31.139399166997464,None,31.139553457993316,31.149654666995048,32.140593416996126,32.13393766700028,28.72407929199835,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
5,0,5,up,0.40527750000183005,None,None,,,5,0,5,0,32.140593416996126,,,,,,,,,32.13502166699618,32.140593416996126,0.0011655419948510826,33.13387983299617,6,2,0.2,0.5,0.7,33.134421582995856,33.140202041999146,33.140202041999146,33.140202041999146,33.140202041999146,33.552275249996455,up,0.40527750000183005,None,up,0.40527750000183005,0.5,1,33.57890283299639,33.588236499999766,33.588236499999766,33.588236499999766,33.588236499999766,35.55554874999507,NA,NA,35.55625091699767,35.55635999999504,None,35.556508082998334,35.56628424999508,36.55701370799943,36.550646666997636,33.140202041999146,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
6,0,6,left,0.39568279100058135,None,None,,,6,0,6,0,36.55701370799943,,,,,,,,,36.551384166996286,36.55701370799943,0.0006610830023419112,37.55027662499924,7,2,0.2,0.5,0.7,37.550815291993786,37.55652137499419,37.55652137499419,37.55652137499419,37.55652137499419,37.95745229199383,left,0.39568279100058135,None,left,0.39568279100058135,0.2,1,37.98117220799759,37.9890800419962,37.9890800419962,37.9890800419962,37.9890800419962,39.96668120799586,NA,NA,39.967330791994755,39.96744379199663,None,39.96758399999817,39.972896874998696,40.9750394579969,40.96744362499885,37.55652137499419,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
7,0,7,right,0.3549693750028382,None,None,,,7,0,7,0,40.9750394579969,,,,,,,,,40.96842795799603,40.9750394579969,0.0009392079955432564,41.96706595799333,8,2,0.2,0.5,0.7,41.96764620799513,41.97348499999498,41.97348499999498,41.97348499999498,41.97348499999498,42.33509983299882,right,0.3549693750028382,None,right,0.3549693750028382,0.7,1,42.3610153329937,42.369273582997266,42.369273582997266,42.369273582997266,42.369273582997266,44.33933099999558,NA,NA,44.34001570799592,44.34010112499527,None,44.340204166997864,44.3498483749936,45.341218957997626,45.33435224999994,41.97348499999498,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
8,0,8,up,0.43440537500282517,None,None,,,8,0,8,0,45.341218957997626,,,,,,,,,45.335206791998644,45.341218957997626,0.0011469579985714518,46.33396770800027,9,2,0.2,0.5,0.7,46.334899582994694,46.34260233299574,46.34260233299574,46.34260233299574,46.34260233299574,46.785589416998846,up,0.43440537500282517,None,up,0.43440537500282517,0.5,0,46.81630358300026,46.82570379199751,46.82570379199751,46.82570379199751,46.82570379199751,48.7898576249936,NA,NA,48.79063604199473,48.790732124994975,None,48.790922541993496,48.79972766699939,49.79087249999429,49.78404474999843,46.34260233299574,,,,,,,,,,,34003,001,2025-10-22_15h12.55.729,regret_experiment,2024.2.4,None,2,0.2,0.5,0.7,2025-10-22 15h13.10.949829 -0700,
