thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,trials.regret_key.rt,trials.regret_key.duration,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.06455708299472462,0.09481587499612942,0.09481587499612942,2.7122917079977924,space,2.5065627500007395,None,,,,,,2,0.5,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
0,0,0,up,3.988571415990009,None,None,,,0,0,0,0,3.370430499999202,,,,,,,,,2.7194468329980737,3.370430499999202,0.007130875004804693,3.712593165997532,1,2,0.5,0.2,0.7,3.7129248330020346,3.723567583001568,3.723567583001568,3.723567583001568,3.723567583001568,7.716844499998842,up,3.988571415990009,None,up,3.988571415990009,0.2,0,7.756940624996787,7.77862687499146,7.77862687499146,7.77862687499146,7.77862687499146,9.724269665995962,NA,NA,9.724623500005691,9.72468679099984,None,9.72476558299968,9.731263958005002,10.730854458000977,10.724921125001856,,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
1,0,1,left,1.48645845799183,None,None,,,1,0,1,0,10.730854458000977,,,,,,,,,10.725305540996487,10.730854458000977,0.0005925409932387993,11.72412295799586,2,2,0.5,0.2,0.7,11.724423166000634,11.729294499993557,11.729294499993557,11.729294499993557,11.729294499993557,13.225171750003938,left,1.48645845799183,None,left,1.48645845799183,0.5,1,13.237604249996366,13.245618665998336,13.245618665998336,13.245618665998336,13.245618665998336,15.230400957996608,NA,NA,15.23078075000376,15.230821290999302,None,15.230873124994105,15.240496333004558,16.239372333002393,16.228192665992538,11.729294499993557,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
2,0,2,left,0.8178380419994937,None,None,,,2,0,2,0,16.239372333002393,,,,,,,,,16.228560666000703,16.239372333002393,0.00856204099545721,17.22412899999472,3,2,0.5,0.2,0.7,17.22455912499572,17.230092375000822,17.230092375000822,17.230092375000822,17.230092375000822,18.05969916599861,left,0.8178380419994937,None,left,0.8178380419994937,0.5,1,18.072160708004958,18.07895016600378,18.07895016600378,18.07895016600378,18.07895016600378,20.06211162499676,NA,NA,20.0624929159967,20.062538083002437,None,20.0626114159968,20.07393291599874,21.063088708004216,21.0574988330045,17.230092375000822,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
3,0,3,left,0.6496282919979421,None,None,,,3,0,3,0,21.063088708004216,,,,,,,,,21.058265125000617,21.063088708004216,0.0005863330006832257,22.056918375004898,4,2,0.5,0.2,0.7,22.057215790991904,22.06188924999151,22.06188924999151,22.06188924999151,22.06188924999151,22.715233208000427,left,0.6496282919979421,None,left,0.6496282919979421,0.5,0,22.729451457998948,22.736299790994963,22.736299790994963,22.736299790994963,22.736299790994963,24.72298670800228,NA,NA,24.723407041004975,24.723441833004472,None,24.72348766599316,24.727609166002367,25.723491208002088,25.712393915993744,22.06188924999151,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
4,0,4,right,0.951499333998072,None,None,,,4,0,4,0,25.723491208002088,,,,,,,,,25.713144541005022,25.723491208002088,6.066600326448679e-05,26.706745207993663,5,2,0.5,0.2,0.7,26.70698704100505,26.71220770799846,26.71220770799846,26.71220770799846,26.71220770799846,27.675319000001764,right,0.951499333998072,None,right,0.951499333998072,0.7,1,27.688485499995295,27.696839583004476,27.696839583004476,27.696839583004476,27.696839583004476,29.678107415995328,NA,NA,29.67849804100115,29.678539749991614,None,29.678604250002536,29.690090000003693,30.678379874996608,30.67383908299962,26.71220770799846,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
5,0,5,right,0.5850936659990111,None,None,,,5,0,5,0,30.678379874996608,,,,,,,,,30.67421212499903,30.678379874996608,-0.00014895800268277526,31.66200579100405,6,2,0.5,0.2,0.7,31.662342957992223,31.673404665998532,31.673404665998532,31.673404665998532,31.673404665998532,32.2632142079965,right,0.5850936659990111,None,right,0.5850936659990111,0.7,1,32.275486500002444,32.282514541002456,32.282514541002456,32.282514541002456,32.282514541002456,34.273481625001295,NA,NA,34.27377216599416,34.27380679099588,None,34.27385562499694,34.27806924999459,35.27337387499574,35.261677749993396,31.673404665998532,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
6,0,6,right,0.6793782500026282,None,None,,,6,0,6,0,35.27337387499574,,,,,,,,,35.26211654099461,35.27337387499574,-0.0004308330098865554,36.25729437499831,7,2,0.5,0.2,0.7,36.25762620799651,36.26313399999344,36.26313399999344,36.26313399999344,36.26313399999344,36.945499291003216,right,0.6793782500026282,None,right,0.6793782500026282,0.7,0,36.959070707991486,36.965983375004726,36.965983375004726,36.965983375004726,36.965983375004726,38.945917582997936,NA,NA,38.94640137499664,38.94644870799675,None,38.94650116599223,38.955957041005604,39.94498770800419,39.94042837500456,36.26313399999344,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
7,0,7,up,0.9870221669989405,None,None,,,7,0,7,0,39.94498770800419,,,,,,,,,39.94082375000289,39.94498770800419,0.010172624999540858,40.92953049999778,8,2,0.5,0.2,0.7,40.92981562500063,40.93968916599988,40.93968916599988,40.93968916599988,40.93968916599988,41.929389124998124,up,0.9870221669989405,None,up,0.9870221669989405,0.2,0,41.941751207996276,41.949920040991856,41.949920040991856,41.949920040991856,41.949920040991856,43.93965791599476,NA,NA,43.940055040991865,43.940089041003375,None,43.940147665998666,43.944278416005545,44.93857579100586,44.92994175000058,40.93968916599988,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
8,0,8,left,0.46716783300507814,None,None,,,8,0,8,0,44.93857579100586,,,,,,,,,44.930775665998226,44.93857579100586,0.0029167080065235496,45.923023166003986,9,2,0.5,0.2,0.7,45.92337258299813,45.94062266599212,45.94062266599212,45.94062266599212,45.94062266599212,46.41278566600522,left,0.46716783300507814,None,left,0.46716783300507814,0.5,0,46.425766582993674,46.432698000004166,46.432698000004166,46.432698000004166,46.432698000004166,48.42307495800196,NA,NA,48.42381162500533,48.42391941600363,None,48.42403233300138,48.42809849999321,49.42265274999954,49.41093183300109,45.928781082999194,,,,,,,,,,,34066,001,2025-10-31_10h19.03.562,regret_experiment,2024.2.4,None,2,0.5,0.2,0.7,2025-10-31 10h19.18.898007 -0700,
