thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,regret_rating,regret_rt,RegretRating.started,RegretRating.stopped,trials.regret_key.keys,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,0.05857229101820849,0.09159208301571198,0.09159208301571198,23.65479908301495,space,23.560465459013358,None,,,,,,0,0.7,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
0,0,0,left,0.7837877919955645,None,None,0,0,0,0,24.20865445799427,,,,,,,,,23.663257540989434,24.20865445799427,0.008376959012821317,24.66329570801463,1,0,0.7,0.5,0.2,24.663810083002318,24.676373458001763,24.676373458001763,24.676373458001763,24.676373458001763,25.464646125008585,left,0.7837877919955645,None,left,0.7837877919955645,0.7,0,25.507955665991176,25.523002166009974,25.523002166009974,25.523002166009974,25.523002166009974,27.467964707990177,NA,NA,27.468527666002046,27.468588290998014,None,27.46863337501418,27.479155000008177,28.468236624990823,28.463341291004326,,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
1,0,1,up,0.7963952089776285,None,None,1,0,1,0,28.468236624990823,,,,,,,,,28.463714457990136,28.468236624990823,-0.0002902080013882369,29.451755957998103,2,0,0.7,0.5,0.2,29.452002790989354,29.462838541017845,29.462838541017845,29.462838541017845,29.462838541017845,30.26372616601293,up,0.7963952089776285,None,up,0.7963952089776285,0.5,0,30.278260999999475,30.286581541004125,30.286581541004125,30.286581541004125,30.286581541004125,32.268173457996454,NA,NA,32.268939208006486,32.269036790996324,None,32.26914954101085,32.27938724998967,33.26777333300561,33.26275379100116,29.462838541017845,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
2,0,2,left,0.3653030830028001,None,None,2,0,2,0,33.26777333300561,,,,,,,,,33.263114916015184,33.26777333300561,0.010391499992692843,34.252402749989415,3,0,0.7,0.5,0.2,34.25268895798945,34.261490000004414,34.261490000004414,34.261490000004414,34.261490000004414,34.63046625000425,left,0.3653030830028001,None,left,0.3653030830028001,0.7,1,34.64382383300108,34.650529915990774,34.650529915990774,34.650529915990774,34.650529915990774,36.63530154101318,NA,NA,36.63586637499975,36.63590137500432,None,36.635948957991786,36.64602812498924,37.63579116601613,37.62947520799935,34.261490000004414,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
3,0,3,right,0.5912494160002097,None,None,3,0,3,0,37.63579116601613,,,,,,,,,37.62995741600753,37.63579116601613,-2.9916001949459314e-05,38.61943466600496,4,0,0.7,0.5,0.2,38.619809166004416,38.62869216600666,38.62869216600666,38.62869216600666,38.62869216600666,39.22989329099073,right,0.5912494160002097,None,right,0.5912494160002097,0.2,0,39.24302562500816,39.25118341599591,39.25118341599591,39.25118341599591,39.25118341599591,41.235572666017106,NA,NA,41.23617083299905,41.23621370800538,None,41.236315707996255,41.245674666017294,42.235791415994754,42.230012624990195,38.62869216600666,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
4,0,4,right,0.40700295800343156,None,None,4,0,4,0,42.235791415994754,,,,,,,,,42.23082737499499,42.235791415994754,-0.00036733399610966444,43.229712750006,5,0,0.7,0.5,0.2,43.23026279101032,43.23571083301795,43.23571083301795,43.23571083301795,43.23571083301795,43.64700012499816,right,0.40700295800343156,None,right,0.40700295800343156,0.2,0,43.661596749996534,43.668926874990575,43.668926874990575,43.668926874990575,43.668926874990575,45.65261754099629,NA,NA,45.65315833300701,45.6531909579935,None,45.653238583006896,45.66176925000036,46.65236437501153,46.6461697909981,43.23571083301795,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
5,0,5,left,0.2713614999956917,None,None,5,0,5,0,46.65236437501153,,,,,,,,,46.64698733299156,46.65236437501153,-0.0007668330217711627,47.64540075001423,6,0,0.7,0.5,0.2,47.64564566599438,47.650539541005855,47.650539541005855,47.650539541005855,47.650539541005855,47.929603541007964,left,0.2713614999956917,None,left,0.2713614999956917,0.7,0,47.942423166008666,47.9493113750068,47.9493113750068,47.9493113750068,47.9493113750068,49.93569916600245,NA,NA,49.936329707998084,49.936365958012175,None,49.93642466599704,49.945381416007876,50.933608999999706,50.928552083001705,47.650539541005855,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
6,0,6,up,0.6788048750022426,None,None,6,0,6,0,50.933608999999706,,,,,,,,,50.9289351660118,50.933608999999706,0.0082893330254592,51.91726191600901,7,0,0.7,0.5,0.2,51.91751770800329,51.93512679100968,51.93512679100968,51.93512679100968,51.93512679100968,52.62026329099899,up,0.6788048750022426,None,up,0.6788048750022426,0.5,0,52.63631970799179,52.645757791004144,52.645757791004144,52.645757791004144,52.645757791004144,54.62869454099564,NA,NA,54.62913345801644,54.629176207992714,None,54.629266583011486,54.63406787501299,55.62836870801402,55.617776083003264,51.928690250002546,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
7,0,7,up,0.5906049170007464,None,None,7,0,7,0,55.62836870801402,,,,,,,,,55.61817274999339,55.62836870801402,-0.0008184580074157566,56.61248029099079,8,0,0.7,0.5,0.2,56.6130217910104,56.62768045801204,56.62768045801204,56.62768045801204,56.62768045801204,57.21987370800343,up,0.5906049170007464,None,up,0.5906049170007464,0.5,0,57.23350825000671,57.24056350000319,57.24056350000319,57.24056350000319,57.24056350000319,59.2281676660059,NA,NA,59.22855550001259,59.2286007910152,None,59.22864729099092,59.23293116601417,60.23390062499675,60.228780791017925,56.61717312500696,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
8,0,8,left,1.2010392500087619,None,None,8,0,8,0,60.23390062499675,,,,,,,,,60.22913941601291,60.23390062499675,0.0005264999927021563,61.22836237499723,9,0,0.7,0.5,0.2,61.228604125004495,61.233263666013954,61.233263666013954,61.233263666013954,61.233263666013954,62.44594704100746,left,1.2010392500087619,None,left,1.2010392500087619,0.7,0,62.46097041599569,62.4688300830021,62.4688300830021,62.4688300830021,62.4688300830021,64.44980274999398,NA,NA,64.45073404099094,64.4508306249918,None,64.4509721659997,64.4607820000092,65.44995316601126,65.44496587500907,61.233263666013954,,,,34054,001,2025-11-07_12h26.41.707,regret_experiment,2024.2.4,121.35909957429163,0,0.7,0.5,0.2,2025-11-07 12h29.53.644997 -0800,
