thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,blank_screen.stopped,ITI.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
,,,,,,,,,,,,,,,0.07595254099578597,0.161481332994299,0.161481332994299,4.687424332994851,space,4.395564541002386,None,,,,,,1,0.2,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
0,0,0,left,4.011942666998948,None,2,2.937841082995874,None,0,0,0,0,5.337362165999366,,,,,,,,,4.693970124993939,5.337362165999366,0.006518791997223161,5.692598957990413,1,1,0.2,0.7,0.5,5.693131624997477,5.711772458002088,5.711772458002088,5.711772458002088,5.711772458002088,9.729377499999828,left,4.011942666998948,None,left,4.011942666998948,0.2,0,9.774835082993377,10.032288832997438,10.032288832997438,10.032288832997438,10.032288832997438,11.737659499995061,11.755850665998878,11.770475540994084,11.770475540994084,11.770475540994084,11.770475540994084,11.770475540994084,14.711020999995526,2,2.937841082995874,None,2,2.937841082995874,14.711124708002899,14.720055874990067,15.711212957990938,15.705390874994919,,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
1,0,1,up,0.8584539159928681,None,None,,,1,0,1,0,15.711212957990938,,,,,,,,,15.70579154099687,15.711212957990938,0.00023487501312047243,16.704265790991485,2,1,0.2,0.7,0.5,16.70443549999618,16.709189375003916,16.709189375003916,16.709189375003916,16.709189375003916,17.572206707991427,up,0.8584539159928681,None,up,0.8584539159928681,0.7,1,17.589903165993746,17.60064037499251,17.60064037499251,17.60064037499251,17.60064037499251,19.5769724999991,19.57772395799111,,,,,,19.577847708002082,None,,,NA,NA,19.578033625002718,19.58760812500259,20.57856520799396,20.572007708004094,16.709189375003916,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
2,0,2,up,0.6601284999924246,None,2,1.7831383750017267,None,2,0,2,0,20.57856520799396,,,,,,,,,20.573017957998673,20.57856520799396,0.0006889590003993362,21.571932790990104,3,1,0.2,0.7,0.5,21.572632583003724,21.578574915998615,21.578574915998615,21.578574915998615,21.578574915998615,22.245932332996745,up,0.6601284999924246,None,up,0.6601284999924246,0.7,0,22.27431737499137,22.29751941599534,22.29751941599534,22.29751941599534,22.29751941599534,24.254518665999058,24.270876249996945,24.280370624997886,24.280370624997886,24.280370624997886,24.280370624997886,24.280370624997886,26.072491999992053,2,1.7831383750017267,None,2,1.7831383750017267,26.072640332989977,26.08979666599771,,27.075864332990022,21.578574915998615,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
3,0,3,right,1.4769763329968555,None,3,1.3562910839973483,None,3,0,3,0,27.087698707997333,,,,,,,,,27.076672750001308,27.087698707997333,0.004112666996661574,28.0719860829995,4,1,0.2,0.7,0.5,28.072856625003624,28.079054290996282,28.079054290996282,28.079054290996282,28.079054290996282,29.56185087499034,right,1.4769763329968555,None,right,1.4769763329968555,0.5,0,29.58993095799815,29.59780720800336,29.59780720800336,29.59780720800336,29.59780720800336,31.571191082999576,31.58810004100087,31.595453749992885,31.595453749992885,31.595453749992885,31.595453749992885,31.595453749992885,32.95652516599512,3,1.3562910839973483,None,3,1.3562910839973483,32.95667775000038,32.96582920799847,33.96047550000367,33.954723332994035,28.079054290996282,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
4,0,4,left,0.8929890829895157,None,None,,,4,0,4,0,33.96047550000367,,,,,,,,,33.955297124994104,33.96047550000367,0.003930790990125388,34.943663915997604,5,1,0.2,0.7,0.5,34.94417595799314,34.95433179099928,34.95433179099928,34.95433179099928,34.95433179099928,35.8567235829978,left,0.8929890829895157,None,left,0.8929890829895157,0.2,1,35.8836152080039,35.89217695799016,35.89217695799016,35.89217695799016,35.89217695799016,37.86027399999148,37.86078358300438,,,,,,37.860813207997126,None,,,NA,NA,37.86085912499402,37.870848999999,38.85918983299052,38.854132583001046,34.95433179099928,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
5,0,5,up,0.6514379580039531,None,None,,,5,0,5,0,38.85918983299052,,,,,,,,,38.85467845799576,38.85918983299052,0.008853334002196789,39.84422662499128,6,1,0.2,0.7,0.5,39.84494562499458,39.86044000000402,39.86044000000402,39.86044000000402,39.86044000000402,40.52323695800442,up,0.6514379580039531,None,up,0.6514379580039531,0.7,1,40.549059750002925,40.5579713749903,40.5579713749903,40.5579713749903,40.5579713749903,42.526763707996,42.52744133300439,,,,,,42.52751933300169,None,,,NA,NA,42.5276683330012,42.53772833300172,43.52862441599427,43.522152332996484,39.854378290998284,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
6,0,6,right,0.5675991659954889,None,3,1.5765238750027493,None,6,0,6,0,43.52862441599427,,,,,,,,,43.52304449999065,43.52862441599427,0.0010938750056084245,44.521821665999596,7,1,0.2,0.7,0.5,44.522379665999324,44.52821245799714,44.52821245799714,44.52821245799714,44.52821245799714,45.10640145800426,right,0.5675991659954889,None,right,0.5675991659954889,0.5,0,45.13294587499695,45.14114741599769,45.14114741599769,45.14114741599769,45.14114741599769,47.110231332990224,47.12633637500403,47.13588616599736,47.13588616599736,47.13588616599736,47.13588616599736,47.13588616599736,48.722200624994,3,1.5765238750027493,None,3,1.5765238750027493,48.72235083299165,48.73118975000398,49.73057529100333,49.72238329099491,44.52821245799714,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
7,0,7,up,0.6103529579995666,None,3,3.4302010829997016,None,7,0,7,0,49.73057529100333,,,,,,,,,49.72372420800093,49.73057529100333,0.0015438749978784472,50.72194870800013,8,1,0.2,0.7,0.5,50.72256199999538,50.728446374996565,50.728446374996565,50.728446374996565,50.728446374996565,51.34607266599778,up,0.6103529579995666,None,up,0.6103529579995666,0.7,0,51.374018040995,51.3820896249963,51.3820896249963,51.3820896249963,51.3820896249963,53.354281291001826,53.37039999999979,53.37787958300032,53.37787958300032,53.37787958300032,53.37787958300032,53.37787958300032,56.81346733299142,3,3.4302010829997016,None,3,3.4302010829997016,56.81377108299057,56.82790591599769,,57.820338874997105,50.728446374996565,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
8,0,8,left,0.41803229101060424,None,3,0.8769617920042947,None,8,0,8,0,57.8283680829918,,,,,,,,,57.821664999995846,57.8283680829918,0.008055333004449494,58.82145191599557,9,1,0.2,0.7,0.5,58.82219762499153,58.82920262499829,58.82920262499829,58.82920262499829,58.82920262499829,59.25627920799889,left,0.41803229101060424,None,left,0.41803229101060424,0.2,0,59.28980541600322,59.29847954100114,59.29847954100114,59.29847954100114,59.29847954100114,61.25899508300063,61.267076916003134,61.273952082992764,61.273952082992764,61.273952082992764,61.273952082992764,61.273952082992764,62.155419499991694,3,0.8769617920042947,None,3,0.8769617920042947,62.15552254099748,62.162949165998725,63.16230137499224,63.155478000000585,,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
9,0,9,up,0.6070340420119464,None,None,,,9,0,9,0,63.16230137499224,,,,,,,,,63.15624279099575,63.16230137499224,0.0007819580059731379,64.15479695799877,10,1,0.2,0.7,0.5,64.15499300000374,64.16078154099523,64.16078154099523,64.16078154099523,64.16078154099523,64.77220783299708,up,0.6070340420119464,None,up,0.6070340420119464,0.7,1,64.78699312500248,64.79432066599838,64.79432066599838,64.79432066599838,64.79432066599838,66.77732404100243,66.7777699159924,,,,,,66.77780766600335,None,,,NA,NA,66.7778511249926,66.78750508300436,67.77600545799942,67.77056841600279,64.16078154099523,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
10,0,10,up,0.37447158400027547,None,None,,,10,0,10,0,67.77600545799942,,,,,,,,,67.771266249998,67.77600545799942,0.009996458000387065,68.75995583299664,11,1,0.2,0.7,0.5,68.7601736249926,68.77695329100243,68.77695329100243,68.77695329100243,68.77695329100243,69.15680483299366,up,0.37447158400027547,None,up,0.37447158400027547,0.7,1,69.17052058299305,69.1804272080044,69.1804272080044,69.1804272080044,69.1804272080044,71.16026187500393,71.160909290993,,,,,,71.16100558299513,None,,,NA,NA,71.16112491599051,71.17107174999546,72.1614644999936,72.15543666599842,68.77079854099429,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
11,0,11,up,1.2528655829955824,None,2,0.5960022090002894,None,11,0,11,0,72.1614644999936,,,,,,,,,72.1561428749992,72.1614644999936,0.0004645409935619682,73.15557912499935,12,1,0.2,0.7,0.5,73.15628637500049,73.16266987500421,73.16266987500421,73.16266987500421,73.16266987500421,74.43111849999696,up,1.2528655829955824,None,up,1.2528655829955824,0.7,0,74.45920804099296,74.46709666599054,74.46709666599054,74.46709666599054,74.46709666599054,76.43803687499894,76.45510591600032,76.46685425000032,76.46685425000032,76.46685425000032,76.46685425000032,76.46685425000032,77.07340212499548,2,0.5960022090002894,None,2,0.5960022090002894,77.07358229099191,77.0828837500012,78.08002312500321,78.07222558300418,73.16266987500421,,,,33706,001,2025-10-29_14h30.22.967,regret_experiment,2024.2.4,118.57889222713618,1,0.2,0.7,0.5,2025-10-29 14h30.41.380348 -0700,
