thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_exp.started,begin.started,advance_key.started,begin_exp.stopped,advance_key.keys,advance_key.rt,advance_key.duration,Fixation.started,fixcross.started,etRecord.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,tree1.started,tree2.started,tree3.started,Feedback.stopped,RegretRating.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,ITI.stopped,blank_screen.stopped,fixcross.stopped,avg_regret,EndScreen.started,end_display.started,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
9,0,9,right,1.2404657499864697,None,None,,,9,0,9,0,80.79415091598639,,,,,,,,,80.78963937499793,80.79415091598639,0.0004036659956909716,81.78926054097246,10,1,0.5,0.7,0.2,81.7896697500255,81.794222040975,81.794222040975,81.794222040975,81.794222040975,83.03974191599991,right,1.2404657499864697,None,right,1.2404657499864697,0.2,1,83.051612958021,83.05850945797283,83.05850945797283,83.05850945797283,83.05850945797283,85.04374358302448,85.04432683298364,,,,,,85.04436724999687,None,,,NA,NA,85.044410625007,85.05511575000128,86.03867350000655,86.04310383298434,81.794222040975,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
10,0,10,right,0.8134530839743093,None,1,1.8798358329804614,None,10,0,10,0,86.04310383298434,,,,,,,,,86.03905204101466,86.04310383298434,0.009871750022284687,87.02687270799652,11,1,0.5,0.7,0.2,87.02724570798455,87.0446585000027,87.0446585000027,87.0446585000027,87.0446585000027,87.86165650002658,right,0.8134530839743093,None,right,0.8134530839743093,0.2,0,87.87549512501573,87.88199504098156,87.88199504098156,87.88199504098156,87.88199504098156,89.86190091597382,89.86943279101979,89.87729033298092,89.87729033298092,89.87729033298092,89.87729033298092,89.87729033298092,91.76585716602858,1,1.8798358329804614,None,1,1.8798358329804614,91.76592074998189,91.77227879100246,92.75921833299799,92.77142991602886,87.03907941601938,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
11,0,11,up,0.7220159160206094,None,None,,,11,0,11,0,92.77142991602886,,,,,,,,,92.75966337497812,92.77142991602886,0.005577416974119842,93.75497320800787,12,1,0.5,0.7,0.2,93.7557495830115,93.76028833299642,93.76028833299642,93.76028833299642,93.76028833299642,94.4893223749823,up,0.7220159160206094,None,up,0.7220159160206094,0.7,1,94.50140866602305,94.50882200000342,94.50882200000342,94.50882200000342,94.50882200000342,96.49272304098122,96.49324762501055,,,,,,96.49328541598516,None,,,NA,NA,96.4933275830117,96.50460166600533,97.4886365000275,97.49327408301178,93.76028833299642,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
12,0,12,up,0.6020648749545217,None,None,,,12,0,12,0,97.49327408301178,,,,,,,,,97.48916125000687,97.49327408301178,7.2919647209346294e-06,98.48862170800567,13,1,0.5,0.7,0.2,98.4890641659731,98.49511104100384,98.49511104100384,98.49511104100384,98.49511104100384,99.10596312501002,up,0.6020648749545217,None,up,0.6020648749545217,0.7,1,99.11829433299135,99.12721858301666,99.12721858301666,99.12721858301666,99.12721858301666,101.10926691599889,101.10986991599202,,,,,,101.10990504099755,None,,,NA,NA,101.10996949998662,101.12108441599412,102.1047442079871,102.10934120800812,98.49511104100384,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
13,0,13,up,0.5720432499656454,None,1,1.505875915987417,None,13,0,13,0,102.10934120800812,,,,,,,,,102.1052634579828,102.10934120800812,-0.0005484159919433296,103.10526158299763,14,1,0.5,0.7,0.2,103.10553183301818,103.10995595797431,103.10995595797431,103.10995595797431,103.10995595797431,103.69024458300555,up,0.5720432499656454,None,up,0.5720432499656454,0.7,0,103.70363045798149,103.71069062501192,103.71069062501192,103.71069062501192,103.71069062501192,105.69231587502873,105.70076254097512,105.71182550000958,105.71182550000958,105.71182550000958,105.71182550000958,105.71182550000958,107.22216854098951,1,1.505875915987417,None,1,1.505875915987417,107.22223437501816,107.22969420801383,108.22402141598286,108.22972300002584,103.10995595797431,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
14,0,14,right,0.6947137080132961,None,1,1.2418278750265017,None,14,0,14,0,108.22972300002584,,,,,,,,,108.22450004098937,108.22972300002584,0.0023066660505719483,109.22131125000305,15,1,0.5,0.7,0.2,109.22229929099558,109.22796508297324,109.22796508297324,109.22796508297324,109.22796508297324,109.92788912501419,right,0.6947137080132961,None,right,0.6947137080132961,0.2,0,109.94212254101876,109.95434787502745,109.95434787502745,109.95434787502745,109.95434787502745,111.9374666250078,111.9442087499774,111.95096208300674,111.95096208300674,111.95096208300674,111.95096208300674,111.95096208300674,113.19875074998708,1,1.2418278750265017,None,1,1.2418278750265017,113.19881937501486,113.20742854097625,114.19264924997697,114.20387004100485,109.22796508297324,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
15,0,15,left,0.43225095799425617,None,1,0.722020709014032,None,15,0,15,0,114.20387004100485,,,,,,,,,114.19367183302529,114.20387004100485,0.005115333013236523,115.18783900002018,16,1,0.5,0.7,0.2,115.18814195797313,115.19328166602645,115.19328166602645,115.19328166602645,115.19328166602645,115.62708879099227,left,0.43225095799425617,None,left,0.43225095799425617,0.5,0,115.64001329097664,115.64747874997556,115.64747874997556,115.64747874997556,115.64747874997556,117.637111500022,117.64490820799256,117.65060708299279,117.65060708299279,117.65060708299279,117.65060708299279,117.65060708299279,118.38305012497585,1,0.722020709014032,None,1,0.722020709014032,118.38311574998079,118.38776704098564,119.37094074999914,119.37589874997502,115.19328166602645,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
16,0,16,up,0.5518683330155909,None,1,0.8456654170295224,None,16,0,16,0,119.37589874997502,,,,,,,,,119.37173591600731,119.37589874997502,0.0038924579857848585,120.37159162497846,17,1,0.5,0.7,0.2,120.37191529100528,120.37686204101192,120.37686204101192,120.37686204101192,120.37686204101192,120.93888024997432,up,0.5518683330155909,None,up,0.5518683330155909,0.7,0,120.9514541659737,120.96053204097552,120.96053204097552,120.96053204097552,120.96053204097552,122.94197304098634,122.94866216601804,122.9546152909752,122.9546152909752,122.9546152909752,122.9546152909752,122.9546152909752,123.80470991600305,1,0.8456654170295224,None,1,0.8456654170295224,123.8047832500306,123.80885083298199,124.80399304098682,124.80914345802739,120.37686204101192,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
17,0,17,up,0.600330000044778,None,None,,,17,0,17,0,124.80914345802739,,,,,,,,,124.80434570799116,124.80914345802739,-0.0003962090122513473,125.80394295800943,18,1,0.5,0.7,0.2,125.80426441598684,125.80894691601861,125.80894691601861,125.80894691601861,125.80894691601861,126.42199987499043,up,0.600330000044778,None,up,0.600330000044778,0.7,1,126.434408082976,126.44105637498433,126.44105637498433,126.44105637498433,126.44105637498433,128.42484662501374,128.42526699998416,,,,,,128.42531199997757,None,,,NA,NA,128.4253851660178,128.4366303330171,129.4273065829766,129.43311995797558,125.80894691601861,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
18,0,18,right,0.5673181249876507,None,1,3.248912416980602,None,18,0,18,0,129.43311995797558,,,,,,,,,129.42786237498512,129.43311995797558,0.0025293329963460565,130.42090633301996,19,1,0.5,0.7,0.2,130.4211298750015,130.42582233302528,130.42582233302528,130.42582233302528,130.42582233302528,131.0052207080298,right,0.5673181249876507,None,right,0.5673181249876507,0.2,0,131.01873954100301,131.02657049999107,131.02657049999107,131.02657049999107,131.02657049999107,133.0077910409891,133.016218499979,133.02345595799852,133.02345595799852,133.02345595799852,133.02345595799852,133.02345595799852,136.2770857079886,1,3.248912416980602,None,1,3.248912416980602,136.27715133299353,136.28600858297432,137.27081004099455,137.27588654099964,130.42582233302528,,,,33775,001,2025-11-11_18h13.58.276,regret_experiment,2024.2.4,None,1,0.5,0.7,0.2,2025-11-11 18h14.11.129705 -0800,
