instruction_img,thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,regret_key.keys,regret_key.rt,regret_key.duration,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,Fixation.started,fixcross.started,Fixation.stopped,trial_num,participant_cond,prob_left,prob_up,prob_right,Choice.started,tree1_img.started,tree2_img.started,tree3_img.started,key_resp_1.started,pointsText1.started,etRecord.started,pointsText1.stopped,Choice.stopped,trials.key_resp_1.keys,trials.key_resp_1.rt,trials.key_resp_1.duration,choice_key,choice_rt,choice_prob,points,Feedback.started,appleImage.started,pointsText2.started,tree1.started,tree2.started,tree3.started,pointsText2.stopped,Feedback.stopped,RegretRating.started,text.started,regret_scale.started,regret_key.started,rtree1.started,rtree2.started,rtree3.started,RegretRating.stopped,trials.regret_key.keys,trials.regret_key.rt,trials.regret_key.duration,regret_rating,regret_rt,ITI.started,blank_screen.started,ITI.stopped,fixcross.stopped,blank_screen.stopped,avg_regret,total_points,EndScreen.started,end_display.started,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,participant_cond,prob_left,prob_up,prob_right,expStart,
images/instruction04.png,12,0,3,,,,,,,3,0,12,3,,,,,0.07270266700015782,,0.05135650000011083,0.051555582999753824,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
images/instruction01.png,13,1,3,,,,,,,3,1,13,0,,,,,0.07270266700015782,,0.05160016700028791,0.05185633300061454,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
images/instruction02.png,14,2,3,,,,,,,3,2,14,1,,,,,0.07270266700015782,,0.05190325000057783,0.052084957999795733,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
images/instruction03.png,15,3,3,,,,,,,3,3,15,2,,,,,0.07270266700015782,,0.05212933300026634,0.05234191700037627,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
images/instruction03.png,16,0,4,,,,,,,4,0,16,2,,,,,0.07270266700015782,,0.05238266700052918,0.0525564999998096,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
images/instruction01.png,17,1,4,,,,,,,4,1,17,0,,,,,0.07270266700015782,,0.05260066699975141,0.05275625000012951,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
images/instruction02.png,18,2,4,,,,,,,4,2,18,1,,,,,0.07270266700015782,,0.052798583000367216,0.05294504199991934,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
images/instruction04.png,19,3,4,,,,,,,4,3,19,3,,,,,0.07270266700015782,,0.05298624999977619,0.053143500000260246,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,0,0,0,up,18.34428787500019,None,1,2.5148400830003084,None,,,,,0,0,0,0,0.07270266700015782,,,,0.0533680420003293,0.07270266700015782,1.0539450830001442,1,1,0.5,0.7,0.2,1.0539813750001485,1.571581375000278,1.571581375000278,1.571581375000278,1.571581375000278,1.571581375000278,0.0008605829998487025,2.569861292000496,19.924018083000192,up,18.34428787500019,None,up,18.34428787500019,0.7,0,19.95660025000052,19.98071549999986,19.98071549999986,19.98071549999986,19.98071549999986,19.98071549999986,20.976852750000035,21.9272422920003,21.935978624999734,21.94432104200041,21.94432104200041,21.94432104200041,21.94432104200041,21.94432104200041,21.94432104200041,24.462918791999982,1,2.5148400830003084,None,1,2.5148400830003084,24.463779124999746,24.552460124999925,25.470850874999996,,,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,1,0,1,left,0.8441803750001782,None,1,0.5827867500001958,None,,,,,1,0,1,0,25.475828667000314,,,,25.47104095800023,25.475828667000314,26.460084708000068,2,1,0.5,0.7,0.2,26.460128917000475,26.47092183299992,26.47092183299992,26.47092183299992,26.47092183299992,26.47092183299992,0.008366166999621782,,27.322149667000303,left,0.8441803750001782,None,left,0.8441803750001782,0.5,0,27.33528291699986,27.343713082999784,27.343713082999784,27.343713082999784,27.343713082999784,27.343713082999784,28.337642958000288,29.3264600829998,29.332829333000518,29.340833625000414,29.340833625000414,29.340833625000414,29.340833625000414,29.340833625000414,29.340833625000414,29.927273082999818,1,0.5827867500001958,None,1,0.5827867500001958,29.92735562500002,29.936771167000188,30.921950916999776,26.47092183299992,30.927773750000597,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,2,0,2,right,0.884689458000139,None,1,0.8895769170003405,None,,,,,2,0,2,0,30.927773750000597,,,,30.922191374999784,30.927773750000597,31.920695875000092,3,1,0.5,0.7,0.2,31.920726708000075,31.926610999999866,31.926610999999866,31.926610999999866,31.926610999999866,31.926610999999866,-6.604100053664297e-05,,32.822834417000195,right,0.884689458000139,None,right,0.884689458000139,0.2,0,32.84215004199996,32.85023487499984,32.85023487499984,32.85023487499984,32.85023487499984,32.85023487499984,33.84413904200028,34.82693541699973,34.835029583000505,34.842155291999916,34.842155291999916,34.842155291999916,34.842155291999916,34.842155291999916,34.842155291999916,35.73884058299973,1,0.8895769170003405,None,1,0.8895769170003405,35.73891295800058,35.74594675000026,36.738028167000266,31.926610999999866,36.74279487500007,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,3,0,3,up,0.3230772500000967,None,None,,,,,,,3,0,3,0,36.74279487500007,,,,36.73814275000041,36.74279487500007,37.73787404199993,4,1,0.5,0.7,0.2,37.737901250000505,37.74365383300028,37.74365383300028,37.74365383300028,37.74365383300028,37.74365383300028,-0.0009707500003059977,,38.073213042000134,up,0.3230772500000967,None,up,0.3230772500000967,0.7,1,38.08599720799975,38.09313279199978,38.09313279199978,38.09313279199978,38.09313279199978,38.09313279199978,39.08736037500057,40.07729120800013,40.07735191699976,,,,,,,40.07740379200004,None,,,NA,NA,40.077495125000496,40.087349542000084,41.07140200000049,37.74365383300028,41.07628662499974,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,4,0,4,up,0.3373778750001293,None,None,,,,,,,4,0,4,0,41.07628662499974,,,,41.07152083300025,41.07628662499974,42.061007500000414,5,1,0.5,0.7,0.2,42.061034542000016,42.09021875000053,42.09021875000053,42.09021875000053,42.09021875000053,42.09021875000053,0.013404791000539262,,42.438027375000274,up,0.3373778750001293,None,up,0.3373778750001293,0.7,1,42.45045558299989,42.45943591700052,42.45943591700052,42.45943591700052,42.45943591700052,42.45943591700052,43.45334379199994,44.44280158299989,44.44285983300051,,,,,,,44.442905957999756,None,,,NA,NA,44.44298433299991,44.454117000000224,45.43852083300044,42.09021875000053,45.444443874999706,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,5,0,5,up,0.5260737499993411,None,None,,,,,,,5,0,5,0,45.444443874999706,,,,45.43880887500018,45.444443874999706,46.4277288330004,6,1,0.5,0.7,0.2,46.42780679200041,46.43662483299977,46.43662483299977,46.43662483299977,46.43662483299977,46.43662483299977,-9.337499977846164e-05,,46.971822250000514,up,0.5260737499993411,None,up,0.5260737499993411,0.7,1,46.9830911250001,46.99191074999999,46.99191074999999,46.99191074999999,46.99191074999999,46.99191074999999,47.98737320800046,48.97561987500012,48.9756730830004,,,,,,,48.97571620800045,None,,,NA,NA,48.97579137499997,48.98605658300039,49.97144054199998,46.43662483299977,49.97685808300048,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,6,0,6,up,0.512901583000712,None,3,0.4808472909999182,None,,,,,6,0,6,0,49.97685808300048,,,,49.97170095799993,49.97685808300048,50.960779916999854,7,1,0.5,0.7,0.2,50.96080612500009,50.96996275000038,50.96996275000038,50.96996275000038,50.96996275000038,50.96996275000038,0.00020570800006680656,,51.48846183299975,up,0.512901583000712,None,up,0.512901583000712,0.7,0,51.502052249999906,51.510745874999884,51.510745874999884,51.510745874999884,51.510745874999884,51.510745874999884,52.510707708000155,53.49283212499995,53.501221042,53.5082645829998,53.5082645829998,53.5082645829998,53.5082645829998,53.5082645829998,53.5082645829998,53.9949019579999,3,0.4808472909999182,None,3,0.4808472909999182,53.994977542000015,54.003819708000265,54.98832895800024,50.96996275000038,54.99465254200004,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,7,0,7,left,0.3841480410001168,None,None,,,,,,,7,0,7,0,54.99465254200004,,,,54.98858879199997,54.99465254200004,55.98838712500037,8,1,0.5,0.7,0.2,55.98845712500042,55.994722000000365,55.994722000000365,55.994722000000365,55.994722000000365,55.994722000000365,0.00041929200051527005,,56.38845891700021,left,0.3841480410001168,None,left,0.3841480410001168,0.5,1,56.39990875000058,56.407201707999775,56.407201707999775,56.407201707999775,56.407201707999775,56.407201707999775,57.4040071670006,58.3947537920003,58.39480833300058,,,,,,,58.39486329200008,None,,,NA,NA,58.39495170800001,58.403733332999764,59.387556667000354,55.994722000000365,59.39258299999983,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,8,0,8,left,0.4460972919996493,None,4,1.2080584160003127,None,,,,,8,0,8,0,59.39258299999983,,,,59.38768437500039,59.39258299999983,60.37608804200045,9,1,0.5,0.7,0.2,60.376116292000006,60.392412582999896,60.392412582999896,60.392412582999896,60.392412582999896,60.392412582999896,0.008940791999521025,,60.84537483300028,left,0.4460972919996493,None,left,0.4460972919996493,0.5,0,60.858366375000514,60.870754083000065,60.870754083000065,60.870754083000065,60.870754083000065,60.870754083000065,61.85919566699977,62.85327087499991,62.86061966699981,62.86731737500031,62.86731737500031,62.86731737500031,62.86731737500031,62.86731737500031,62.86731737500031,64.07855312500033,4,1.2080584160003127,None,4,1.2080584160003127,64.07870520800043,64.08716783300042,65.0713326670002,60.386625207999714,65.07728800000041,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,9,0,9,up,0.8379465829993933,None,None,,,,,,,9,0,9,0,65.07728800000041,,,,65.07161566700051,65.07728800000041,66.0602649170005,10,1,0.5,0.7,0.2,66.06032750000031,66.07692300000053,66.07692300000053,66.07692300000053,66.07692300000053,66.07692300000053,0.00782770900059404,,66.92288504200042,up,0.8379465829993933,None,up,0.8379465829993933,0.7,1,66.9463177080006,66.9551413750005,66.9551413750005,66.9551413750005,66.9551413750005,66.9551413750005,67.95373233300052,68.92603745799988,68.92613070800053,,,,,,,68.92623204200027,None,,,NA,NA,68.92638150000039,68.93722324999999,69.92135912499998,66.07068758300011,69.95472966699981,,,,,,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,0,69.94772870799989,69.95472966699981,70.93725308300054,998904,001,2025-07-29_13h59.31.574,regret_experiment,2024.2.4,120.20025362254884,1,0.5,0.7,0.2,2025-07-29 13h59.47.780459 -0700,
