msg_time,trial_num,type,sac_sttime_rel,sac_entime_rel,sac_gstx,sac_gsty,sac_genx,sac_geny,sac_duration,fix_sttime_rel,fix_entime_rel,fix_gstx,fix_gsty,fix_genx,fix_geny,fix_duration,pid
986,1,choice,1173,1282,876.70001220703125,563.79998779296875,858.5999755859375,541.0999755859375,109,1283,1430,858.29998779296875,541.0999755859375,857.70001220703125,531.20001220703125,147,135502
986,1,choice,1431,1449,858.20001220703125,530.0999755859375,880,476.8999938964844,18,1450,2053,879.5,475.1000061035156,869.5999755859375,460,603,135502
1529,1,feedback,2054,2170,869.5,460.8999938964844,864.20001220703125,426,116,2171,3755,864.29998779296875,426.1000061035156,853.29998779296875,416.1000061035156,1584,135502
3512,1,regret,3756,3878,853.20001220703125,416.70001220703125,855.4000244140625,546.70001220703125,122,3879,4615,854.70001220703125,545.29998779296875,852.20001220703125,528.4000244140625,736,135502
4503,1,fixation,4616,4632,852.0999755859375,527.20001220703125,847.70001220703125,474.29998779296875,16,4633,4829,846.70001220703125,472.6000061035156,846.70001220703125,462.3999938964844,196,135502
4503,1,fixation,4830,4852,847.4000244140625,463.3999938964844,860.79998779296875,544.4000244140625,22,4853,5803,860.9000244140625,547.5,869.20001220703125,554.29998779296875,950,135502
5492,2,choice,5804,5831,869.20001220703125,553.20001220703125,737.20001220703125,496.29998779296875,27,5832,6084,733.20001220703125,495.6000061035156,707.70001220703125,485.5,252,135502
5492,2,choice,6085,6185,708.29998779296875,485.70001220703125,577.5999755859375,413.5,100,6186,6511,577.5999755859375,413.5,580.5,395.1000061035156,325,135502
6205,2,feedback,6512,6531,579.79998779296875,394.6000061035156,512.20001220703125,380.20001220703125,19,6532,6788,510.3999938964844,380,494.20001220703125,380.79998779296875,256,135502
6205,2,feedback,6789,6915,494.29998779296875,382,459.29998779296875,348.20001220703125,126,6916,8433,459.20001220703125,348.79998779296875,480.29998779296875,341.20001220703125,1517,135502
8193,2,regret,8434,8557,480.5,341.70001220703125,974.5,523.70001220703125,123,8558,9343,974.5999755859375,523.4000244140625,958.4000244140625,491.29998779296875,785,135502
9188,2,fixation,9344,9365,958.29998779296875,491.5,879.20001220703125,539.29998779296875,21,9366,9530,879.29998779296875,540.5999755859375,882.20001220703125,541.20001220703125,164,135502
9188,2,fixation,9531,9665,882.20001220703125,541.4000244140625,856.0999755859375,547.5999755859375,134,9666,9737,855.79998779296875,547.70001220703125,854.29998779296875,542.70001220703125,71,135502
9188,2,fixation,9738,9745,855,543.4000244140625,868.20001220703125,552.29998779296875,7,9746,10423,869.5,552.4000244140625,869.70001220703125,552.79998779296875,677,135502
10188,3,choice,10424,10469,869.70001220703125,552.5,1272.5,490.29998779296875,45,10470,10816,1272.5,489,1262.0999755859375,476.6000061035156,346,135502
10584,3,feedback,10817,10941,1261.5,477.29998779296875,1230.800048828125,388.8999938964844,124,10942,11346,1230.699951171875,388.8999938964844,1221.300048828125,377,404,135502
10584,3,feedback,11347,11363,1222.0999755859375,376.5,1217.800048828125,339.70001220703125,16,11364,12744,1216.800048828125,338.6000061035156,1212.5999755859375,329.20001220703125,1380,135502
12576,3,regret,12745,12879,1212.4000244140625,330,811.29998779296875,645.5,134,12880,13280,811.70001220703125,646,816.70001220703125,624.0999755859375,400,135502
12576,3,regret,13281,13302,816.79998779296875,623.9000244140625,884.79998779296875,584.0999755859375,21,13303,13763,885,582.70001220703125,883.29998779296875,557.9000244140625,460,135502
13570,3,fixation,13764,13771,881.4000244140625,557.79998779296875,867,557.79998779296875,7,13772,14797,865.70001220703125,557.20001220703125,861.79998779296875,536.9000244140625,1025,135502
14570,4,choice,14798,14820,861.9000244140625,536.70001220703125,878.79998779296875,453.3999938964844,22,14821,15406,878.20001220703125,451.1000061035156,873.79998779296875,415.8999938964844,585,135502
