pid,condition,trial_index,type_lab,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad,event_type,label,msg_time,i.start,i.end,sac_gstx,sac_gsty,sac_genx,sac_geny,sac_duration,fix_gstx,fix_gsty,fix_genx,fix_geny,fix_duration
64132,regret,1,feedback,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,FEEDBACK_1,2925,3247,3459,NA,NA,NA,NA,NA,1266.5999755859375,481.2000122070313,1248.5,450,212
64132,regret,1,feedback,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,FEEDBACK_1,2925,3594,3724,NA,NA,NA,NA,NA,1284.9000244140625,566,1287.4000244140625,571.5999755859375,130
64132,regret,1,feedback,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,FEEDBACK_1,2925,3936,4085,NA,NA,NA,NA,NA,1275.5,675.5,1285.4000244140625,679.4000244140625,149
64132,regret,1,feedback,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,FEEDBACK_1,2925,4290,4527,NA,NA,NA,NA,NA,1204.0999755859375,641.0999755859375,1209.5,644.9000244140625,237
64132,regret,1,regret,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,REGRET_1,4907,5126,5388,NA,NA,NA,NA,NA,1061.300048828125,528.29998779296875,1067.4000244140625,521.20001220703125,262
64132,regret,1,regret,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,REGRET_1,4907,5436,5698,NA,NA,NA,NA,NA,838.20001220703125,767.20001220703125,852.79998779296875,765.29998779296875,262
64132,regret,1,regret,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,REGRET_1,4907,5728,5858,NA,NA,NA,NA,NA,992,662.0999755859375,1000.4000244140624,663.5999755859375,130
64132,regret,1,fixation,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,FIX_1,5900,6021,6182,NA,NA,NA,NA,NA,831.5,704.5,823.5999755859375,717.20001220703125,161
64132,regret,1,fixation,3,1.8917485830024816,0.2,1,NA,NA,0.5,0.7,0.2,1,372,2,1,3,worst,fixation,FIX_1,5900,6203,6823,NA,NA,NA,NA,NA,862.0999755859375,659.20001220703125,872.4000244140625,655.4000244140625,620
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,CHOICE_2,6900,7282,7325,854.5,631.4000244140625,1230,602.9000244140625,43,NA,NA,NA,NA,NA
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,CHOICE_2,6900,7498,7541,1218.5,592.79998779296875,853.5,610.29998779296875,43,NA,NA,NA,NA,NA
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,CHOICE_2,6900,7691,7736,852.79998779296875,610.70001220703125,463.3999938964844,599.5,45,NA,NA,NA,NA,NA
64132,regret,2,choice,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,CHOICE_2,6900,8176,8218,468.7000122070313,607.20001220703125,787.20001220703125,582.20001220703125,42,NA,NA,NA,NA,NA
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_2,8408,8568,8615,781.5,580.9000244140625,458,436.3999938964844,47,NA,NA,NA,NA,NA
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_2,8408,8866,8888,462.1000061035156,451,480.3999938964844,551.5,22,NA,NA,NA,NA,NA
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_2,8408,9160,9206,475.3999938964844,576,851.5999755859375,596,46,NA,NA,NA,NA,NA
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_2,8408,9579,9704,846.29998779296875,621.0999755859375,614.20001220703125,528.20001220703125,125,NA,NA,NA,NA,NA
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_2,8408,9982,10025,608.4000244140625,536.4000244140625,909.79998779296875,621.5999755859375,43,NA,NA,NA,NA,NA
